enzymes	ranges	minU	maxU	pU
P00127	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P00128	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P00163	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P00330	6.95750668840933e-08	4.19171711911958e-06	4.26129218600368e-06	4.21313104485773e-06
P00358	1.77293016821935e-05	0	1.77293016821935e-05	0
P00359	0.000200589645712351	0	0.000200589645712351	0.00020053999852933
P00360	0.00020057112953788	0	0.00020057112953788	0
P00401	2.06273677208989e-09	7.14974277626877e-06	7.15180551304086e-06	7.15020360730076e-06
P00410	2.06273677208989e-09	7.14974277626877e-06	7.15180551304086e-06	7.15020360730076e-06
P00420	2.06273677208989e-09	7.14974277626877e-06	7.15180551304086e-06	7.15020360730076e-06
P00425	2.13612332871846e-09	7.14966938971214e-06	7.15180551304086e-06	7.15020360730076e-06
P00427	2.13612332871846e-09	7.14966938971214e-06	7.15180551304086e-06	7.15020360730076e-06
P00549	2.72768782418257e-06	1.80330475127413e-05	2.07607353369239e-05	2.07600037180526e-05
P00560	4.07300332646862e-08	9.18735762748516e-06	9.22808766074985e-06	9.18841876483735e-06
P00830	4.47460876357386e-09	1.79325473507581e-05	1.79370219595217e-05	1.79330474960688e-05
P00854	4.47458012607771e-09	1.79324325824551e-05	1.79369071625812e-05	1.79329327245648e-05
P00856	4.47458012607771e-09	1.79324325824551e-05	1.79369071625812e-05	1.79329327245648e-05
P00890	1.52156747894344e-06	0	1.52156747894344e-06	1.52049892443414e-06
P00924	5.50963764972935e-08	0	5.50963764972935e-08	0
P00925	5.49290869838971e-08	0	5.49290869838971e-08	0
P00942	6.62652468053189e-08	2.85461828095852e-07	3.51727074901171e-07	2.8549470038543e-07
P00950	6.52702427022753e-08	8.5605118726932e-06	8.62578211539548e-06	8.56150060952813e-06
P04037	2.13612332871846e-09	7.14966938971214e-06	7.15180551304086e-06	7.15020360730076e-06
P04039	4.27224665743692e-09	1.42993387794243e-05	1.43036110260817e-05	1.43004072146015e-05
P04385	0	0	0	0
P04397	2.26960963655762e-08	0	2.26960963655762e-08	0
P04806	1.08273021684681e-06	9.3108713915822e-06	1.0393601608429e-05	1.0393601608429e-05
P04807	6.10008865621373e-08	0	6.10008865621373e-08	0
P05626	4.47458012607771e-09	1.79324325824551e-05	1.79369071625812e-05	1.79329327245648e-05
P06169	2.09052657744688e-05	4.37967390191812e-05	6.470200479365e-05	6.47002021925584e-05
P07143	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P07170	1.06488733018261e-06	0	1.06488733018261e-06	0
P07251	4.47460876357386e-09	1.79325473507581e-05	1.79370219595217e-05	1.79330474960688e-05
P07255	2.06273677208989e-09	7.14974277626877e-06	7.15180551304086e-06	7.15020360730076e-06
P07256	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P07257	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P08067	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P08417	3.35343721757646e-08	1.92851383435862e-07	2.26385755611626e-07	1.92995394009704e-07
P08431	4.18713143762114e-08	0	4.18713143762114e-08	0
P08525	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P09201	2.01844391732562e-09	0	2.01844391732562e-09	0
P09457	4.47458012607771e-09	1.79324325824551e-05	1.79369071625812e-05	1.79329327245648e-05
P09624	2.161367848125e-08	9.90604816695361e-06	9.92766184543486e-06	9.91002884061983e-06
P0CX10	2.14712008436324e-05	0	2.14712008436324e-05	0
P0CX11	2.14712008436324e-05	0	2.14712008436324e-05	0
P10174	2.13612332871846e-09	7.14966938971214e-06	7.15180551304086e-06	7.15020360730076e-06
P10963	2.24486494302214e-09	0	2.24486494302214e-09	0
P11154	3.52105828818023e-06	0	3.52105828818023e-06	3.5179502933068e-06
P11412	1.03262670342852e-09	3.33256721105654e-07	3.34289347809083e-07	3.33352833948983e-07
P12695	1.56809313575587e-09	7.18787571774898e-07	7.20355664910654e-07	7.19076292910762e-07
P12709	2.9661331908887e-08	3.5825554359031e-06	3.61221676781199e-06	3.58326485400037e-06
P14540	5.19775735669805e-08	7.61693840968996e-05	7.62213616704666e-05	7.61765687845549e-05
P15019	4.85193265251495e-08	1.95636313967886e-06	2.00488246620401e-06	1.95696401145053e-06
P16387	2.161367848125e-08	9.90604816695361e-06	9.92766184543486e-06	9.91002884061983e-06
P16451	1.56809313575587e-09	7.18787571774898e-07	7.20355664910654e-07	7.19076292910762e-07
P16467	4.25894672049362e-06	0	4.25894672049362e-06	0
P16861	7.25820598337492e-08	0	7.25820598337492e-08	0
P16862	5.83379043639406e-08	6.87690666273371e-06	6.93524456709765e-06	6.93485048945219e-06
P17505	5.04266793660759e-08	1.04846708558078e-06	1.09889376494686e-06	1.04919630732309e-06
P17709	1.08273021684681e-06	0	1.08273021684681e-06	0
P19414	2.16457729744872e-08	1.49842566864675e-06	1.52007144162124e-06	1.49927772520966e-06
P19516	1.32243474554999e-08	0	1.32243474554999e-08	0
P20967	3.46723800934998e-08	7.15601897070532e-06	7.19069135079882e-06	7.18465786639466e-06
P21306	4.47458012607771e-09	1.79324325824551e-05	1.79369071625812e-05	1.79329327245648e-05
P21801	1.27612294073987e-09	9.10266145879175e-07	9.11542268819915e-07	9.10853774737999e-07
P21826	4.07281272478105e-08	0	4.07281272478105e-08	0
P21954	3.44247202356894e-08	7.644056878861e-06	7.67848159909669e-06	7.6724912110097e-06
P22289	6.73352878408987e-09	2.25377079407334e-05	2.25444414695174e-05	2.25393918257413e-05
P23254	1.4743221628348e-06	1.09054681020464e-07	1.58337684385526e-06	1.55933097293881e-06
P26263	2.09034522783329e-05	0	2.09034522783329e-05	0
P28240	5.92448552747665e-08	0	5.92448552747665e-08	1.26849350546295e-09
P30902	4.47458012607771e-09	1.79324325824551e-05	1.79369071625812e-05	1.79329327245648e-05
P30952	4.07308380014019e-08	0	4.07308380014019e-08	8.72089285005777e-10
P32327	3.52067666830876e-06	0	3.52067666830876e-06	0
P32340	4.03400778972276e-07	4.15669072511635e-06	4.56009150408862e-06	4.55916573606299e-06
P32473	2.161367848125e-08	9.90604816695361e-06	9.92766184543486e-06	9.91002884061983e-06
