enzymes	ranges	minU	maxU	pU
P00127	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P00128	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P00163	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P00330	4.78911095155151e-08	5.92940916135409e-07	6.40832025650924e-07	6.07681656657056e-07
P00358	1.2203738588227e-05	0	1.2203738588227e-05	0
P00359	7.48398303349469e-05	0	7.48398303349469e-05	7.48057020445388e-05
P00360	7.48329219656196e-05	0	7.48329219656196e-05	0
P00401	1.503365486585e-09	1.20497700372979e-05	1.20512734027845e-05	1.20503589730482e-05
P00410	1.503365486585e-09	1.20497700372979e-05	1.20512734027845e-05	1.20503589730482e-05
P00420	1.503365486585e-09	1.20497700372979e-05	1.20512734027845e-05	1.20503589730482e-05
P00425	1.44238555858224e-09	1.20498310172259e-05	1.20512734027845e-05	1.20503589730482e-05
P00427	1.44238555858224e-09	1.20498310172259e-05	1.20512734027845e-05	1.20503589730482e-05
P00549	1.87706593466348e-06	5.62695664309091e-06	7.50402257775439e-06	7.50402701821166e-06
P00560	2.78372676050616e-08	3.41035739042538e-06	3.43819465803044e-06	3.41089118357575e-06
P00830	2.50181965667448e-09	3.02538664872633e-05	3.025636830692e-05	3.02539036199696e-05
P00854	2.50180364503111e-09	3.02536728625178e-05	3.02561746661628e-05	3.02537099949864e-05
P00856	2.50180364503111e-09	3.02536728625178e-05	3.02561746661628e-05	3.02537099949864e-05
P00890	2.70683560866054e-06	1.01802881314078e-06	3.72486442180132e-06	3.72486292056538e-06
P00924	3.79248877342725e-08	0	3.79248877342725e-08	0
P00925	3.78097361323342e-08	0	3.78097361323342e-08	0
P00942	4.56076317704132e-08	1.06123411570395e-07	1.51731043340808e-07	1.06140963812801e-07
P00950	4.47427668955193e-08	3.17767154764114e-06	3.22241431453666e-06	3.1781689205297e-06
P04037	1.44238555858224e-09	1.20498310172259e-05	1.20512734027845e-05	1.20503589730482e-05
P04039	2.92397389667251e-09	2.40996228316723e-05	2.4102546805569e-05	2.41007179460963e-05
P04385	0	0	0	0
P04397	1.56225683320836e-08	0	1.56225683320836e-08	0
P04806	7.45283529176123e-07	3.68793375401446e-06	4.43321728319058e-06	4.43321728319058e-06
P04807	4.19891818966215e-08	0	4.19891818966215e-08	0
P05626	2.50180364503111e-09	3.02536728625178e-05	3.02561746661628e-05	3.02537099949864e-05
P06169	1.21752769538236e-05	0	1.21752769538236e-05	1.21745596719035e-05
P07143	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P07170	7.97541445884715e-07	0	7.97541445884715e-07	0
P07251	2.50181965667448e-09	3.02538664872633e-05	3.025636830692e-05	3.02539036199696e-05
P07255	1.503365486585e-09	1.20497700372979e-05	1.20512734027845e-05	1.20503589730482e-05
P07256	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P07257	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P08067	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P08417	2.30677613039914e-08	4.97074852739523e-07	5.20142614043514e-07	4.97159233938057e-07
P08431	2.8821584974487e-08	0	2.8821584974487e-08	0
P08525	4.8007837674232e-09	3.79840996927374e-05	3.79889004765048e-05	3.79860179445859e-05
P09201	1.61095540094895e-09	0	1.61095540094895e-09	0
P09457	2.50180364503111e-09	3.02536728625178e-05	3.02561746661628e-05	3.02537099949864e-05
P09624	1.88492122900393e-08	1.6336606167916e-05	1.63554553802061e-05	1.63395900029958e-05
P0CX10	7.98234729387792e-06	0	7.98234729387792e-06	0
P0CX11	7.98234729387792e-06	0	7.98234729387792e-06	0
P10174	1.44238555858224e-09	1.20498310172259e-05	1.20512734027845e-05	1.20503589730482e-05
P10963	1.59302350192248e-09	0	1.59302350192248e-09	0
P11154	2.74312354912532e-06	0	2.74312354912532e-06	2.74112385069192e-06
P11412	6.44856566747281e-10	2.75136204521474e-07	2.75781061088222e-07	2.75131070614713e-07
P12695	1.21578750067638e-09	1.18554364708946e-06	1.18675943459014e-06	1.18560823545505e-06
P12709	2.04663863740619e-08	1.31113062982547e-06	1.33159701619953e-06	1.31167328092953e-06
P14540	3.56438804052774e-08	2.8349115318581e-05	2.83847591989863e-05	2.83539613305658e-05
P15019	3.40036383370425e-08	1.61502112016219e-06	1.64902475849924e-06	1.61600898394186e-06
P16387	1.88492122900393e-08	1.6336606167916e-05	1.63554553802061e-05	1.63395900029958e-05
P16451	1.21578750067638e-09	1.18554364708946e-06	1.18675943459014e-06	1.18560823545505e-06
P16467	2.93159163107916e-06	0	2.93159163107916e-06	0
P16861	4.9960934744173e-08	0	4.9960934744173e-08	0
P16862	4.01504587920221e-08	2.54135819464076e-06	2.58150865343278e-06	2.58124625128889e-06
