rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.4421364121886e-05	1.90386126349383e-07	2.47018869163271e-07	3.04055050920002e-07	3.61494671471257e-07	4.19337730653974e-07	4.77584230395428e-07	5.36234166834126e-07	5.95287542475009e-07	6.5474435742563e-07	7.14604610381475e-07	7.74868303871773e-07	8.3553543597098e-07	8.96606004795186e-07	9.58080013518936e-07	1.01995746008832e-06	1.08223834670296e-06	1.14492267332816e-06	1.20801043707042e-06	1.27150163948403e-06	1.33539628201229e-06	1.39969436427356e-06	1.46439588658703e-06	1.52950084139625e-06	1.59500923961609e-06	1.66092107588972e-06	1.7272363486559e-06	1.79395506127999e-06	1.86107721139583e-06	1.92860280459617e-06	1.99653183105553e-06	2.0648643054566e-06	2.13360021070197e-06	2.20273956245964e-06	2.27228233960763e-06	2.34222856315691e-06	2.41257822530816e-06	2.48333132599199e-06	2.55448787091217e-06	2.62604785158937e-06	2.69801127131264e-06	2.77037812387859e-06	2.84314842041722e-06	2.9163221528794e-06	2.98989932952243e-06	3.06387994188084e-06	3.13826399683803e-06	3.2130514800166e-06	3.2882424148839e-06	3.36383677662644e-06	3.43983458626906e-06	3.51623583166871e-06	3.59304050787101e-06	3.67024863029419e-06	3.74786019308182e-06	3.82587519806576e-06	0.0429024576104514	0.38930459618752	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291785239398891	0.408942688336401	0.526945778876879	0.645826427232704	0.765584633405245	0.886220397393815	1.0077337191991	1.13012459881973	1.25339303625708	1.37753903151114	1.50256258458054	1.62846369546666	1.7552423641695	1.88289859068768	2.01143237502257	2.1408437171735	2.27113261714046	2.40229907492413	2.53434309052383	2.66726466393957	2.80106379517201	2.93574048422049	3.071294731085	3.20772653576554	3.34503589826279	3.48322281857607	3.62228729670606	3.76222933265141	3.90304892641347	4.04474607799156	4.18732078738636	4.33077305459719	4.47510287962406	4.62031026246695	4.76639520312656	4.9133577016022	5.06119775789388	5.20991537200226	5.35951054392667	5.50998327366711	5.66133356122428	5.81356140659678	5.96666680978601	6.12064977079193	6.27551028961322	6.43124836625122	6.58786400070592	6.74535719297598	6.90372794306275	7.06297625096557	7.22310211668506	7.38410554022061	7.54598652157219	7.70874506073979	7.87238115772413	8.03689481252379	8.20665795629176	8.28383105919396	8.76338480762459	9.19337741252098	9.73227786120099	10.267835419684	10.8000500879701	11.3289218660593	11.8544507539515	12.3766367516469	12.8954798591453	13.4109800764468	13.9231374035515	14.4319518404592	14.9374233871701	15.4395383343564	15.9447903224151	16.4474149077034	16.9466594948339	17.4425240838064	17.935008674621	18.4241132672776	18.9098378617764	19.3921824581172	19.8711470562999
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.665694712461046	1.24481524466855	1.96888856756886	2.68851261256402	3.40368737965427	4.11441286883963	4.82068908011982	5.52251601349538	6.21989366896576	6.91282204653125	7.60130114619185	8.28533096794753	8.96491151179833	9.64004963240771	10.3186312732339	10.9940069529253	11.6648861239816	12.3312687864027	12.9931549401884	13.6505445853388	14.3034377218541	14.9518343497341	15.5957344689786
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486356803545224	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373265	3.15035463875155	3.31026058590676	3.71389263321553	4.01017462857992	4.37292552813919	4.73363618669722	5.09230660425415	5.44893678080996	5.80352671636454	6.15607641091812	6.50658586447048	6.85505507702172	7.20148404857184	7.54587277912086	7.88822126866876	8.22852951721543	8.57050844597976	8.91098082057077	9.2493910259238	9.58573906203872	9.92002492891554	10.2522486265543	10.582410154955	10.9105095141176	11.236546704042
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291785239398891	0.405862412414799	0.520785227033675	0.636585599467898	0.753263529718837	0.870819017785805	0.989252063669485	1.10856266736852	1.22875082888426	1.34981654821672	1.47175982536452	1.59458066032904	1.71827905311027	1.84285500370685	1.96830851212015	2.09463957834947	2.22184820239483	2.3499343842569	2.478898123935	2.60873942142913	2.73945827673997	2.87105468986685	3.00352866080975	3.13688018956869	3.27110927614434	3.40621592053602	3.54220012274441	3.67906188276816	3.81680120060861	3.9554180762651	4.0949125097383	4.23528450102753	4.37653405013279	4.51866115705408	4.6616658217921	4.80554804434613	4.9503078247162	5.09594516290299	5.24246005890579	5.38985251272464	5.53812252436019	5.6872700938111	5.83729522107872	5.98819790616305	6.13997814906273	6.29263594977913	6.44617130831223	6.60058422466069	6.75587469882585	6.91204273080707	7.06908832060496	7.22701146821891	7.38581217364889	7.54549043689489	7.70604625795762	7.86747963683568	8.03416250468205	8.10825533166265	7.91903409171062	7.76682588847792	7.57857273833601	7.39142597590222	7.20538560117646	7.0204516141587	6.8366240148491	6.65390280324737	6.47228797935381	6.29177954316825	6.11237749469067	5.93408183392114	5.75689256085961	5.58078911151497	5.4043791828259	5.22854781250118	5.05383295265372	4.8802346032836	4.70775276439086	4.53638743597548	4.36613861803732	4.19700631057653	4.02899051359319
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.0011349539932502	0.00226990798650004	0.00340486197974993	0.00453981597300035	0.00567476996624983	0.00680972395949986	0.007944677952749	0.00907963194600081	0.0102145859392503	0.0113495399325002	0.012484493925751	0.0136194479189999	0.0147544019122497	0.0158893559054982	0.0170243098987493	0.018159263892001	0.0192942178852498	0.0204291718784986	0.0215641258717489	0.0226990798650004	0.0238340338582508	0.0249689878515003	0.0261039418447493	0.0272388958380012	0.0283738498312511	0.0295088038244999	0.0306437578177499	0.0317787118109987	0.0329136658042524	0.034048619797503	0.0351835737907504	0.0363185277840024	0.0374534817772516	0.0385884357705022	0.0397233897637448	0.0408583437570011	0.0419932977502517	0.0431282517434983	0.0442632057367467	0.0453981597299999	0.0465331137232479	0.0476680677164993	0.0488030217097455	0.0499379757029987	0.0510729296962547	0.0522078836895004	0.0533428376827465	0.0544777916759998	0.0556127456692495	0.0567476996625027	0.0578826536557564	0.0590176076490101	0.0601525616422487	0.0612875156355015	0.0624224696287516	0.063557423621992	0.0646923776152537	0.0658273316085012	0.0669622856017442	0.0680972395950041	0.0692321935882481	0.0703671475815	0.0715021015747475	0.0726370555679949	0.0737720095612442	0.0749069635545094	0.076041917547748	0.0771768715409973	0.0783118255342501	0.0794467795274887	0.0805817335207415	0.0817166875140014	0.0828516415072489	0.083986595500507	0.085121549493735	0.0862565034870002	0.0873914574802583	0.0885264114735058	0.0896613654667568	0.0907963194599795
