enzymes	ranges	minU	maxU	pU
P00127	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P00128	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P00163	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P00330	4.63995403441064e-08	2.10741797475934e-06	2.15381751510344e-06	2.12169914976752e-06
P00358	1.18236530058114e-05	0	1.18236530058114e-05	0
P00359	0.000127810998752276	0	0.000127810998752276	0.000127777889097126
P00360	0.000127799200681923	0	0.000127799200681923	0
P00401	1.24247684794733e-09	9.99124053716152e-06	9.99248301400947e-06	9.99159288848726e-06
P00410	1.24247684794733e-09	9.99124053716152e-06	9.99248301400947e-06	9.99159288848726e-06
P00420	1.24247684794733e-09	9.99124053716152e-06	9.99248301400947e-06	9.99159288848726e-06
P00425	1.17861718676645e-09	9.9913043968227e-06	9.99248301400947e-06	9.99159288848726e-06
P00427	1.17861718676645e-09	9.9913043968227e-06	9.99248301400947e-06	9.99159288848726e-06
P00549	1.81891836493666e-06	1.12714439448287e-05	1.30903623097653e-05	1.309004822554e-05
P00560	2.70413186267706e-08	5.84447842901465e-06	5.87151974764142e-06	5.84506460187306e-06
P00830	3.03549670612968e-09	2.50544822021859e-05	2.5057517698892e-05	2.50548690084632e-05
P00854	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P00856	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P00890	2.62323915695913e-06	2.16899629899529e-07	2.84013878685866e-06	2.83942457647556e-06
P00924	3.67437166585073e-08	0	3.67437166585073e-08	0
P00925	3.66321514545691e-08	0	3.66321514545691e-08	0
P00942	4.41883688872897e-08	1.82002519430089e-07	2.26190888317379e-07	1.82020586064962e-07
P00950	4.34154487342636e-08	5.44571453620167e-06	5.48912998493594e-06	5.44626071497443e-06
P04037	1.17861718676645e-09	9.9913043968227e-06	9.99248301400947e-06	9.99159288848726e-06
P04039	2.48500215490707e-09	1.9982481025864e-05	1.99849660280189e-05	1.99831857769745e-05
P04385	0	0	0	0
P04397	1.51360032570699e-08	0	1.51360032570699e-08	0
P04806	7.22071664862065e-07	6.20941052740587e-06	6.93148219226793e-06	6.93148219226793e-06
P04807	4.06814283304903e-08	0	4.06814283304903e-08	0
P05626	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P06169	1.39414925187996e-05	2.02893382333841e-05	3.42308307521837e-05	3.42298398928618e-05
P07143	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P07170	7.7270200814085e-07	0	7.7270200814085e-07	0
P07251	3.03549670612968e-09	2.50544822021859e-05	2.5057517698892e-05	2.50548690084632e-05
P07255	1.24247684794733e-09	9.99124053716152e-06	9.99248301400947e-06	9.99159288848726e-06
P07256	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P07257	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P08067	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P08417	2.23470694765124e-08	3.74872818454561e-07	3.97219887931073e-07	3.74951672810142e-07
P08431	2.79239363703992e-08	0	2.79239363703992e-08	0
P08525	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P09201	1.01321017211361e-09	0	1.01321017211361e-09	0
P09457	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P09624	1.40025057202629e-08	1.37651426084299e-05	1.37791451141501e-05	1.37675141982185e-05
P0CX10	1.36597122351189e-05	0	1.36597122351189e-05	0
P0CX11	1.36597122351189e-05	0	1.36597122351189e-05	0
P10174	1.17861718676645e-09	9.9913043968227e-06	9.99248301400947e-06	9.99159288848726e-06
P10963	1.82574970950286e-09	0	1.82574970950286e-09	0
P11154	3.06320306577115e-06	0	3.06320306577115e-06	3.0610373848246e-06
P11412	6.75558033718645e-10	2.72906683051951e-07	2.73582241085669e-07	2.72957680958307e-07
P12695	9.8543136770765e-10	9.98835734394189e-07	9.99821165761897e-07	9.98977221102826e-07
P12709	1.98849673703239e-08	2.28820769183179e-06	2.30809265920211e-06	2.28878465774215e-06
P14540	3.57155177754364e-08	4.85803423345464e-05	4.86160578523218e-05	4.85861855229072e-05
P15019	3.22589354217262e-08	1.60117630276474e-06	1.63343523818647e-06	1.60147847013499e-06
P16387	1.40025057202629e-08	1.37651426084299e-05	1.37791451141501e-05	1.37675141982185e-05
P16451	9.8543136770765e-10	9.98835734394189e-07	9.99821165761897e-07	9.98977221102826e-07
P16467	2.84028717515402e-06	0	2.84028717515402e-06	0
P16861	4.84049008414614e-08	0	4.84049008414614e-08	0
P16862	3.90617642963751e-08	4.38447505766687e-06	4.42353682196324e-06	4.4231177359417e-06
P17505	3.3723900422833e-08	2.03768804861118e-06	2.07141194903401e-06	2.03829687885137e-06
P17709	7.22071664862065e-07	0	7.22071664862065e-07	0
P19414	1.45609711175341e-08	2.79910338976321e-06	2.81366436088075e-06	2.79979548259593e-06
P19516	8.81930367806433e-09	0	8.81930367806433e-09	0
P20967	2.31229745233202e-08	1.39400388702834e-05	1.39631618448068e-05	1.39589293879026e-05
P21306	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P21801	6.75676195248415e-10	1.76931377925284e-06	1.76998945544809e-06	1.76960775813268e-06
P21826	2.71615460547743e-08	0	2.71615460547743e-08	0
P21954	2.29578104195825e-08	1.43095997104064e-05	1.4332557520826e-05	1.43283552957569e-05
P22289	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P23254	9.83223929751983e-07	2.85067371776952e-07	1.26829130152893e-06	1.2522551350161e-06
P26263	1.39404907642639e-05	0	1.39404907642639e-05	0
P28240	3.95103328778029e-08	0	3.95103328778029e-08	1.26851324270743e-09
P30902	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P30952	2.71633538534895e-08	0	2.71633538534895e-08	8.72102854361358e-10
P32327	3.06287106923356e-06	0	3.06287106923356e-06	0
P32340	2.69027563420093e-07	5.88461178594871e-06	6.1536393493688e-06	6.15301970544892e-06
P32473	1.40025057202629e-08	1.37651426084299e-05	1.37791451141501e-05	1.37675141982185e-05
P32799	1.17861718676645e-09	9.9913043968227e-06	9.99248301400947e-06	9.99159288848726e-06
P33315	9.67187763239151e-07	0	9.67187763239151e-07	0
P33401	1.87533994159266e-08	0	1.87533994159266e-08	0
P33421	6.75676195248415e-10	1.76931377925284e-06	1.76998945544809e-06	1.76960775813268e-06
P37012	1.87603552812749e-08	0	1.87603552812749e-08	0
P37298	6.75676195248415e-10	1.76931377925284e-06	1.76998945544809e-06	1.76960775813268e-06
P37299	3.91662588204901e-09	3.1495115056916e-05	3.1499031682798e-05	3.14962257643905e-05
P38077	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P38113	4.54149200020548e-08	0	4.54149200020548e-08	0
P38720	3.12791769513846e-06	1.50753971572724e-06	4.6354574108657e-06	4.62459967326694e-06
P38824	8.81930367806433e-09	0	8.81930367806433e-09	0
P38858	1.82412359109279e-06	1.54881606248082e-05	1.7312284215901e-05	1.72727620510417e-05
P40047	1.74491938740647e-08	0	1.74491938740647e-08	0
P40106	7.13020894287639e-09	0	7.13020894287639e-09	0
P40215	2.14243916131446e-07	0	2.14243916131446e-07	0
P41277	7.12449614687174e-09	0	7.12449614687174e-09	0
P41911	5.81011853677267e-10	0	5.81011853677267e-10	0
P42222	1.36640140793007e-05	0	1.36640140793007e-05	1.36389983821682e-05
P43635	2.62252972718804e-06	0	2.62252972718804e-06	0
P46367	1.74412739952562e-08	0	1.74412739952562e-08	0
P46969	4.58185312773783e-08	7.61043415892605e-07	8.06861947169984e-07	7.61282857410671e-07
P47052	7.44351693495951e-08	0	7.44351693495951e-08	0
P47081	8.81930367806433e-09	0	8.81930367806433e-09	0
P47771	1.87924149561269e-08	0	1.87924149561269e-08	0
P52489	1.81860428071129e-06	0	1.81860428071129e-06	0
P52910	3.25916142071941e-07	4.13716905930914e-07	7.39633048002855e-07	7.38047626602564e-07
P53239	8.81930367806433e-09	0	8.81930367806433e-09	0
P53312	2.73449784718719e-09	1.92851823627867e-06	1.93125273412586e-06	1.93066734064127e-06
P53315	1.78460142621153e-06	0	1.78460142621153e-06	0
P53319	3.1170599575397e-06	0	3.1170599575397e-06	0
P53598	2.73449784718719e-09	1.92851823627867e-06	1.93125273412586e-06	1.93066734064127e-06
P54115	4.04260723894499e-08	9.63319978497623e-06	9.67362585736568e-06	9.66912902575758e-06
P61829	3.03549670612968e-09	2.50544822021859e-05	2.5057517698892e-05	2.50548690084632e-05
P81449	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P81450	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
P81451	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
Q00055	5.83277103210067e-10	0	5.83277103210067e-10	0
Q00711	5.71418811939083e-08	1.71292605900504e-06	1.77006794019895e-06	1.76960775813268e-06
Q01519	1.11607431037781e-09	9.99136693969909e-06	9.99248301400947e-06	9.99159288848726e-06
Q01574	3.2433072067165e-07	0	3.2433072067165e-07	0
Q04458	1.82586157156818e-08	0	1.82586157156818e-08	0
Q04935	8.81930367806433e-09	0	8.81930367806433e-09	0
Q06204	3.22052200071898e-08	0	3.22052200071898e-08	0
Q06405	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
Q07500	2.68414674532812e-07	0	2.68414674532812e-07	0
Q12055	8.24788126808333e-07	1.48388798526658e-07	9.73176925334991e-07	9.21090806667508e-07
Q12165	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
Q12189	4.36014680355886e-08	8.53263910502526e-06	8.57624057306085e-06	8.53435664487558e-06
Q12233	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
Q12349	3.03547727895131e-09	2.50543218534998e-05	2.50573573307787e-05	2.50547086573015e-05
Q3E731	8.81930367806433e-09	0	8.81930367806433e-09	0
