enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.00811	0.009664	0.01084	0.011763	0.012506	0.013118	0.013631	0.014066	0.014442	0.014768	0.015055	0.015309	0.015535	0.015739	0.015922	0.016089	0.016241	0.016381	0.016509	0.016627	0.016737	0.016839	0.016933	0.017022	0.017105	0.017183	0.017256	0.017325	0.017391	0.017452	0.017511	0.017566	0.017619	0.01767	0.017718	0.017763	0.017807	0.017849	0.017889	0.017928	0.017965	0.018	0.018034	0.018067	0.018099	0.01813	0.018159	0.018188	0.018215	0.018242	0.018268	0.018293	0.018317	0.018341	0.018364	0.018386	0.018407	0.018341	0.017842	0.017495	0.017067	0.016641	0.016218	0.015797	0.015379	0.014963	0.01455	0.014139	0.013731	0.013325	0.012922	0.012521	0.012123	0.011727	0.011334	0.010944	0.010555	0.01017	0.009787	0.009406	0.009028
P00128	Oxidative Phosphorylation	0.006845	0.008156	0.009149	0.009928	0.010555	0.011072	0.011504	0.011872	0.012189	0.012464	0.012706	0.01292	0.013112	0.013283	0.013438	0.013579	0.013708	0.013825	0.013933	0.014033	0.014126	0.014212	0.014292	0.014366	0.014437	0.014502	0.014564	0.014622	0.014678	0.01473	0.014779	0.014826	0.014871	0.014913	0.014953	0.014992	0.015029	0.015064	0.015098	0.015131	0.015162	0.015192	0.015221	0.015249	0.015275	0.015301	0.015326	0.01535	0.015374	0.015396	0.015418	0.015439	0.01546	0.015479	0.015499	0.015517	0.015536	0.015479	0.015058	0.014766	0.014404	0.014045	0.013688	0.013333	0.01298	0.012629	0.01228	0.011933	0.011589	0.011246	0.010906	0.010568	0.010232	0.009898	0.009566	0.009236	0.008909	0.008583	0.00826	0.007939	0.00762
P00163	Oxidative Phosphorylation	0.020516	0.024447	0.027423	0.029758	0.031638	0.033186	0.034482	0.035585	0.036534	0.037359	0.038085	0.038727	0.0393	0.039815	0.04028	0.040702	0.041086	0.041439	0.041763	0.042063	0.04234	0.042597	0.042837	0.043061	0.043271	0.043469	0.043654	0.043829	0.043994	0.04415	0.044298	0.044439	0.044572	0.0447	0.044821	0.044937	0.045048	0.045154	0.045255	0.045353	0.045446	0.045536	0.045622	0.045706	0.045786	0.045863	0.045938	0.04601	0.04608	0.046148	0.046213	0.046277	0.046338	0.046398	0.046455	0.046511	0.046566	0.046397	0.045135	0.044259	0.043175	0.042098	0.041027	0.039963	0.038905	0.037853	0.036808	0.035768	0.034736	0.033709	0.032689	0.031676	0.030668	0.029668	0.028673	0.027685	0.026703	0.025727	0.024758	0.023795	0.022838
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000242	0.000415	0.000632	0.000847	0.00106	0.001273	0.001484	0.001694	0.001902	0.002109	0.002315	0.002519	0.002722	0.002924	0.003124	0.003323	0.003521	0.003718	0.003913	0.004106	0.004299	0.00449	0.00468
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.01247	0.017994	0.022158	0.025404	0.028001	0.030122	0.031885	0.033371	0.034638	0.035729	0.036677	0.037508	0.038239	0.038888	0.039466	0.039983	0.040448	0.040867	0.041246	0.04159	0.041904	0.042189	0.04245	0.042689	0.042908	0.04311	0.043295	0.043465	0.043622	0.043767	0.043901	0.044025	0.044139	0.044245	0.044342	0.044432	0.044516	0.044593	0.044664	0.04473	0.044791	0.044847	0.044899	0.044946	0.04499	0.04503	0.045066	0.0451	0.04513	0.045158	0.045183	0.045205	0.045226	0.045243	0.045259	0.045273	0.045285	0.049454	0.058768	0.064653	0.071944	0.079191	0.086396	0.093557	0.100675	0.10775	0.114782	0.121771	0.128717	0.135619	0.142479	0.149295	0.156068	0.162798	0.169485	0.176129	0.18273	0.189287	0.195801	0.202273	0.208701
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.008766	0.010445	0.011717	0.012714	0.013518	0.014179	0.014733	0.015204	0.01561	0.015962	0.016272	0.016547	0.016792	0.017012	0.01721	0.01739	0.017555	0.017705	0.017844	0.017972	0.01809	0.0182	0.018303	0.018399	0.018488	0.018573	0.018652	0.018726	0.018797	0.018864	0.018927	0.018987	0.019044	0.019099	0.01915	0.0192	0.019247	0.019293	0.019336	0.019378	0.019417	0.019456	0.019493	0.019528	0.019563	0.019596	0.019628	0.019659	0.019688	0.019717	0.019745	0.019772	0.019799	0.019824	0.019849	0.019873	0.019896	0.019824	0.019285	0.01891	0.018447	0.017987	0.017529	0.017075	0.016623	0.016173	0.015727	0.015283	0.014841	0.014403	0.013967	0.013534	0.013104	0.012676	0.012251	0.011829	0.011409	0.010992	0.010578	0.010167	0.009758
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.004259	0.005075	0.005693	0.006177	0.006568	0.006889	0.007158	0.007387	0.007584	0.007755	0.007906	0.008039	0.008158	0.008265	0.008362	0.008449	0.008529	0.008602	0.00867	0.008732	0.008789	0.008843	0.008892	0.008939	0.008983	0.009024	0.009062	0.009098	0.009133	0.009165	0.009196	0.009225	0.009253	0.009279	0.009304	0.009328	0.009351	0.009373	0.009394	0.009415	0.009434	0.009453	0.009471	0.009488	0.009505	0.009521	0.009536	0.009551	0.009566	0.00958	0.009593	0.009606	0.009619	0.009632	0.009644	0.009655	0.009667	0.009631	0.009369	0.009188	0.008963	0.008739	0.008517	0.008296	0.008076	0.007858	0.007641	0.007425	0.007211	0.006998	0.006786	0.006575	0.006366	0.006159	0.005952	0.005747	0.005543	0.005341	0.005139	0.00494	0.004741
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.004526	0.005393	0.00605	0.006565	0.00698	0.007321	0.007607	0.00785	0.00806	0.008242	0.008402	0.008544	0.00867	0.008784	0.008886	0.008979	0.009064	0.009142	0.009213	0.00928	0.009341	0.009398	0.00945	0.0095	0.009546	0.00959	0.009631	0.009669	0.009706	0.00974	0.009773	0.009804	0.009833	0.009861	0.009888	0.009914	0.009938	0.009961	0.009984	0.010005	0.010026	0.010046	0.010065	0.010083	0.010101	0.010118	0.010135	0.01015	0.010166	0.010181	0.010195	0.010209	0.010223	0.010236	0.010249	0.010261	0.010273	0.010236	0.009957	0.009764	0.009525	0.009287	0.009051	0.008816	0.008583	0.008351	0.00812	0.007891	0.007663	0.007437	0.007212	0.006988	0.006766	0.006545	0.006326	0.006108	0.005891	0.005676	0.005462	0.005249	0.005038
P00425	Oxidative Phosphorylation	0.002564	0.003055	0.003427	0.003719	0.003954	0.004147	0.004309	0.004447	0.004565	0.004669	0.004759	0.004839	0.004911	0.004975	0.005033	0.005086	0.005134	0.005178	0.005219	0.005256	0.005291	0.005323	0.005353	0.005381	0.005407	0.005432	0.005455	0.005477	0.005498	0.005517	0.005536	0.005553	0.00557	0.005586	0.005601	0.005615	0.005629	0.005642	0.005655	0.005667	0.005679	0.00569	0.005701	0.005711	0.005722	0.005731	0.005741	0.00575	0.005758	0.005767	0.005775	0.005783	0.00579	0.005798	0.005805	0.005812	0.005819	0.005798	0.00564	0.005531	0.005395	0.005261	0.005127	0.004994	0.004862	0.00473	0.0046	0.00447	0.004341	0.004212	0.004085	0.003958	0.003832	0.003707	0.003583	0.00346	0.003337	0.003215	0.003094	0.002973	0.002854
P00427	Oxidative Phosphorylation	0.002585	0.003081	0.003456	0.00375	0.003987	0.004182	0.004345	0.004484	0.004604	0.004708	0.004799	0.00488	0.004952	0.005017	0.005076	0.005129	0.005177	0.005222	0.005263	0.0053	0.005335	0.005368	0.005398	0.005426	0.005453	0.005478	0.005501	0.005523	0.005544	0.005564	0.005582	0.0056	0.005617	0.005633	0.005648	0.005663	0.005677	0.00569	0.005703	0.005715	0.005727	0.005738	0.005749	0.00576	0.00577	0.005779	0.005789	0.005798	0.005807	0.005815	0.005824	0.005832	0.005839	0.005847	0.005854	0.005861	0.005868	0.005847	0.005688	0.005577	0.005441	0.005305	0.00517	0.005036	0.004903	0.00477	0.004638	0.004507	0.004377	0.004248	0.004119	0.003992	0.003865	0.003739	0.003613	0.003489	0.003365	0.003242	0.00312	0.002999	0.002878
P00549	Glycolysis	0.002026	0.002809	0.003399	0.00386	0.004228	0.00453	0.004781	0.004992	0.005173	0.005329	0.005464	0.005583	0.005688	0.005781	0.005864	0.005938	0.006006	0.006066	0.006121	0.006171	0.006217	0.006258	0.006297	0.006332	0.006364	0.006394	0.006421	0.006446	0.00647	0.006492	0.006512	0.00653	0.006548	0.006564	0.006579	0.006593	0.006606	0.006618	0.006629	0.00664	0.006649	0.006658	0.006667	0.006675	0.006682	0.006689	0.006695	0.006701	0.006706	0.006711	0.006716	0.00672	0.006724	0.006727	0.006731	0.006734	0.006736	0.007406	0.008908	0.009853	0.011027	0.012193	0.013353	0.014505	0.01565	0.016789	0.01792	0.019044	0.020162	0.021272	0.022375	0.023472	0.024561	0.025643	0.026719	0.027787	0.028848	0.029902	0.03095	0.03199	0.033023
P00560	Glycolysis // Glycolysis	0.000718	0.00103	0.001265	0.001448	0.001595	0.001714	0.001814	0.001898	0.001969	0.002031	0.002085	0.002131	0.002173	0.002209	0.002242	0.002271	0.002298	0.002321	0.002343	0.002362	0.00238	0.002396	0.002411	0.002425	0.002437	0.002448	0.002459	0.002469	0.002478	0.002486	0.002493	0.002501	0.002507	0.002513	0.002519	0.002524	0.002529	0.002533	0.002537	0.002541	0.002544	0.002548	0.002551	0.002553	0.002556	0.002558	0.00256	0.002562	0.002564	0.002566	0.002567	0.002568	0.00257	0.002571	0.002572	0.002572	0.002573	0.002813	0.003349	0.003687	0.004106	0.004523	0.004938	0.005349	0.005759	0.006166	0.00657	0.006972	0.007371	0.007768	0.008163	0.008555	0.008944	0.009331	0.009716	0.010098	0.010477	0.010855	0.011229	0.011601	0.011971
