rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	0	3.7438155540883e-07	4.27685854035784e-07	4.81371090437985e-07	5.35437251810572e-07	5.89884332161811e-07	6.44712338748049e-07	6.99921276034465e-07	7.55511129539588e-07	8.11481918355783e-07	8.67833633184933e-07	9.24566267896526e-07	9.81679833887694e-07	1.03917431728412e-06	1.09704972658942e-06	1.15530606574488e-06	1.21394332695812e-06	1.27296152351714e-06	1.33236064187026e-06	1.39214067957499e-06	1.45230164207144e-06	1.51284354096837e-06	1.57376635260414e-06	1.6350700947354e-06	1.69675476228981e-06	1.75882036056868e-06	1.82126688134943e-06	1.88409432533287e-06	1.94730269414967e-06	2.01089199339255e-06	2.07486221057152e-06	2.13921336569833e-06	2.20394543901103e-06	2.2690584355195e-06	2.33455235275348e-06	2.40042720639488e-06	2.46668298331532e-06	2.53331968344539e-06	2.60033731248888e-06	2.66773586996005e-06	2.73551534049621e-06	2.80367574187479e-06	2.87221707456764e-06	2.94113932786111e-06	3.01044250734794e-06	3.08012661522084e-06	3.15019165036956e-06	3.2206376037458e-06	3.29146448016515e-06	3.36267229478215e-06	3.43426103131816e-06	3.50623068029465e-06	3.57858126073807e-06	3.65131277207942e-06	3.72442520579774e-06	3.79791856905398e-06	3.87179285776806e-06	0.462105844959814	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291793932333476	0.408942320345547	0.526945417542908	0.64582607260063	0.765584285520083	0.886220056300616	1.00773338494288	1.13012427144551	1.2533927158099	1.37753871803601	1.50256227812251	1.62846339607073	1.7552420718807	1.88289830555105	2.01143209708314	2.14084344647629	2.2711323537305	2.40229881884644	2.53434284182343	2.66726442266149	2.80106356136128	2.93574025792214	3.07129451234406	3.20772632462703	3.34503569477173	3.4832226227775	3.622287108645	3.76222915237288	3.9030487539625	4.04474591341318	4.1873206307256	4.33077290589907	4.47510273893361	4.6203101298292	4.76639507858654	4.91335758520491	5.06119764968436	5.20991527202555	5.35951045222779	5.50998319029108	5.66133348621613	5.81356134000155	5.9666667516487	6.12064972115759	6.27551024852686	6.43124833375787	6.58786397685062	6.74535717780375	6.90372793661861	7.06297625329453	7.22310212783218	7.38410556023091	7.54598655049069	7.70874509861152	7.8723812045941	8.03689486843771	8.20228609014241	8.22636377068919	8.82253739596571	9.25361526094298	9.79380440789286	10.3306444201781	10.8641352977984	11.3942770407541	11.921069649045	12.4445131226711	12.9646074616326	13.4813526659292	13.9947487355611	14.5047956705283	15.0114934708308	15.5148421364684	16.0148416674414	16.5114920637495	17.004793325393	17.4947454523717	17.9813484446857	18.4646023023348	18.9445070253193	19.421062613639	19.8942690672939
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	9.75244318002222e-06	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.809553220536188	1.38768368528372	2.11058144033298	2.82903561135046	3.5430461983359	4.25261320128957	4.95773662021146	5.65841645510132	6.35465270595939	7.04644537278542	7.73379445557968	8.41669995434217	9.09516186907288	9.76918019977129	10.4387549464382	11.103886109073	11.7645736876761	12.4208176822474	13.0726180927867	13.7199749192939	14.3628881617696	15.0013578202133	15.6353838946249
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486355728699727	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373276	3.13532646578746	3.3249497874134	3.7717042339641	4.06783708352198	4.43041091017587	4.79094535304172	5.14944041211941	5.50589608740907	5.86031237891068	6.21268928662414	6.56302681054957	6.91132495068683	7.25758370703606	7.60180307959725	7.9439830683704	8.28412367335528	8.62222489455223	8.95828673196103	9.29230918558179	9.62429225541451	9.95423594145908	10.2821402437155	10.608005162184	10.9318306968643	11.2536168477565
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291784179890296	0.405862044423944	0.520784865699704	0.636585244835823	0.753263181833675	0.870818676692605	0.989251729413265	1.1085623399943	1.22875050843708	1.3498162347416	1.47175951890648	1.59458036093311	1.71827876082148	1.84285471857022	1.96830823418072	2.09463930765226	2.22184793898487	2.3499341281792	2.47889787523459	2.60873918015105	2.73945804292924	2.8710544635685	3.00352844206881	3.13687997843018	3.27110907265328	3.40621572473745	3.54219993468335	3.67906170248963	3.81680102815764	3.95541791168672	4.09491235307754	4.23528435232941	4.37653390944234	4.51866102441633	4.66166569725207	4.80554792794885	4.95030771650669	5.09594506292627	5.24245996720691	5.3898524293486	5.53812244935205	5.68727002721587	5.83729516294142	5.9881978565287	6.13997810797637	6.29263591728578	6.44617128445692	6.60058420948845	6.75587469238171	6.91204273313603	7.06908833175208	7.22701148822921	7.38581220256738	7.54549047476661	7.70604630482759	7.86747969274961	8.02979063853269	8.05078804315788	7.8343281719766	7.68419529628475	7.49840641226377	7.31371197760988	7.13011199232317	6.94760645640355	6.76619536985103	6.58587873266569	6.40665654484746	6.22852880639642	6.05149551731246	5.87555667759559	5.7007122872458	5.52696234626333	5.35430685464782	5.18274581239952	5.01227921951831	4.84290707600417	4.67462938185724	4.5074461370775	4.34135734166475	4.1763629956192	4.01246309894083
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325012	0.00226990798649995	0.00340486197974998	0.00453981597300057	0.00567476996624994	0.00680972395949986	0.007944677952749	0.00907963194600092	0.0102145859392497	0.0113495399325004	0.0124844939257507	0.0136194479189995	0.0147544019122495	0.0158893559054982	0.017024309898749	0.0181592638920014	0.01929421788525	0.0204291718784986	0.0215641258717489	0.0226990798650004	0.023834033858251	0.0249689878515005	0.02610394184475	0.0272388958379992	0.0283738498312522	0.0295088038244991	0.0306437578177503	0.0317787118109982	0.0329136658042479	0.0340486197975016	0.0351835737907504	0.0363185277840015	0.0374534817772512	0.0385884357705013	0.0397233897637452	0.0408583437570003	0.0419932977502504	0.0431282517434974	0.0442632057367467	0.0453981597299999	0.0465331137232474	0.0476680677164998	0.0488030217097442	0.0499379757029961	0.0510729296962547	0.0522078836895039	0.0533428376827465	0.0544777916760002	0.0556127456692503	0.0567476996625031	0.057882653655756	0.0590176076490105	0.0601525616422487	0.0612875156355024	0.0624224696287525	0.0635574236219956	0.064692377615251	0.0658273316084905	0.0669622856017451	0.0680972395950006	0.0692321935882507	0.0703671475814982	0.0715021015747475	0.0726370555679932	0.0737720095612406	0.0749069635545023	0.0760419175477534	0.0771768715410026	0.0783118255342607	0.0794467795274922	0.0805817335207504	0.0817166875140014	0.0828516415072542	0.0839865955005159	0.0851215494937492	0.0862565034869895	0.0873914574802477	0.0885264114735023	0.0896613654667604	0.0907963194600043
