enzymes	ranges	minU	maxU	pU
P00127	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P00128	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P00163	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000677853920258527	0	0.000677853920258527	0
P00359	0.000679752107691013	0	0.000679752107691013	1.71731995059466e-05
P00360	0.000679689360640546	0	0.000679689360640546	0
P00401	1.23907730370564e-09	4.87349009806387e-06	4.87472917536758e-06	4.87472440522018e-06
P00410	1.23907730370564e-09	4.87349009806387e-06	4.87472917536758e-06	4.87472440522018e-06
P00420	1.23907730370564e-09	4.87349009806387e-06	4.87472917536758e-06	4.87472440522018e-06
P00425	3.0546560931873e-06	1.82007308218027e-06	4.87472917536758e-06	4.87472440522018e-06
P00427	3.0546560931873e-06	1.82007308218027e-06	4.87472917536758e-06	4.87472440522018e-06
P00549	1.69216721142849e-06	0	1.69216721142849e-06	1.6902933453206e-06
P00560	0.000529411722236502	7.80259783166029e-07	0.000530191982019668	7.80800009529309e-07
P00830	4.83117617467593e-09	1.21861015056358e-05	1.21909326818105e-05	1.21861038029256e-05
P00854	4.83114525514765e-09	1.21860235145862e-05	1.21908546598413e-05	1.21860258118612e-05
P00856	4.83114525514765e-09	1.21860235145862e-05	1.21908546598413e-05	1.21860258118612e-05
P00890	1.71186840049593e-06	0	1.71186840049593e-06	1.7115240526176e-06
P00924	0.000507756907587936	0	0.000507756907587936	0
P00925	0.000506695150518373	0	0.000506695150518373	0
P00942	6.4085439592276e-05	2.39789372274301e-08	6.41094185295034e-05	2.40124078755309e-08
P00950	0.000857885433699457	7.27023308377097e-07	0.000858612457007834	7.27526675545799e-07
P04037	3.0546560931873e-06	1.82007308218027e-06	4.87472917536758e-06	4.87472440522018e-06
P04039	6.10931218637461e-06	3.64014616436055e-06	9.74945835073516e-06	9.74944881044036e-06
P04385	0	0	0	0
P04397	0.000302896436377586	0	0.000302896436377586	0
P04806	2.93813588280677e-07	0	2.93813588280677e-07	2.93813588280677e-07
P04807	6.35397973077391e-07	0	6.35397973077391e-07	0
P05626	4.83114525514765e-09	1.21860235145862e-05	1.21908546598413e-05	1.21860258118612e-05
P06169	2.04236018878715e-07	0	2.04236018878715e-07	1.9956735664763e-07
P07143	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P07170	0.000976737091987712	0	0.000976737091987712	0
P07251	4.83117617467593e-09	1.21861015056358e-05	1.21909326818105e-05	1.21861038029256e-05
P07255	1.23907730370564e-09	4.87349009806387e-06	4.87472917536758e-06	4.87472440522018e-06
P07256	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P07257	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P08067	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P08417	0.00044561100052974	2.29970845983428e-07	0.000445840971375723	2.30250581226925e-07
P08431	0.000558804109157226	0	0.000558804109157226	0
P08525	3.905909591452e-09	1.53625699227604e-05	1.53664758323519e-05	1.53664607955463e-05
P09201	6.23824757131023e-09	0	6.23824757131023e-09	0
P09457	4.83114525514765e-09	1.21860235145862e-05	1.21908546598413e-05	1.21860258118612e-05
P09624	4.1758065375372e-08	6.96010421177536e-06	7.00186227715073e-06	6.96025669665684e-06
P0CX10	0.000502269192130382	0	0.000502269192130382	0
P0CX11	0.000502269192130382	0	0.000502269192130382	0
P10174	3.0546560931873e-06	1.82007308218027e-06	4.87472917536758e-06	4.87472440522018e-06
P10963	7.01299767291341e-09	0	7.01299767291341e-09	0
P11154	7.9261366675007e-07	0	7.9261366675007e-07	7.92502073603838e-07
P11412	1.6032664296469e-09	1.08482237321839e-07	1.10085503751486e-07	1.08710948651112e-07
P12695	3.02998460773094e-09	5.05028392486795e-07	5.08058377094526e-07	5.05039456860579e-07
P12709	0.000386386283860482	2.77097455527232e-07	0.000386663381316009	2.78367263509008e-07
P14540	0.000597803592654839	6.41030267683427e-06	0.000604213895331673	6.41922389188573e-06
P15019	0.000639509092145126	6.385169024088e-07	0.000640147609047535	6.39872038449658e-07
P16387	4.1758065375372e-08	6.96010421177536e-06	7.00186227715073e-06	6.96025669665684e-06
P16451	3.02998460773094e-09	5.05028392486795e-07	5.08058377094526e-07	5.05039456860579e-07
P16467	2.04236018878715e-07	0	2.04236018878715e-07	0
P16861	3.2563787137588e-07	0	3.2563787137588e-07	0
P16862	2.61092528582555e-07	3.24509091895816e-07	5.8560162047837e-07	5.84383868410372e-07
P17505	0.000664376164820819	1.26102662712943e-06	0.000665637191447948	1.26105998319725e-06
P17709	2.93813588280677e-07	0	2.93813588280677e-07	0
