enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0	0.000469	0.002871	0.006971	0.011191	0.013802	0.015322	0.016296	0.017027	0.017597	0.018035	0.018192	0.018375	0.018513	0.018516	0.018519	0.018521	0.018523	0.018524	0.018525	0.018525	0.018526	0.018526	0.018525	0.018525	0.018524	0.018523	0.018523	0.018521	0.01852	0.018519	0.018518	0.018516	0.018515	0.018513	0.018511	0.018509	0.018507	0.018506	0.018504	0.018501	0.018499	0.018497	0.018495	0.018493	0.01849	0.018488	0.018486	0.018483	0.018481	0.018478	0.018476	0.018473	0.018471	0.018468	0.018465	0.018463	0.01838	0.018019	0.017578	0.017139	0.016703	0.01627	0.01584	0.015413	0.014989	0.014567	0.014148	0.013731	0.013317	0.012905	0.012496	0.01209	0.011687	0.011288	0.010892	0.010499	0.010108	0.009723	0.009357	0.008993
P00128	Oxidative Phosphorylation	0	0.000396	0.002423	0.005883	0.009445	0.011649	0.012931	0.013754	0.014371	0.014851	0.015221	0.015354	0.015508	0.015625	0.015628	0.01563	0.015632	0.015633	0.015634	0.015635	0.015635	0.015635	0.015635	0.015635	0.015635	0.015634	0.015634	0.015633	0.015632	0.015631	0.01563	0.015629	0.015627	0.015626	0.015625	0.015623	0.015622	0.01562	0.015619	0.015617	0.015615	0.015613	0.015612	0.01561	0.015608	0.015606	0.015604	0.015602	0.0156	0.015598	0.015596	0.015594	0.015591	0.015589	0.015587	0.015585	0.015582	0.015513	0.015208	0.014836	0.014465	0.014097	0.013731	0.013369	0.013009	0.01265	0.012294	0.01194	0.011589	0.011239	0.010892	0.010547	0.010204	0.009864	0.009527	0.009193	0.008861	0.008531	0.008206	0.007897	0.00759
P00163	Oxidative Phosphorylation	0	0.001187	0.007263	0.017634	0.02831	0.034915	0.03876	0.041225	0.043075	0.044515	0.045624	0.04602	0.046484	0.046833	0.046841	0.046848	0.046854	0.046858	0.046861	0.046863	0.046865	0.046865	0.046865	0.046864	0.046863	0.046862	0.04686	0.046857	0.046855	0.046852	0.046848	0.046845	0.046841	0.046837	0.046833	0.046829	0.046824	0.046819	0.046814	0.046809	0.046804	0.046799	0.046793	0.046788	0.046782	0.046776	0.04677	0.046764	0.046758	0.046752	0.046746	0.046739	0.046733	0.046726	0.04672	0.046713	0.046706	0.046497	0.045584	0.044468	0.043358	0.042255	0.041158	0.040071	0.038991	0.037918	0.03685	0.03579	0.034735	0.033688	0.032646	0.031612	0.030586	0.029566	0.028557	0.027555	0.02656	0.025571	0.024597	0.023671	0.022751
P00330	Anaerobic excretion // Anaerobic excretion	0.009639	0.008793	0.008203	0.00553	0.003311	0.001937	0.001205	0.000771	0.000444	0.00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169	0.000389	0.000609	0.000827	0.001044	0.001259	0.001473	0.001686	0.001897	0.002106	0.002315	0.002522	0.002728	0.002932	0.003135	0.003336	0.003536	0.003734	0.00393	0.004126	0.004319	0.004505	0.004691
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.340722	0.320369	0.306517	0.234981	0.176155	0.139752	0.114472	0.096107	0.082321	0.071589	0.062975	0.055732	0.048629	0.042196	0.042359	0.042507	0.042643	0.042767	0.042883	0.04299	0.043091	0.043187	0.043277	0.043363	0.043445	0.043523	0.043599	0.043672	0.043742	0.04381	0.043876	0.043941	0.044004	0.044065	0.044126	0.044185	0.044243	0.0443	0.044356	0.044411	0.044466	0.04452	0.044573	0.044626	0.044678	0.04473	0.044781	0.044832	0.044883	0.044933	0.044983	0.045033	0.045083	0.045132	0.045181	0.045231	0.045279	0.04964	0.056433	0.063866	0.071255	0.078601	0.085903	0.093148	0.100349	0.107507	0.114621	0.121692	0.128719	0.135702	0.142642	0.149536	0.156381	0.163183	0.169924	0.176618	0.183269	0.189876	0.196409	0.202742	0.209032
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0	0.000507	0.003103	0.007534	0.012096	0.014918	0.016561	0.017614	0.018404	0.01902	0.019493	0.019663	0.019861	0.02001	0.020014	0.020017	0.020019	0.020021	0.020022	0.020023	0.020024	0.020024	0.020024	0.020024	0.020023	0.020022	0.020021	0.02002	0.020019	0.020018	0.020017	0.020015	0.020014	0.020012	0.02001	0.020008	0.020006	0.020004	0.020002	0.02	0.019998	0.019995	0.019993	0.019991	0.019988	0.019986	0.019983	0.019981	0.019978	0.019975	0.019973	0.01997	0.019967	0.019964	0.019962	0.019959	0.019956	0.019866	0.019476	0.018999	0.018525	0.018054	0.017585	0.017121	0.01666	0.016201	0.015745	0.015292	0.014841	0.014393	0.013949	0.013507	0.013068	0.012632	0.012201	0.011773	0.011348	0.010925	0.010509	0.010114	0.009721
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0	0.000246	0.001508	0.003661	0.005877	0.007248	0.008046	0.008558	0.008942	0.009241	0.009471	0.009553	0.009649	0.009722	0.009724	0.009725	0.009726	0.009727	0.009728	0.009728	0.009728	0.009729	0.009729	0.009728	0.009728	0.009728	0.009727	0.009727	0.009726	0.009726	0.009725	0.009724	0.009724	0.009723	0.009722	0.009721	0.00972	0.009719	0.009718	0.009717	0.009716	0.009715	0.009714	0.009713	0.009711	0.00971	0.009709	0.009708	0.009706	0.009705	0.009704	0.009702	0.009701	0.0097	0.009698	0.009697	0.009696	0.009652	0.009463	0.009231	0.009001	0.008772	0.008544	0.008318	0.008094	0.007871	0.00765	0.007429	0.007211	0.006993	0.006777	0.006562	0.006349	0.006137	0.005928	0.00572	0.005513	0.005308	0.005106	0.004914	0.004723
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0	0.000262	0.001602	0.00389	0.006246	0.007703	0.008551	0.009095	0.009503	0.009821	0.010065	0.010153	0.010255	0.010332	0.010334	0.010335	0.010337	0.010337	0.010338	0.010339	0.010339	0.010339	0.010339	0.010339	0.010339	0.010338	0.010338	0.010337	0.010337	0.010336	0.010335	0.010335	0.010334	0.010333	0.010332	0.010331	0.01033	0.010329	0.010328	0.010327	0.010326	0.010324	0.010323	0.010322	0.010321	0.010319	0.010318	0.010317	0.010315	0.010314	0.010313	0.010311	0.01031	0.010308	0.010307	0.010305	0.010304	0.010258	0.010056	0.00981	0.009565	0.009322	0.00908	0.00884	0.008602	0.008365	0.00813	0.007896	0.007663	0.007432	0.007202	0.006974	0.006748	0.006523	0.0063	0.006079	0.005859	0.005641	0.005426	0.005222	0.005019
