rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	5.86857112444569e-06	0.0040936575556416	-0	0.129671618808349	0.330807885151127	0.530986814960891	0.6	0.6	0.6	0.6	0.5857405067087	0.393243793060152	0.193550923164855	1.12753230026991e-06	1.20045143783831e-06	1.27302215267855e-06	1.34524444232731e-06	1.41711830808217e-06	1.4886437510464e-06	1.55982076339295e-06	1.63064935866652e-06	1.70112952177504e-06	1.7712612691359e-06	1.84104458564316e-06	1.9104794783259e-06	1.97956594982091e-06	2.04830399723466e-06	2.11669361660505e-06	2.18473481089498e-06	2.25242759036015e-06	2.3197719338508e-06	2.3867678573819e-06	2.45341535318189e-06	2.51971442892518e-06	2.585665079477e-06	2.65126730453202e-06	2.71652110961362e-06	2.78142647588964e-06	2.8459834332667e-06	2.91019197048992e-06	2.97405206420298e-06	3.03756375083508e-06	3.10072700154818e-06	3.16354183227396e-06	3.22600823550456e-06	3.28812621298857e-06	3.34989577582823e-06	3.41131690831387e-06	3.47238961259655e-06	3.53311389450495e-06	3.5934897590767e-06	3.65351718750739e-06	3.71319619882349e-06	3.77252678446238e-06	3.83150894789352e-06	3.89014268029064e-06	3.94842799356088e-06	0.4763501232966	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	1.5416603161995e-07	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	1.61033414089844	1.52143100496923	1.53217156655739	1.47828674090995	1.43420428175823	1.39012181704616	1.42584080099639	1.50326991453606	1.58011229301544	1.65636793643453	1.74077614553463	1.93383515938416	2.14128648572718	2.35556316995075	2.50900762958351	2.66169419837435	2.81362287632394	2.9647936634323	3.11520655969941	3.26486156512529	3.41375867970991	3.5618979034533	3.70927923635545	3.85590267841635	4.00176822963533	4.14687589001375	4.29122565955025	4.43481753824619	4.57765152610021	4.71972762311365	4.86104582928519	5.00160614461547	5.14140856910452	5.28045310275234	5.41873974555889	5.55626849752421	5.69303935864761	5.82905232893045	5.96430740837205	6.09880459697172	6.23254389473084	6.36552530164803	6.49774881772398	6.62921444295937	6.75992217735283	6.88987202090506	7.01906397361603	7.14749803548577	7.27517420651427	7.40209248670153	7.52825287604686	7.65365537455163	7.77829998221516	7.90218669903677	8.02531552501715	8.14768646015695	8.26929950445483	8.24350823302089	8.6533169358273	9.20320858700559	9.74972024002577	10.2928518948881	10.832564540345	11.3680740230407	11.900183064782	12.4289156803135	12.954271869635	13.4762516327465	13.9948549696482	14.5100818803401	15.0219323648219	15.5302299938649	16.0348413542093	16.5360786131663	17.0328484253089	17.5260334382946	18.0158509043681	18.5023008235296	18.9833639026504	19.4510605992409	19.9154553914251
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	1.61032735212373	1.48321276705407	1.45752869318816	1.25908403727918	0.984021793788477	0.709916889610966	0.527077005872955	0.392395242379338	0.258006846415864	0.123911817982534	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.563010547460072	1.30124662105292	2.03498618601019	2.76422924233239	3.48890889367694	4.20768047678442	4.92192049602518	5.63167013179403	6.33692938409068	7.03769825291513	7.73397673826765	8.42576484014825	9.11306255855638	9.79556735330665	10.473050447837	11.1460471454921	11.8126825815979	12.4744703170766	13.13178289527	13.7846203161785	14.4295199034503	15.0527983672844	15.6717142373582
glyOUT	Production of glycerol	glycerol[c] => 			1.26918359283211e-05	0.0477133871864377	6.96565100066771e-06	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.805174083331181	0.804773719770484	0.804361075939431	0.804028826951638	0.8036161418562	0.803203456760762	0.802790771665324	0.802378086569886	0.801965401474448	0.80155271637901	0.801140031283571	0.800727346188133	0.800314661092695	0.803087227064928	0.860237711789258	0.917261881257126	0.974159735468645	1.03093127442382	1.08757649812264	1.14409540656511	1.20048799975124	1.25675427768101	1.31289424035444	1.36890788777152	1.42479521993214	1.48055623683653	1.53619093848445	1.59169932487613	1.64708139601136	1.70233715189035	1.75746659251288	1.81246971787905	1.86734652798889	1.92209702284237	1.9767212024395	2.03121906678029	2.08559061586461	2.1398358496927	2.19395476826444	2.24794737157972	2.30181365963876	2.35555363244134	2.40916728998758	2.46265463227757	2.51601565931111	2.5692503710883	2.62235876760914	2.67534084887363	2.72819661488177	2.78092606563356	2.8335292011289	2.88600602136799	2.93835652635074	2.99058071607703	3.04267859054697	3.09465014976067	3.14649539371791	3.33255529058095	3.66131993291566	4.03062361645548	4.39786513075709	4.76304447582071	5.12613285099085	5.48655134295512	5.84489257347142	6.20117427179544	6.55539643792706	6.9075590718663	7.25766217361324	7.60570574316791	7.95168978053007	8.29548403409982	8.63699000947984	8.97643816900351	9.31302133354173	9.64739113134472	9.97970795223394	10.3099717962095	10.636691888966	10.953977210155	11.2692580160228
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	3.47872463430212e-07	0.011281268400336	0.0684788387005295	0.209961875865967	0.437861384283348	0.664803547827183	0.880282139593827	1.08931274070551	1.29746323922676	1.50473363515758	1.70997338631861	1.89995212424654	2.10432317466796	2.31551958296992	2.46588376668108	2.61549005955032	2.76433846157831	2.91242897276506	3.05976159311058	3.20633632261485	3.35215316127787	3.49721210909966	3.6415131660802	3.78505633221951	3.92784160751689	4.06986899197371	4.21113848558859	4.35165008836294	4.49140380029535	4.6303996213872	4.76863755163713	4.90611759104581	5.04283973961326	5.17880399733947	5.31401036422442	5.44845884026814	5.58214942546994	5.71508211983118	5.84725692335118	5.97867383602924	6.10933285786675	6.23923398886234	6.36837722901669	6.49676257833048	6.62439003680234	6.75125960443297	6.87737128122234	7.00272506717048	7.12732096227738	7.25115896654304	7.37423907996676	7.49656130254993	7.61812563429185	7.73893207519187	7.85898062525064	7.97827128446884	8.09680405284512	8.06793250548958	7.91165038491431	7.72022568657815	7.52991749871946	7.34072582133801	7.15267853952869	6.96633616319534	6.78112490977429	6.59702761361533	6.4140442747186	6.23217489308407	6.05141946871165	5.87177800160134	5.69325049175334	5.51596305012448	5.340011040017	5.16517132539726	4.99222542551245	4.82054242709783	4.64996703905634	4.48049926138784	4.31358247731517	4.15492043415	3.99731908033874
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	3.4997770195091e-08	0.00113495399325014	0.00226990798650006	0.00340486197975043	0.0045398159729988	0.00567476996624849	0.0068097239594993	0.00794467795275056	0.00907963194600026	0.0102145859392497	0.0113495399324992	0.0124844939257507	0.0136194479190008	0.0147544019122512	0.0158893559054993	0.0170243098987495	0.0181592638920003	0.0192942178852495	0.0204291718784986	0.0215641258717509	0.0226990798649989	0.0238340338582523	0.0249689878515003	0.0261039418447504	0.0272388958380003	0.0283738498312514	0.0295088038244988	0.0306437578177516	0.0317787118109982	0.0329136658042501	0.0340486197974998	0.0351835737907522	0.0363185277840019	0.0374534817772489	0.0385884357704982	0.0397233897637501	0.0408583437569989	0.0419932977502526	0.0431282517435045	0.0442632057367471	0.0453981597299955	0.0465331137232505	0.0476680677165029	0.0488030217097504	0.0499379757030041	0.0510729296962507	0.0522078836895004	0.0533428376827434	0.0544777916760024	0.0556127456692526	0.0567476996624996	0.0578826536557515	0.0590176076489994	0.0601525616422487	0.0612875156354988	0.0624224696287552	0.0635574236219929	0.0646923776152493	0.0658273316085021	0.066962285601754	0.0680972395950015	0.0692321935882454	0.0703671475815	0.0715021015747457	0.0726370555680003	0.073772009561246	0.0749069635545023	0.0760419175477551	0.0771768715410026	0.0783118255342501	0.0794467795275065	0.0805817335207486	0.0817166875139943	0.0828516415072418	0.0839865955005106	0.0851215494937527	0.0862565034870073	0.0873914574802477	0.0885264114735058	0.0896613654667497	0.0907963194599972
