enzymes	ranges	minU	maxU	pU
P00127	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P00128	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P00163	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.00100693721211063	0	0.00100693721211063	0
P00359	0.00100975692813529	0	0.00100975692813529	1.94509073249722e-06
P00360	0.00100966371876056	0	0.00100966371876056	0
P00401	1.06751902411576e-10	6.962557959857e-07	6.96362547888112e-07	6.96361674100644e-07
P00410	1.06751902411576e-10	6.962557959857e-07	6.96362547888112e-07	6.96361674100644e-07
P00420	1.06751902411576e-10	6.962557959857e-07	6.96362547888112e-07	6.96361674100644e-07
P00425	6.96362547888112e-07	0	6.96362547888112e-07	6.96361674100644e-07
P00427	6.96362547888112e-07	0	6.96362547888112e-07	6.96361674100644e-07
P00549	2.00507593861981e-07	0	2.00507593861981e-07	1.99415078540652e-07
P00560	0.000805257839438796	8.89759340261537e-08	0.000805346815372823	8.89866754638184e-08
P00830	3.01682210611761e-10	1.76588700927031e-06	1.76618869148092e-06	1.76588700927031e-06
P00854	3.01680279845474e-10	1.76587570759345e-06	1.7661773878733e-06	1.76587570759345e-06
P00856	3.01680279845474e-10	1.76587570759345e-06	1.7661773878733e-06	1.76587570759345e-06
P00890	2.69218251351748e-07	0	2.69218251351748e-07	2.68321174026266e-07
P00924	0.000769729925217549	0	0.000769729925217549	0
P00925	0.000768120363284386	0	0.000768120363284386	0
P00942	6.41279179853787e-05	2.73974067607126e-09	6.41306577260547e-05	2.74029848419517e-09
P00950	0.000964340362479118	8.29051801941609e-08	0.000964423267659312	8.2915188752485e-08
P04037	6.96362547888112e-07	0	6.96362547888112e-07	6.96361674100644e-07
P04039	1.39272509577622e-06	0	1.39272509577622e-06	1.39272334820129e-06
P04385	0	0	0	0
P04397	0.00046071887953672	0	0.00046071887953672	0
P04806	1.06131547290265e-07	0	1.06131547290265e-07	1.06131455141298e-07
P04807	2.29518894692445e-07	0	2.29518894692445e-07	0
P05626	3.01680279845474e-10	1.76587570759345e-06	1.7661773878733e-06	1.76587570759345e-06
P06169	1.94203903195561e-07	0	1.94203903195561e-07	1.92159435032808e-07
P07143	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P07170	0.00148553093585839	0	0.00148553093585839	0
P07251	3.01682210611761e-10	1.76588700927031e-06	1.76618869148092e-06	1.76588700927031e-06
P07255	1.06751902411576e-10	6.962557959857e-07	6.96362547888112e-07	6.96361674100644e-07
P07256	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P07257	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P08067	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P08417	0.000536695785999688	3.64333554971065e-08	0.000536732219355185	3.64422478235859e-08
P08431	0.000849965770909555	0	0.000849965770909555	0
P08525	3.36511110556657e-10	2.19478815689129e-06	2.19512466800184e-06	2.19512191358544e-06
P09201	3.63576839187596e-09	0	3.63576839187596e-09	0
P09457	3.01680279845474e-10	1.76587570759345e-06	1.7661773878733e-06	1.76587570759345e-06
P09624	7.51152317838811e-09	7.02693219050537e-07	7.10204742228925e-07	7.04146811509505e-07
