enzymes	ranges	minU	maxU	pU
P00127	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P00128	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P00163	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P00330	5.59693873497869e-08	2.95814223766034e-06	3.01411162501013e-06	2.97536873288596e-06
P00358	1.42622666100739e-05	0	1.42622666100739e-05	0
P00359	0.000157493163886816	0	0.000157493163886816	0.000157453225406815
P00360	0.000157478625893641	0	0.000157478625893641	0
P00401	1.71579686444248e-09	8.83218442748555e-06	8.83390022434999e-06	8.83261219695022e-06
P00410	1.71579686444248e-09	8.83218442748555e-06	8.83390022434999e-06	8.83261219695022e-06
P00420	1.71579686444248e-09	8.83218442748555e-06	8.83390022434999e-06	8.83261219695022e-06
P00425	1.49178281325746e-09	8.83218439821286e-06	8.83367618102612e-06	8.83261219695022e-06
P00427	1.49178281325746e-09	8.83218439821286e-06	8.83367618102612e-06	8.83261219695022e-06
P00549	2.19427728048835e-06	1.40250790727271e-05	1.62193563532154e-05	1.62187682055586e-05
P00560	3.26136674039822e-08	7.20795928572304e-06	7.24057295312702e-06	7.20866146672179e-06
P00830	3.50198069711154e-09	2.21497006919265e-05	2.21532026726236e-05	2.21500138306374e-05
P00854	3.50195828443679e-09	2.21495589338421e-05	2.21530608921265e-05	2.21498720705489e-05
P00856	3.50195828443679e-09	2.21495589338421e-05	2.21530608921265e-05	2.21498720705489e-05
P00890	2.30354339060781e-06	0	2.30354339060781e-06	2.30268250451261e-06
P00924	4.43220621382489e-08	0	4.43220621382489e-08	0
P00925	4.41874867509483e-08	0	4.41874867509483e-08	0
P00942	5.33067554359628e-08	2.24197190948742e-07	2.77503946384705e-07	2.24223574688338e-07
P00950	5.23652749013902e-08	6.71616623029089e-06	6.76853150519228e-06	6.71682050206526e-06
P04037	1.49178281325746e-09	8.83218439821286e-06	8.83367618102612e-06	8.83261219695022e-06
P04039	2.98356562651491e-09	1.76643687964257e-05	1.76673523620522e-05	1.76652243939004e-05
P04385	0	0	0	0
P04397	1.82577849466355e-08	0	1.82577849466355e-08	0
P04806	8.7099804017513e-07	7.47104572450457e-06	8.3420437646797e-06	8.3420437646797e-06
P04807	4.90719219043431e-08	0	4.90719219043431e-08	0
P05626	3.50195828443679e-09	2.21495589338421e-05	2.21530608921265e-05	2.21498720705489e-05
P06169	1.68171572394378e-05	2.98504541269306e-05	4.66676113663684e-05	4.6666164531678e-05
P07143	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P07170	9.32070828251533e-07	0	9.32070828251533e-07	0
P07251	3.50198069711154e-09	2.21497006919265e-05	2.21532026726236e-05	2.21500138306374e-05
P07255	1.71579686444248e-09	8.83218442748555e-06	8.83390022434999e-06	8.83261219695022e-06
P07256	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P07257	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P08067	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P08417	2.6976341108488e-08	3.00801541033277e-07	3.27777882141765e-07	3.00917009681287e-07
P08431	3.36832132272319e-08	0	3.36832132272319e-08	0
P08525	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P09201	1.19126715174233e-09	0	1.19126715174233e-09	0
P09457	3.50195828443679e-09	2.21495589338421e-05	2.21530608921265e-05	2.21498720705489e-05
P09624	1.68855825919263e-08	1.21906393164513e-05	1.22075248990432e-05	1.21934044781577e-05
P0CX10	1.68457143275157e-05	0	1.68457143275157e-05	0
P0CX11	1.68457143275157e-05	0	1.68457143275157e-05	0
P10174	1.49178281325746e-09	8.83218439821286e-06	8.83367618102612e-06	8.83261219695022e-06
P10963	2.20081058699982e-09	0	2.20081058699982e-09	0
P11154	3.2463557903339e-06	0	3.2463557903339e-06	3.24380232935009e-06
P11412	8.29421749008318e-10	2.97038064264306e-07	2.97867486013314e-07	2.97115742154577e-07
P12695	1.19287227614901e-09	8.84590801131486e-07	8.85783673407635e-07	8.84759089113479e-07
P12709	2.39847102310375e-08	2.81616780093998e-06	2.84015251117102e-06	2.81686225862437e-06
P14540	4.18313143859633e-08	5.98333281370603e-05	5.98751594514462e-05	5.98391259915531e-05
P15019	3.89218003211678e-08	1.7432986977247e-06	1.78222049804587e-06	1.7436726866612e-06
P16387	1.68855825919263e-08	1.21906393164513e-05	1.22075248990432e-05	1.21934044781577e-05
P16451	1.19287227614901e-09	8.84590801131486e-07	8.85783673407635e-07	8.84759089113479e-07
P16467	3.42609284296846e-06	0	3.42609284296846e-06	0
P16861	5.83883509350079e-08	0	5.83883509350079e-08	0
P16862	4.71177499053129e-08	5.40093370629689e-06	5.44805145620221e-06	5.4475463885038e-06
P17505	4.06780430527612e-08	1.63513442736051e-06	1.67581247041327e-06	1.63585011776663e-06
P17709	8.7099804017513e-07	0	8.7099804017513e-07	0
P19414	1.74151006130614e-08	2.26985782487925e-06	2.28727292549231e-06	2.27054457702465e-06
P19516	1.06382740013494e-08	0	1.06382740013494e-08	0
P20967	2.79123216484845e-08	1.11796685497681e-05	1.12075808714166e-05	1.12026024322841e-05
P21306	3.50195828443679e-09	2.21495589338421e-05	2.21530608921265e-05	2.21498720705489e-05
P21801	1.09965004989435e-09	1.41965159584789e-06	1.42075124589778e-06	1.42019655731934e-06
P21826	3.27892812633179e-08	0	3.27892812633179e-08	0
P21954	2.77129479224242e-08	1.15969542339662e-05	1.16246671818886e-05	1.16197243030356e-05
P22289	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P23254	1.18601263218071e-06	2.08416443749876e-07	1.39442907593059e-06	1.37508547018518e-06
P26263	1.68156995014039e-05	0	1.68156995014039e-05	0
P28240	4.76966768597103e-08	0	4.76966768597103e-08	1.2695001995878e-09
P30902	3.50195828443679e-09	2.21495589338421e-05	2.21530608921265e-05	2.21498720705489e-05
P30952	3.27914653410508e-08	0	3.27914653410508e-08	8.72781387216614e-10
P32327	3.24600418256259e-06	0	3.24600418256259e-06	0
P32340	3.23774864532553e-07	4.93684759363862e-06	5.26062245817117e-06	5.26062245817117e-06
P32473	1.68855825919263e-08	1.21906393164513e-05	1.22075248990432e-05	1.21934044781577e-05
P32799	1.49178281325746e-09	8.83218439821286e-06	8.83367618102612e-06	8.83261219695022e-06
P33315	1.16666902643531e-06	0	1.16666902643531e-06	0
P33401	2.26212645265706e-08	0	2.26212645265706e-08	0
P33421	1.09965004989435e-09	1.41965159584789e-06	1.42075124589778e-06	1.42019655731934e-06
P37012	2.26296550304235e-08	0	2.26296550304235e-08	0
P37298	1.09965004989435e-09	1.41965159584789e-06	1.42075124589778e-06	1.42019655731934e-06
P37299	5.40865966131774e-09	2.78414540930056e-05	2.78468627526669e-05	2.78428025390226e-05
P38077	3.50195828443679e-09	2.21495589338421e-05	2.21530608921265e-05	2.21498720705489e-05
P38113	5.47816902974721e-08	0	5.47816902974721e-08	0
P38720	3.77301844249204e-06	1.27742475266524e-06	5.05044319515728e-06	5.0373744173054e-06
P38824	1.06382740013494e-08	0	1.06382740013494e-08	0
P38858	2.20024358369542e-06	1.66488109312271e-05	1.88490545149225e-05	1.88014841635417e-05
P40047	2.1002500415944e-08	0	2.1002500415944e-08	0
P40106	7.08513191693332e-09	0	7.08513191693332e-09	0
P40215	4.51513935784822e-07	0	4.51513935784822e-07	0
P41277	7.07945984898061e-09	0	7.07945984898061e-09	0
P41911	8.45436876432633e-10	0	8.45436876432633e-10	0
P42222	1.68510195372391e-05	0	1.68510195372391e-05	1.68208443839458e-05
P43635	2.30292016258987e-06	0	2.30292016258987e-06	0
P46367	2.09929883827141e-08	0	2.09929883827141e-08	0
P46969	5.52143278988465e-08	8.35720435511001e-07	8.90934763409848e-07	8.35955043548703e-07
P47052	8.97873296774734e-08	0	8.97873296774734e-08	0
P47081	1.06382740013494e-08	0	1.06382740013494e-08	0
P47771	2.26313213081775e-08	0	2.26313213081775e-08	0
P52489	2.19368913283949e-06	0	2.19368913283949e-06	0
P52910	3.93134467587893e-07	3.90886646408508e-07	7.84021113996401e-07	7.82110171474359e-07
P53239	1.06382740013494e-08	0	1.06382740013494e-08	0
P53312	3.2883053634492e-09	1.54683848120747e-06	1.55012678657092e-06	1.54943821586657e-06
P53315	2.15267323231459e-06	0	2.15267323231459e-06	0
P53319	3.75994966464016e-06	0	3.75994966464016e-06	0
P53598	3.2883053634492e-09	1.54683848120747e-06	1.55012678657092e-06	1.54943821586657e-06
