rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.44213641218579e-05	1.9038612618285e-07	2.47018869829405e-07	3.04055051586136e-07	3.61494672137391e-07	4.19337731653174e-07	4.77584229396227e-07	5.3623416750026e-07	5.95287543807277e-07	6.54744358757897e-07	7.14604611713743e-07	7.7486830420484e-07	8.3553543597098e-07	8.9660600546132e-07	9.58080012186668e-07	1.01995746008832e-06	1.08223834936749e-06	1.14492267332816e-06	1.20801043973495e-06	1.27150163948403e-06	1.33539628201229e-06	1.3996943629413e-06	1.4643958819241e-06	1.52950084139625e-06	1.59500923828382e-06	1.66092107455745e-06	1.7272363486559e-06	1.79395506127999e-06	1.86107721139583e-06	1.92860280459617e-06	1.99653183372006e-06	2.06486430279207e-06	2.13360021603104e-06	2.20273955979511e-06	2.27228234227217e-06	2.34222856582145e-06	2.41257822797269e-06	2.48333132865652e-06	2.55448787091217e-06	2.62604784892484e-06	2.69801127131264e-06	2.77037812920766e-06	2.84314842574629e-06	2.91632215820847e-06	2.98989933751603e-06	3.06387994454538e-06	3.13826399683803e-06	3.21305148268114e-06	3.2882424148839e-06	3.36383677129737e-06	3.43983458626906e-06	3.51623583166871e-06	3.59304050787101e-06	3.67024863562326e-06	3.74786019308182e-06	3.82587519806576e-06	3.9074650056703e-06	0.269926105386996	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291785239398891	0.408942688336401	0.526945778876878	0.645826427232704	0.765584633405243	0.886220397393814	1.0077337191991	1.13012459881973	1.25339303625708	1.37753903151113	1.50256258458054	1.62846369546666	1.75524236416949	1.88289859068768	2.01143237502257	2.1408437171735	2.27113261714046	2.40229907492413	2.53434309052383	2.66726466393957	2.80106379517201	2.93574048422049	3.071294731085	3.20772653576553	3.34503589826279	3.48322281857607	3.62228729670606	3.76222933265141	3.90304892641347	4.04474607799156	4.18732078738636	4.33077305459719	4.47510287962405	4.62031026246695	4.76639520312656	4.9133577016022	5.06119775789387	5.20991537200225	5.35951054392667	5.50998327366711	5.66133356122427	5.81356140659678	5.966666809786	6.12064977079193	6.27551028961321	6.43124836625121	6.58786400070591	6.74535719297597	6.90372794306275	7.06297625096556	7.22310211668506	7.3841055402206	7.54598652157218	7.70874506073978	7.87238115772412	8.03689481252378	8.20228601879812	8.28644487349981	8.6678683996186	9.10429077106908	9.65082412847978	10.193977665643	10.7337513825587	11.2701452792268	11.8031593556473	12.3327936118201	12.8590480477454	13.3819226634232	13.9014174588534	14.417532434036	14.930267588971	15.4396229236585	15.9455984380985	16.4481941322908	16.9474100062355	17.4432460599326	17.9357022933822	18.4247787065843	18.9104752995386	19.3927920722456	19.8717139901999
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.544327521828436	1.13162272641018	1.86539950997558	2.59468008998596	3.31946446644108	4.03975263934092	4.75554460868548	5.46684037447477	6.17363993670878	6.87594329538752	7.57375045051125	8.26706140207943	8.95587615009262	9.64019469455052	10.3200170354532	10.9953431728005	11.6661731065926	12.3325068368294	12.9943443635109	13.6516856866375	14.3045308062084	14.9528797222244	15.5967066535718
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486356803545224	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373265	3.13532646578746	3.27090339135757	3.65751750167033	3.95759601558515	4.32485355348789	4.69004905349772	5.05318251561452	5.4142539398383	5.77326332616906	6.1302106746068	6.48509598515151	6.8379192578032	7.18868049256197	7.53737968942762	7.88401684840035	8.22859196948006	8.57110505266674	8.9115560979604	9.24994510536104	9.58627207486865	9.92053700648325	10.2527399002049	10.5828807560335	10.9109595739691	11.2369652545564
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291785239398891	0.405862412414799	0.520785227033674	0.636585599467898	0.753263529718835	0.870819017785804	0.989252063669486	1.10856266736852	1.22875082888426	1.34981654821672	1.47175982536452	1.59458066032904	1.71827905311027	1.84285500370685	1.96830851212015	2.09463957834947	2.22184820239483	2.3499343842569	2.47889812393499	2.60873942142913	2.73945827673997	2.87105468986685	3.00352866080975	3.13688018956869	3.27110927614434	3.40621592053602	3.54220012274441	3.67906188276816	3.81680120060861	3.9554180762651	4.0949125097383	4.23528450102753	4.37653405013278	4.51866115705408	4.66166582179209	4.80554804434613	4.9503078247162	5.09594516290298	5.24246005890579	5.38985251272463	5.53812252436019	5.68727009381109	5.83729522107871	5.98819790616304	6.13997814906272	6.29263594977912	6.44617130831222	6.60058422466068	6.75587469882585	6.91204273080706	7.06908832060496	7.2270114682189	7.38581217364888	7.54549043689488	7.70604625795761	7.86747963683567	8.02979056718841	8.1108691459685	7.94488487433725	7.79093176528439	7.60060806320808	7.41140074443935	7.2233098089783	7.03633525682492	6.85047708797925	6.66573530244125	6.48210990021093	6.2996008812883	6.11820824567324	5.93793199336599	5.75877212436629	5.58072863867428	5.40380153628995	5.22799081721331	5.05329648144436	4.87971852898308	4.7072569598295	4.53591177398347	4.36568297144525	4.19657055221461	4.02858526289995
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325009	0.00226990798649995	0.00340486197975004	0.00453981597300052	0.00567476996624994	0.00680972395949975	0.00794467795274911	0.00907963194600048	0.0102145859392496	0.0113495399325004	0.0124844939257508	0.0136194479189995	0.0147544019122497	0.0158893559054984	0.0170243098987495	0.0181592638920016	0.0192942178852504	0.0204291718784981	0.0215641258717489	0.0226990798650004	0.0238340338582506	0.0249689878514998	0.0261039418447493	0.0272388958380001	0.0283738498312518	0.0295088038244999	0.0306437578177496	0.0317787118109991	0.0329136658042506	0.0340486197975016	0.0351835737907495	0.0363185277840015	0.0374534817772516	0.0385884357705009	0.0397233897637452	0.0408583437570016	0.04199329775025	0.0431282517434988	0.0442632057367462	0.0453981597299999	0.046533113723247	0.0476680677164998	0.0488030217097464	0.0499379757029987	0.0510729296962533	0.0522078836895004	0.0533428376827469	0.0544777916759998	0.0556127456692503	0.0567476996625027	0.0578826536557564	0.0590176076490101	0.0601525616422496	0.0612875156355015	0.0624224696287516	0.0635574236219938	0.0646923776152493	0.0658273316084985	0.0669622856017495	0.0680972395949944	0.0692321935882472	0.0703671475814964	0.0715021015747492	0.0726370555679949	0.0737720095612477	0.0749069635545041	0.0760419175477551	0.0771768715410044	0.0783118255342643	0.079446779527494	0.0805817335207575	0.0817166875139996	0.0828516415072507	0.0839865955005052	0.0851215494937456	0.0862565034870073	0.0873914574802477	0.0885264114735023	0.0896613654667568	0.0907963194599901
