enzymes	ranges	minU	maxU	pU
P00127	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P00128	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P00163	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P00330	0.000118349066555076	0	0.000118349066555076	0
P00358	0.000164303297437445	0	0.000164303297437445	0
P00359	0.000164763394288685	0	0.000164763394288685	4.27645022770753e-05
P00360	0.00016474818518981	0	0.00016474818518981	0
P00401	3.56002797118448e-09	1.14265123328865e-05	1.14300723608577e-05	1.1430060153208e-05
P00410	3.56002797118448e-09	1.14265123328865e-05	1.14300723608577e-05	1.1430060153208e-05
P00420	3.56002797118448e-09	1.14265123328865e-05	1.14300723608577e-05	1.1430060153208e-05
P00425	5.64601655005332e-07	1.08654707058524e-05	1.14300723608577e-05	1.1430060153208e-05
P00427	5.64601655005332e-07	1.08654707058524e-05	1.14300723608577e-05	1.1430060153208e-05
P00549	4.17460648402627e-06	0	4.17460648402627e-06	4.16944423569508e-06
P00560	9.74799708424059e-05	1.94070110697033e-06	9.94206719493762e-05	1.94159416374373e-06
P00830	1.19781798793851e-08	2.85672214353768e-05	2.85791996152562e-05	2.85672258447545e-05
P00854	1.19781032190308e-08	2.85670386051596e-05	2.85790167083786e-05	2.85670430145091e-05
P00856	1.19781032190308e-08	2.85670386051596e-05	2.85790167083786e-05	2.85670430145091e-05
P00890	3.89196600834143e-06	0	3.89196600834143e-06	3.89090012635966e-06
P00924	9.77315220138587e-05	0	9.77315220138587e-05	0
P00925	9.75271582073466e-05	0	9.75271582073466e-05	0
P00942	6.40141882992143e-05	5.96045837582474e-08	6.40737928829726e-05	5.96599146177315e-08
P00950	0.000157960910807623	1.80828868769267e-06	0.000159769199495315	1.80912081194663e-06
P04037	5.64601655005332e-07	1.08654707058524e-05	1.14300723608577e-05	1.1430060153208e-05
P04039	1.12920331001066e-06	2.17309414117048e-05	2.28601447217154e-05	2.28601203064159e-05
P04385	0	0	0	0
P04397	5.57715182042661e-05	0	5.57715182042661e-05	0
P04806	2.84009072130077e-06	0	2.84009072130077e-06	2.84009072130077e-06
P04807	6.14194836334972e-06	0	6.14194836334972e-06	0
P05626	1.19781032190308e-08	2.85670386051596e-05	2.85790167083786e-05	2.85670430145091e-05
P06169	5.68824975660573e-07	0	5.68824975660573e-07	5.54352310494165e-07
P07143	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P07170	0.000180445298748068	0	0.000180445298748068	0
P07251	1.19781798793851e-08	2.85672214353768e-05	2.85791996152562e-05	2.85672258447545e-05
P07255	3.56002797118448e-09	1.14265123328865e-05	1.14300723608577e-05	1.1430060153208e-05
P07256	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P07257	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P08067	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P08417	8.20495840879977e-05	5.21259104260849e-07	8.25708431922586e-05	5.21721177033449e-07
P08431	0.000102891119879768	0	0.000102891119879768	0
P08525	1.12221790818921e-08	3.60194831948037e-05	3.60307053738856e-05	3.60306668920442e-05
P09201	1.93335041094987e-08	1.07478928617297e-06	1.09412279028247e-06	1.07693492280692e-06
P09457	1.19781032190308e-08	2.85670386051596e-05	2.85790167083786e-05	2.85670430145091e-05
P09624	1.15036541459049e-07	1.64056714562637e-05	1.65207079977228e-05	1.64060447532243e-05
P0CX10	9.66752630520781e-05	0	9.66752630520781e-05	0
P0CX11	9.66752630520781e-05	0	9.66752630520781e-05	0
P10174	5.64601655005332e-07	1.08654707058524e-05	1.14300723608577e-05	1.1430060153208e-05
P10963	1.93196449667967e-08	0	1.93196449667967e-08	0
P11154	2.20103955947949e-06	0	2.20103955947949e-06	2.20076573124711e-06
P11412	2.98129477086369e-09	3.01265932865081e-07	3.04247227635945e-07	3.01974928788213e-07
P12695	8.34710484823168e-09	1.19040313637918e-06	1.19875024122742e-06	1.19043022297993e-06
P12709	7.1146147203347e-05	6.82100070211148e-07	7.18282472735582e-05	6.84199209935006e-07
P14540	0.000110085091559942	1.59396741636406e-05	0.000126024765723583	1.59544219658031e-05
