enzymes	ranges	minU	maxU	pU
P00127	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P00128	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P00163	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000787521472364245	0	0.000787521472364245	0
P00359	0.0007897267607265	0	0.0007897267607265	1.10271983718681e-05
P00360	0.000789653862056014	0	0.000789653862056014	0
P00401	8.25206996566677e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267765337398e-06
P00410	8.25206996566677e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267765337398e-06
P00420	8.25206996566677e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267765337398e-06
P00425	2.93268104371619e-06	0	2.93268104371619e-06	2.93267765337398e-06
P00427	2.93268104371619e-06	0	2.93268104371619e-06	2.93267765337398e-06
P00549	1.07555417106849e-06	0	1.07555417106849e-06	1.07430621749522e-06
P00560	0.000622193807236892	5.00240358674483e-07	0.000622694047595566	5.00600147119232e-07
P00830	3.21749124858411e-09	7.32970333788228e-06	7.33292082913086e-06	7.32970497066168e-06
P00854	3.21747065663972e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965806054986e-06
P00856	3.21747065663972e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965806054986e-06
P00890	9.95856023200526e-07	0	9.95856023200526e-07	9.9562658350206e-07
P00924	0.000594580187729881	0	0.000594580187729881	0
P00925	0.000593336876790511	0	0.000593336876790511	0
P00942	6.41026799997448e-05	1.53587334930215e-08	6.41180387332378e-05	1.53810248013385e-08
P00950	0.000963573954087768	4.66109375869089e-07	0.000964040063463637	4.66444616248076e-07
P04037	2.93268104371619e-06	0	2.93268104371619e-06	2.93267765337398e-06
P04039	5.86536208743239e-06	0	5.86536208743239e-06	5.86535530674796e-06
P04385	0	0	0	0
P04397	0.000355980727940014	0	0.000355980727940014	0
P04806	7.34296147822707e-07	0	7.34296147822707e-07	7.34296147822707e-07
P04807	1.5879806196008e-06	0	1.5879806196008e-06	0
P05626	3.21747065663972e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965806054986e-06
P06169	1.47240864111537e-07	0	1.47240864111537e-07	1.44131903230496e-07
P07143	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P07170	0.00114781069377319	0	0.00114781069377319	0
P07251	3.21749124858411e-09	7.32970333788228e-06	7.33292082913086e-06	7.32970497066168e-06
P07255	8.25206996566677e-10	2.93185583671963e-06	2.93268104371619e-06	2.93267765337398e-06
P07256	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P07257	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P08067	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P08417	0.00052370667361253	1.33275856607087e-07	0.000523839949469137	1.33462141204194e-07
P08431	0.000656737649120721	0	0.000656737649120721	0
P08525	2.60127750963184e-09	9.24200919438664e-06	9.24461047189627e-06	9.24459978461298e-06
P09201	4.15457980448144e-09	0	4.15457980448144e-09	0
P09457	3.21747065663972e-09	7.32965642778092e-06	7.33287389843756e-06	7.32965806054986e-06
P09624	2.78102484872632e-08	4.21326802145872e-06	4.24107826994598e-06	4.21337639880815e-06
P0CX10	0.000588154106984941	0	0.000588154106984941	0
P0CX11	0.000588154106984941	0	0.000588154106984941	0
P10174	2.93268104371619e-06	0	2.93268104371619e-06	2.93267765337398e-06
P10963	4.67055181246433e-09	0	4.67055181246433e-09	0
P11154	5.7081305449845e-07	0	5.7081305449845e-07	5.70733740606695e-07
P11412	1.06775152056051e-09	7.83611629563727e-08	7.94289144769332e-08	7.85134666657785e-08
P12695	2.01792453975099e-09	3.0571668343606e-07	3.07734607975811e-07	3.05724547346844e-07
P12709	0.000454101990800604	1.75395145708106e-07	0.000454277385946312	1.76240832386777e-07
P14540	0.000702567467605789	4.10741082450919e-06	0.000706674878430298	4.1133523155337e-06
