enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.008078	0.009628	0.010803	0.011724	0.012467	0.013078	0.01359	0.014025	0.0144	0.014726	0.015012	0.015266	0.015492	0.015695	0.015879	0.016045	0.016197	0.016336	0.016464	0.016582	0.016691	0.016792	0.016887	0.016975	0.017057	0.017135	0.017208	0.017277	0.017341	0.017403	0.017461	0.017516	0.017568	0.017618	0.017666	0.017711	0.017755	0.017796	0.017836	0.017874	0.017911	0.017946	0.017979	0.018012	0.018043	0.018073	0.018103	0.018131	0.018158	0.018184	0.01821	0.018234	0.018258	0.018281	0.018304	0.018326	0.018347	0.018284	0.017817	0.017521	0.017154	0.016789	0.016427	0.016002	0.015574	0.015148	0.014725	0.014304	0.013885	0.01347	0.013057	0.012646	0.012238	0.011832	0.01143	0.011029	0.010631	0.010236	0.009844	0.009453	0.009066
P00128	Oxidative Phosphorylation	0.006818	0.008126	0.009117	0.009895	0.010522	0.011038	0.01147	0.011837	0.012153	0.012429	0.01267	0.012884	0.013075	0.013247	0.013401	0.013542	0.01367	0.013787	0.013895	0.013995	0.014087	0.014172	0.014252	0.014327	0.014396	0.014462	0.014523	0.014581	0.014636	0.014688	0.014737	0.014783	0.014828	0.01487	0.01491	0.014948	0.014985	0.01502	0.015053	0.015086	0.015116	0.015146	0.015175	0.015202	0.015228	0.015254	0.015278	0.015302	0.015325	0.015347	0.015369	0.01539	0.01541	0.015429	0.015448	0.015467	0.015485	0.015432	0.015037	0.014787	0.014478	0.01417	0.013864	0.013506	0.013144	0.012785	0.012427	0.012072	0.011719	0.011368	0.01102	0.010673	0.010329	0.009987	0.009647	0.009309	0.008973	0.008639	0.008308	0.007979	0.007652
P00163	Oxidative Phosphorylation	0.020434	0.024357	0.027328	0.029659	0.031538	0.033084	0.034379	0.03548	0.036428	0.037253	0.037978	0.038619	0.039191	0.039705	0.040169	0.04059	0.040974	0.041325	0.041649	0.041947	0.042223	0.04248	0.042719	0.042942	0.043151	0.043347	0.043532	0.043705	0.043869	0.044025	0.044172	0.044311	0.044444	0.04457	0.04469	0.044805	0.044915	0.04502	0.04512	0.045217	0.045309	0.045398	0.045483	0.045566	0.045645	0.045721	0.045795	0.045866	0.045935	0.046002	0.046066	0.046128	0.046189	0.046247	0.046304	0.046359	0.046413	0.046255	0.045072	0.044323	0.043395	0.042473	0.041556	0.040482	0.039398	0.038321	0.037249	0.036185	0.035127	0.034075	0.03303	0.031991	0.030959	0.029933	0.028914	0.027901	0.026895	0.025895	0.024902	0.023915	0.022934
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.000407	0.000605	0.0008	0.000995	0.001209	0.001423	0.001636	0.001847	0.002057	0.002266	0.002474	0.00268	0.002885	0.003088	0.003291	0.003491	0.003691	0.003889	0.004086	0.004281	0.004475	0.004668
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.01242	0.017928	0.022081	0.02532	0.027912	0.03003	0.03179	0.033273	0.034538	0.035627	0.036574	0.037403	0.038133	0.038781	0.039357	0.039873	0.040337	0.040755	0.041133	0.041476	0.041788	0.042073	0.042333	0.042571	0.042789	0.042989	0.043173	0.043343	0.043499	0.043643	0.043776	0.043898	0.044012	0.044116	0.044213	0.044302	0.044385	0.044461	0.044531	0.044596	0.044656	0.044711	0.044762	0.044808	0.044851	0.04489	0.044926	0.044959	0.044988	0.045015	0.045039	0.045061	0.04508	0.045097	0.045112	0.045125	0.045136	0.050061	0.059006	0.064412	0.071117	0.077781	0.084406	0.091601	0.098817	0.105989	0.113118	0.120203	0.127245	0.134242	0.141197	0.148107	0.154974	0.161798	0.168577	0.175313	0.182006	0.188655	0.19526	0.201822	0.20834
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.008731	0.010407	0.011676	0.012672	0.013475	0.014136	0.014689	0.015159	0.015564	0.015917	0.016226	0.016501	0.016745	0.016965	0.017163	0.017343	0.017507	0.017657	0.017795	0.017923	0.018041	0.01815	0.018252	0.018348	0.018437	0.018521	0.018599	0.018674	0.018744	0.01881	0.018873	0.018933	0.018989	0.019043	0.019095	0.019144	0.01919	0.019235	0.019278	0.019319	0.019359	0.019397	0.019433	0.019469	0.019502	0.019535	0.019567	0.019597	0.019626	0.019655	0.019682	0.019709	0.019735	0.01976	0.019784	0.019808	0.01983	0.019763	0.019258	0.018937	0.018541	0.018147	0.017755	0.017297	0.016833	0.016373	0.015915	0.01546	0.015008	0.014559	0.014113	0.013669	0.013228	0.012789	0.012354	0.011921	0.011491	0.011064	0.01064	0.010218	0.009799
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.004242	0.005056	0.005673	0.006157	0.006547	0.006868	0.007137	0.007365	0.007562	0.007733	0.007884	0.008017	0.008136	0.008242	0.008339	0.008426	0.008506	0.008579	0.008646	0.008708	0.008765	0.008818	0.008868	0.008914	0.008958	0.008998	0.009037	0.009073	0.009107	0.009139	0.009169	0.009198	0.009226	0.009252	0.009277	0.009301	0.009324	0.009346	0.009366	0.009386	0.009406	0.009424	0.009442	0.009459	0.009475	0.009491	0.009506	0.009521	0.009536	0.009549	0.009563	0.009576	0.009588	0.0096	0.009612	0.009624	0.009635	0.009602	0.009356	0.009201	0.009008	0.008817	0.008626	0.008404	0.008179	0.007955	0.007733	0.007512	0.007292	0.007074	0.006857	0.006641	0.006427	0.006214	0.006002	0.005792	0.005583	0.005375	0.005169	0.004964	0.004761
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.004508	0.005373	0.006029	0.006543	0.006958	0.007299	0.007584	0.007827	0.008037	0.008219	0.008378	0.00852	0.008646	0.008759	0.008862	0.008955	0.009039	0.009117	0.009188	0.009254	0.009315	0.009372	0.009424	0.009474	0.00952	0.009563	0.009604	0.009642	0.009678	0.009712	0.009745	0.009776	0.009805	0.009833	0.009859	0.009885	0.009909	0.009932	0.009954	0.009975	0.009996	0.010015	0.010034	0.010052	0.01007	0.010087	0.010103	0.010119	0.010134	0.010149	0.010163	0.010176	0.01019	0.010203	0.010215	0.010227	0.010239	0.010204	0.009943	0.009778	0.009573	0.00937	0.009168	0.008931	0.008692	0.008454	0.008218	0.007983	0.007749	0.007517	0.007287	0.007058	0.00683	0.006604	0.006379	0.006155	0.005933	0.005713	0.005494	0.005276	0.00506
