rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.19492783763053e-05	3.81532507739112e-07	4.35759390541787e-07	4.90376971145831e-07	5.45385246571856e-07	6.00784217156397e-07	6.56573885492867e-07	7.12754248052838e-07	7.69325310005786e-07	8.2628706546406e-07	8.83639515787682e-07	9.41382664838147e-07	9.99516510023779e-07	1.05804104679613e-06	1.11695628032815e-06	1.17626221456113e-06	1.23595884569949e-06	1.29604616571494e-06	1.35652418503662e-06	1.41739289988979e-06	1.47865231038546e-06	1.54030242147107e-06	1.6023432254722e-06	1.66477472549054e-06	1.72759692311508e-06	1.79080981165675e-06	1.85441340420922e-06	1.91840768148932e-06	1.98279265978263e-06	2.04756833935282e-06	2.11273471037443e-06	2.17829177820428e-06	2.24423954839348e-06	2.31057800730017e-06	2.37730715511864e-06	2.44442701019532e-06	2.51193755673729e-06	2.57983880266877e-06	2.64813074303538e-06	2.71681337735141e-06	2.78588671157043e-06	2.85535073948906e-06	2.92520546157915e-06	2.99545087778519e-06	3.06608700036126e-06	3.13711380885151e-06	3.20853131413612e-06	3.28033952448625e-06	3.35253842073668e-06	3.42512801004835e-06	3.49810831877517e-06	3.57147929880286e-06	3.64524098114827e-06	3.71939335858107e-06	3.79393643457071e-06	3.86887020828452e-06	3.94419468097151e-06	0.540789323976295	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291785754631435	0.408942306043639	0.526945401395836	0.645826054588867	0.765584265624095	0.886220034500841	1.00773336121979	1.13012424577957	1.25339268818154	1.37753868842572	1.50256224651073	1.62846336243794	1.75524203620735	1.88289826781759	2.01143205727004	2.140843404564	2.27113230969947	2.40229877267714	2.53434279349634	2.66726437215705	2.80106350865995	2.93574020300437	3.07129445519031	3.20772626521777	3.34503563308742	3.48322255879859	3.62228704235196	3.76222908374617	3.90304868298257	4.04474584006049	4.18732055498061	4.33077282774224	4.47510265834539	4.62031004679006	4.76639499307693	4.91335749720531	5.06119755917522	5.20991517898731	5.35951035664093	5.50998309213606	5.66133338547339	5.81356123665155	5.96666664567192	6.12064961253448	6.27551013723787	6.43124821978348	6.58786386017126	6.74535705839989	6.90372781447073	7.06297612838309	7.22310200013761	7.38410542973366	7.54598641717125	7.70874496245034	7.87238106557164	8.03689472653376	8.20228594533876	8.20176483312806	8.83778043629394	9.23820380303805	9.74084641977574	10.2403514504876	10.7367188951738	11.2690691377121	11.8021137064219	12.3317782769739	12.8580628493679	13.380967423604	13.900491999682	14.4166365776021	14.9294011573645	15.4387857389687	15.9447903224151	16.4474149077034	16.9466594948339	17.4425240838064	17.935008674621	18.4241132672776	18.9098378617764	19.3921824581172	19.8711470562999
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.83569204229794	1.36125628741582	2.01976939201499	2.67420167540198	3.32455313757709	4.03790726742176	4.75375152483079	5.46509927360477	6.17195051374343	6.87430524524676	7.57216346811451	8.26552518234721	8.95439038794484	9.6387590849069	10.3186312732339	10.9940069529253	11.6648861239816	12.3312687864027	12.9931549401884	13.6505445853388	14.3034377218541	14.9518343497341	15.5957344689786
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486349421980312	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373265	3.13532646578746	3.34707779082537	3.78295768127272	4.05645937458186	4.39131389605035	4.72428521277715	5.05537332476237	5.41345945894613	5.77249135667994	6.12946108517575	6.48436864443347	6.83721403445309	7.18799725523449	7.5367183067779	7.88337718908333	8.22797390215054	8.57050844597976	8.91098082057077	9.2493910259238	9.58573906203872	9.92002492891554	10.2522486265543	10.582410154955	10.9105095141176	11.236546704042
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291785754631435	0.405862030122037	0.520784849552632	0.63658522682406	0.753263161937687	0.870818654892831	0.989251705690174	1.10856231432835	1.22875048080873	1.3498162051313	1.47175948729471	1.59458032730032	1.71827872514812	1.84285468083677	1.96830819436761	2.09463926573997	2.22184789495383	2.34993408200991	2.4788978269075	2.60873912964661	2.73945799022791	2.87105440865073	3.00352838491507	3.13687991902092	3.27110901096897	3.40621566075854	3.54219986839031	3.67906163386291	3.81680095717771	3.95541783833403	4.09491227733255	4.23528427417258	4.37653382885412	4.51866094137719	4.66166561174246	4.80554783994924	4.95030762599754	5.09594496988803	5.24245987162005	5.38985233119358	5.53812234860931	5.68726992386587	5.83729505696464	5.9881977479056	6.13997799668738	6.29263580331139	6.44617116777757	6.6005840900846	6.75587457023383	6.91204260822459	7.06908820405751	7.22701135773196	7.38581206924795	7.54549033860544	7.70604616580513	7.86747955084565	8.02979049372905	8.02618910559675	7.82343239054308	7.69521123624771	7.53626047246463	7.37825294386789	7.22118865045737	7.03710448722937	6.85122452260857	6.666461068465	6.48281412479878	6.30028369160993	6.11886976889854	5.9385723566644	5.75939145490751	5.58132706362808	5.4043791828259	5.22854781250118	5.05383295265372	4.8802346032836	4.70775276439086	4.53638743597548	4.36613861803732	4.19700631057653	4.02899051359319
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399324998	0.00226990798649973	0.00340486197974943	0.00453981597300085	0.00567476996625016	0.00680972395949986	0.007944677952749	0.00907963194600114	0.0102145859392494	0.0113495399325001	0.0124844939257508	0.0136194479189999	0.0147544019122495	0.0158893559054982	0.017024309898749	0.0181592638920012	0.0192942178852498	0.0204291718784981	0.0215641258717487	0.0226990798650009	0.0238340338582506	0.0249689878515003	0.0261039418447493	0.0272388958380019	0.0283738498312514	0.0295088038244991	0.0306437578177507	0.0317787118109991	0.032913665804251	0.0340486197975021	0.03518357379075	0.0363185277840028	0.0374534817772521	0.0385884357705031	0.0397233897637452	0.040858343757002	0.04199329775025	0.0431282517434983	0.0442632057367462	0.0453981597299991	0.0465331137232483	0.0476680677164993	0.0488030217097464	0.0499379757029956	0.0510729296962542	0.0522078836895008	0.0533428376827429	0.0544777916760002	0.0556127456692503	0.0567476996625036	0.0578826536557564	0.0590176076490092	0.0601525616422496	0.0612875156355033	0.0624224696287508	0.0635574236219947	0.064692377615251	0.0658273316085003	0.0669622856017522	0.0680972395949979	0.0692321935882463	0.0703671475815	0.071502101574751	0.0726370555679949	0.0737720095612548	0.0749069635545023	0.0760419175477534	0.0771768715410044	0.0783118255342465	0.079446779527494	0.0805817335207415	0.0817166875140014	0.0828516415072489	0.083986595500507	0.085121549493735	0.0862565034870002	0.0873914574802583	0.0885264114735058	0.0896613654667568	0.0907963194599795
