enzymes	ranges	minU	maxU	pU
P00127	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P00128	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P00163	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000937553556820313	0	0.000937553556820313	0
P00359	0.000940178978501374	0	0.000940178978501374	5.60943314636945e-06
P00360	0.000940092191778472	0	0.000940092191778472	0
P00401	4.07202324027481e-10	1.57536608984476e-06	1.57577329216878e-06	1.57577176181797e-06
P00410	4.07202324027481e-10	1.57536608984476e-06	1.57577329216878e-06	1.57577176181797e-06
P00420	4.07202324027481e-10	1.57536608984476e-06	1.57577329216878e-06	1.57577176181797e-06
P00425	1.57577329216878e-06	0	1.57577329216878e-06	1.57577176181797e-06
P00427	1.57577329216878e-06	0	1.57577329216878e-06	1.57577176181797e-06
P00549	5.51806944621424e-07	0	5.51806944621424e-07	5.51191127102695e-07
P00560	0.000746736241795966	2.54798138986944e-07	0.000746991039934953	2.54975674469583e-07
P00830	1.58768638585202e-09	3.93906921434884e-06	3.94065690073469e-06	3.93906995136154e-06
P00854	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P00856	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P00890	5.50524403766341e-07	0	5.50524403766341e-07	5.50411258573383e-07
P00924	0.000714196816907735	0	0.000714196816907735	0
P00925	0.000712703378791819	0	0.000712703378791819	0
P00942	6.41177390066079e-05	7.8292300614512e-09	6.41255682366694e-05	7.84022957585607e-09
P00950	0.000964031345890915	2.37413474295648e-07	0.000964268759365211	2.37578896680252e-07
P04037	1.57577329216878e-06	0	1.57577329216878e-06	1.57577176181797e-06
P04039	3.15154658433757e-06	0	3.15154658433757e-06	3.15154352363594e-06
P04385	0	0	0	0
P04397	0.000427236334294898	0	0.000427236334294898	0
P04806	3.62341932214314e-07	0	3.62341932214314e-07	3.62341932214314e-07
P04807	7.83596601631588e-07	0	7.83596601631588e-07	0
P05626	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P06169	6.80566997282463e-08	0	6.80566997282463e-08	6.65223687465519e-08
P07143	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P07170	0.00137744088488088	0	0.00137744088488088	0
P07251	1.58768638585202e-09	3.93906921434884e-06	3.94065690073469e-06	3.93906995136154e-06
P07255	4.07202324027481e-10	1.57536608984476e-06	1.57577329216878e-06	1.57577176181797e-06
P07256	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P07257	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P08067	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P08417	0.000536620823478121	7.39146162803605e-08	0.000536694738094401	7.40065492574098e-08
P08431	0.0007881948762436	0	0.0007881948762436	0
P08525	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P09201	2.05009719838032e-09	0	2.05009719838032e-09	0
P09457	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P09624	1.3723099613603e-08	2.25205148846141e-06	2.26577458807501e-06	2.25210040840936e-06
P0CX10	0.000706477948186679	0	0.000706477948186679	0
P0CX11	0.000706477948186679	0	0.000706477948186679	0
P10174	1.57577329216878e-06	0	1.57577329216878e-06	1.57577176181797e-06
P10963	2.3047060439835e-09	0	2.3047060439835e-09	0
P11154	2.64068321549109e-07	0	2.64068321549109e-07	2.64032520420153e-07
P11412	5.26887074880402e-10	3.61618222122699e-08	3.66887092871503e-08	3.62369869727511e-08
P12695	9.95754478225828e-10	1.63409901405061e-07	1.64405655883287e-07	1.63413451059193e-07
P12709	0.000544997641776551	9.02990285000273e-08	0.000545087940805051	9.07163275957887e-08
P14540	0.000843194115688927	2.09312214857909e-06	0.000845287237837506	2.09605394222625e-06
P15019	0.000902028029246426	2.12845345467457e-07	0.000902240874591894	2.13290703711207e-07
P16387	1.3723099613603e-08	2.25205148846141e-06	2.26577458807501e-06	2.25210040840936e-06
P16451	9.9575447822588e-10	1.63409901405061e-07	1.64405655883287e-07	1.63413451059193e-07
P16467	6.80566997282463e-08	0	6.80566997282463e-08	0
P16861	1.06331188141276e-07	0	1.06331188141276e-07	0
P16862	8.52574398605442e-08	1.05960233378226e-07	1.9121767323877e-07	1.90817477593098e-07
P17505	0.000937104578203462	4.0547087336879e-07	0.000937510049076831	4.05481574607405e-07
P17709	3.62341932214314e-07	0	3.62341932214314e-07	0
P19414	0.000391337444042989	5.42065318947474e-07	0.000391879509361937	5.427293149785e-07
P19516	9.10659820172393e-05	0	9.10659820172393e-05	0
P20967	2.39866288511456e-08	2.70954300342349e-06	2.73352963227464e-06	2.73344838696361e-06
P21306	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P21801	5.06785440080554e-10	3.48844632239732e-07	3.49351417679812e-07	3.49278515647146e-07
P21826	6.12744019213539e-08	0	6.12744019213539e-08	0
P21954	2.3815295787923e-08	2.73220099464904e-06	2.75601629043696e-06	2.75593562544958e-06
P22289	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P23254	0.000452829034278596	0	0.000452829034278596	1.84244861873013e-07
P26263	6.80566997282463e-08	0	6.80566997282463e-08	0
P28240	4.33108530906456e-08	4.5815549704051e-08	8.91264027946966e-08	4.59782821083894e-08
P30902	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P30952	6.12744019213539e-08	0	6.12744019213539e-08	3.16100689495177e-08
P32327	2.64068321549109e-07	0	2.64068321549109e-07	0
P32340	2.847869321374e-07	6.55008590281304e-07	9.39795522418705e-07	9.39604159857923e-07
P32473	1.3723099613603e-08	2.25205148846141e-06	2.26577458807501e-06	2.25210040840936e-06
P32799	1.57577329216878e-06	0	1.57577329216878e-06	1.57577176181797e-06
P33315	0.00044544349210872	0	0.00044544349210872	0
P33401	0.000529342752243617	0	0.000529342752243617	0
P33421	5.06785440080554e-10	3.48844632239732e-07	3.49351417679812e-07	3.49278515647146e-07
P37012	0.000529539091948544	0	0.000529539091948544	0
P37298	5.06785440080554e-10	3.48844632239732e-07	3.49351417679812e-07	3.49278515647146e-07
P37299	1.28361278051433e-09	4.9659835604879e-06	4.96726717326841e-06	4.96726234918528e-06
P38077	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P38113	0.000887371396081614	0	0.000887371396081614	0
P38720	6.2701331247002e-07	0	6.2701331247002e-07	6.19160293773541e-07
P38824	9.10659820172393e-05	0	9.10659820172393e-05	0
P38858	2.32166152369533e-06	0	2.32166152369533e-06	2.29307653563569e-06
P40047	1.26174580218457e-08	0	1.26174580218457e-08	0
P40106	1.39987125858155e-09	0	1.39987125858155e-09	0
P40215	2.847869321374e-07	0	2.847869321374e-07	0
P41277	1.39987125858155e-09	0	1.39987125858155e-09	0
P41911	1.38252772086461e-10	0	1.38252772086461e-10	0
P42222	0.000706700438821821	0	0.000706700438821821	5.94965675908608e-07
P43635	5.50524403766341e-07	0	5.50524403766341e-07	0
P46367	1.26174580218457e-08	0	1.26174580218457e-08	0
P46969	0.00128653827125469	1.11728510680907e-07	0.00128664999976537	1.1200788959681e-07
P47052	4.58748048660423e-07	0	4.58748048660423e-07	0
P47081	9.10659820172393e-05	0	9.10659820172393e-05	0
P47771	1.80305078520328e-08	0	1.80305078520328e-08	0
P52489	5.51806944621424e-07	0	5.51806944621424e-07	0
P52910	6.76204388325535e-08	0	6.76204388325535e-08	6.60938173076923e-08
P53239	9.10659820172393e-05	0	9.10659820172393e-05	0
P53312	3.31760406891412e-09	3.74758410147585e-07	3.78076014216499e-07	3.78064777132034e-07
P53315	2.32166152369533e-06	0	2.32166152369533e-06	0
P53319	6.2701331247002e-07	0	6.2701331247002e-07	0
P53598	3.31760406891412e-09	3.74758410147585e-07	3.78076014216499e-07	3.78064777132034e-07
P54115	3.03103764571876e-08	1.61485777322415e-07	1.91796153779603e-07	1.87472130103919e-07
P61829	1.58768638585202e-09	3.93906921434884e-06	3.94065690073469e-06	3.93906995136154e-06
P81449	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P81450	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
P81451	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
Q00055	1.38252772086461e-10	0	1.38252772086461e-10	0
Q00711	3.49351417679812e-07	0	3.49351417679812e-07	3.49278515647146e-07
Q01519	1.57577329216878e-06	0	1.57577329216878e-06	1.57577176181797e-06
Q01574	6.76204388325523e-08	0	6.76204388325523e-08	0
Q04458	2.90127459405122e-08	0	2.90127459405122e-08	0
Q04935	9.10659820172393e-05	0	9.10659820172393e-05	0
Q06204	1.59360216712893e-06	0	1.59360216712893e-06	0
Q06405	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
Q07500	2.847869321374e-07	0	2.847869321374e-07	0
Q12055	0.00147029110221106	0	0.00147029110221106	8.24857438806716e-08
Q12165	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
Q12189	0.00118223818220108	1.02173796569182e-06	0.00118325992016677	1.02338950251239e-06
Q12233	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
Q12349	1.58767622465928e-09	3.93904400430587e-06	3.94063168053053e-06	3.93904474131385e-06
Q3E731	9.10659820172393e-05	0	9.10659820172393e-05	0
