enzymes	ranges	minU	maxU	pU
P00127	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
P00128	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
P00163	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
P00330	0.000270179151276515	0	0.000270179151276515	0
P00358	0.000313704857079438	0	0.000313704857079438	0
P00359	0.000314583321597267	0	0.000314583321597267	3.60719708771399e-05
P00360	0.000314554282811902	0	0.000314554282811902	0
P00401	2.7091374346198e-09	9.52562415211109e-06	9.52833328954571e-06	9.52832394460568e-06
P00410	2.7091374346198e-09	9.52562415211109e-06	9.52833328954571e-06	9.52832394460568e-06
P00420	2.7091374346198e-09	9.52562415211109e-06	9.52833328954571e-06	9.52832394460568e-06
P00425	1.28484721126716e-06	8.24348607827855e-06	9.52833328954571e-06	9.52832394460568e-06
P00427	1.28484721126716e-06	8.24348607827855e-06	9.52833328954571e-06	9.52832394460568e-06
P00549	3.51470762203884e-06	0	3.51470762203884e-06	3.51061050517934e-06
P00560	0.000222536223686428	1.63612128986239e-06	0.000224172344976291	1.63730241979058e-06
P00830	1.05629569591067e-08	2.38137876238665e-05	2.38243505808256e-05	2.38137921243637e-05
P00854	1.05628893561806e-08	2.38136352156257e-05	2.38241981049819e-05	2.38136397160941e-05
P00856	1.05628893561806e-08	2.38136352156257e-05	2.38241981049819e-05	2.38136397160941e-05
P00890	3.22360176575316e-06	0	3.22360176575316e-06	3.22284943281498e-06
P00924	0.000216519867286813	0	0.000216519867286813	0
P00925	0.000216067108306369	0	0.000216067108306369	0
P00942	6.40329404185796e-05	5.02285240756142e-08	6.40831689426552e-05	5.03017029999964e-08
P00950	0.000360608254375559	1.52449009768949e-06	0.000362132744473248	1.52559064010696e-06
P04037	1.28484721126716e-06	8.24348607827855e-06	9.52833328954571e-06	9.52832394460568e-06
P04039	2.57065854567995e-06	1.64860080334115e-05	1.90566665790914e-05	1.90566478892114e-05
P04385	0	0	0	0
P04397	0.000127320830594123	0	0.000127320830594123	0
P04806	2.41067900565333e-06	0	2.41067900565333e-06	2.41067900565333e-06
P04807	5.21330739975542e-06	0	5.21330739975542e-06	0
P05626	1.05628893561806e-08	2.38136352156257e-05	2.38241981049819e-05	2.38136397160941e-05
P06169	4.86950524476551e-07	0	4.86950524476551e-07	4.7674137402403e-07
P07143	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
P07170	0.000411022366260226	0	0.000411022366260226	0
P07251	1.05629569591067e-08	2.38137876238665e-05	2.38243505808256e-05	2.38137921243637e-05
P07255	2.7091374346198e-09	9.52562415211109e-06	9.52833328954571e-06	9.52832394460568e-06
P07256	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
P07257	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
P08067	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
P08417	0.000187310597663498	4.31232019938437e-07	0.000187741829683437	4.31843713023436e-07
P08431	0.000234890196029297	0	0.000234890196029297	0
P08525	8.53994004959086e-09	3.00273652249502e-05	3.00359051649998e-05	3.00358757072002e-05
