rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.44213641216335e-05	1.90386126352853e-07	2.4701886966981e-07	3.04055051266947e-07	3.61494672817403e-07	4.19337731986241e-07	4.77584230423184e-07	5.36234166861882e-07	5.95287543168899e-07	6.54744359451787e-07	7.14604612379877e-07	7.74868304593418e-07	8.35535436026491e-07	8.96606004850697e-07	9.58080016238982e-07	1.01995746214223e-06	1.08223835075527e-06	1.14492267404981e-06	1.20801043979046e-06	1.27150164148243e-06	1.33539628334456e-06	1.39969436227516e-06	1.46439588536579e-06	1.52950084150727e-06	1.59500924305778e-06	1.66092107400234e-06	1.72723634876693e-06	1.79395506205715e-06	1.86107721150686e-06	1.92860281003626e-06	1.99653183782789e-06	2.06486430823216e-06	2.1336002188066e-06	2.20273955857386e-06	2.27228234371546e-06	2.342228568597e-06	2.41257823341279e-06	2.48333133265333e-06	2.55448787224444e-06	2.62604785158937e-06	2.69801127131264e-06	2.77037812787539e-06	2.84314841642042e-06	2.91632216353754e-06	2.98989934040261e-06	3.06387994077062e-06	3.13826399439554e-06	3.21305148823225e-06	3.28824241643821e-06	3.36383677951302e-06	3.43983458515884e-06	3.51623582789395e-06	3.59304051075759e-06	3.67024863584531e-06	3.74786020662654e-06	3.82587519828781e-06	0.000853154254500166	0.338385285151747	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291785239398891	0.408942688336401	0.526945778876878	0.645826427232704	0.765584633405243	0.886220397393813	1.0077337191991	1.13012459881973	1.25339303625707	1.37753903151113	1.50256258458054	1.62846369546666	1.75524236416949	1.88289859068768	2.01143237502257	2.1408437171735	2.27113261714046	2.40229907492413	2.53434309052383	2.66726466393956	2.80106379517201	2.93574048422049	3.071294731085	3.20772653576553	3.34503589826278	3.48322281857607	3.62228729670606	3.76222933265141	3.90304892641346	4.04474607799156	4.18732078738636	4.33077305459719	4.47510287962405	4.62031026246695	4.76639520312656	4.9133577016022	5.06119775789387	5.20991537200225	5.35951054392667	5.50998327366711	5.66133356122427	5.81356140659677	5.966666809786	6.12064977079192	6.27551028961321	6.43124836625121	6.58786400070591	6.74535719297597	6.90372794306274	7.06297625096555	7.22310211668506	7.3841055402206	7.54598652157218	7.70874506073979	7.87238115772412	8.03689481252378	8.20058752521913	8.27358359535709	8.68583868189248	9.11926478955714	9.66446080516616	10.2062834470599	10.7447327152384	11.279808609702	11.8115111304503	12.3398402774835	12.8647960508015	13.3863784504044	13.904587476292	14.4194231284645	14.930885406922	15.4389743116642	15.9447903224151	16.4474149077034	16.9466594948339	17.4425240838064	17.935008674621	18.4241132672778	18.9098378617764	19.3921824581172	19.8711470562999
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.581556174705464	1.16427913267296	1.89516746881489	2.62157353873668	3.3434973424386	4.0609388799209	4.77389815118306	5.4823751562256	6.186369895048	6.88588236765078	7.58091257403341	8.27146051419617	8.95752618813932	9.63910959586232	10.3186312732339	10.9940069529253	11.6648861239816	12.3312687864027	12.9931549401884	13.650544585339	14.3034377218541	14.9518343497341	15.5957344689785
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.0486356803545223	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373265	3.13532646578746	3.2915795715887	3.67292209967499	3.97097715408742	4.33704898588206	4.7010644999841	5.06302369639365	5.42292657511084	5.78077313613542	6.13656337946763	6.49029730510725	6.84197491305449	7.19159620330913	7.53916117587129	7.88466983074108	8.22812216791826	8.57050844597976	8.91098082057077	9.2493910259238	9.58573906203872	9.92002492891554	10.2522486265544	10.582410154955	10.9105095141176	11.236546704042
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291785239398891	0.405862412414799	0.520785227033674	0.636585599467898	0.753263529718835	0.870819017785803	0.989252063669485	1.10856266736852	1.22875082888426	1.34981654821672	1.47175982536452	1.59458066032904	1.71827905311027	1.84285500370685	1.96830851212015	2.09463957834947	2.22184820239482	2.34993438425689	2.478898123935	2.60873942142913	2.73945827673997	2.87105468986685	3.00352866080975	3.13688018956869	3.27110927614433	3.40621592053602	3.54220012274441	3.67906188276816	3.81680120060861	3.9554180762651	4.0949125097383	4.23528450102753	4.37653405013279	4.51866115705409	4.66166582179209	4.80554804434613	4.9503078247162	5.09594516290298	5.24246005890579	5.38985251272464	5.53812252436019	5.68727009381109	5.83729522107872	5.98819790616303	6.13997814906272	6.29263594977912	6.44617130831222	6.60058422466067	6.75587469882584	6.91204273080706	7.06908832060496	7.2270114682189	7.38581217364888	7.54549043689489	7.70604625795761	7.86747963683567	8.02809207360941	8.09800786782578	7.9256265037341	7.77324937750966	7.58447678105515	7.39681307710547	7.21025826566051	7.02481234672017	6.84047532028467	6.65724718635378	6.47512794492773	6.2941175960063	6.1142161395897	5.93542357567783	5.75773990427057	5.58116512536815	5.4043791828259	5.22854781250118	5.05383295265372	4.88023460328361	4.70775276439086	4.53638743597536	4.36613861803731	4.19700631057653	4.02899051359321
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.00113495399325014	0.00226990798650023	0.00340486197975021	0.00453981597300013	0.00567476996624983	0.00680972395949969	0.00794467795274956	0.00907963194600026	0.0102145859392495	0.0113495399324994	0.0124844939257511	0.0136194479190009	0.0147544019122509	0.0158893559054993	0.0170243098987499	0.0181592638920007	0.0192942178852493	0.0204291718785008	0.0215641258717485	0.0226990798650013	0.0238340338582514	0.0249689878515007	0.0261039418447506	0.0272388958379992	0.0283738498312518	0.0295088038245006	0.0306437578177496	0.0317787118110004	0.0329136658042475	0.0340486197975016	0.0351835737907509	0.0363185277840019	0.0374534817772521	0.0385884357705013	0.0397233897637457	0.0408583437569994	0.04199329775025	0.0431282517435005	0.0442632057367525	0.0453981597299991	0.0465331137232479	0.0476680677165033	0.0488030217097446	0.0499379757030054	0.0510729296962507	0.0522078836895004	0.0533428376827407	0.0544777916760029	0.0556127456692503	0.0567476996625049	0.0578826536557555	0.059017607649003	0.0601525616422469	0.0612875156355015	0.0624224696287552	0.063557423622	0.0646923776152466	0.0658273316085021	0.0669622856017442	0.0680972395950032	0.0692321935882516	0.0703671475815018	0.0715021015747475	0.0726370555679967	0.073772009561246	0.0749069635545005	0.0760419175477498	0.0771768715409973	0.0783118255342483	0.079446779527494	0.0805817335207486	0.0817166875139943	0.0828516415072382	0.0839865955004964	0.0851215494937456	0.0862565034869931	0.0873914574802548	0.0885264114735058	0.0896613654667533	0.0907963194599972
