enzymes	ranges	minU	maxU	pU
P00127	7.11196743264855e-09	2.48207059047282e-05	2.48278178721609e-05	2.48277935013492e-05
P00128	7.11196743264855e-09	2.48207059047282e-05	2.48278178721609e-05	2.48277935013492e-05
P00163	7.11196743264855e-09	2.48207059047282e-05	2.48278178721609e-05	2.48277935013492e-05
P00330	0.000401605382044687	0	0.000401605382044687	0
P00358	0.000442714350643065	0	0.000442714350643065	0
P00359	0.000443954079132429	0	0.000443954079132429	2.99633701724417e-05
P00360	0.000443913098297367	0	0.000443913098297367	0
P00401	2.25613963256102e-09	7.87390814569605e-06	7.87616428532861e-06	7.87615655414107e-06
P00410	2.25613963256102e-09	7.87390814569605e-06	7.87616428532861e-06	7.87615655414107e-06
P00420	2.25613963256102e-09	7.87390814569605e-06	7.87616428532861e-06	7.87615655414107e-06
P00425	1.90950801994301e-06	5.96665626538561e-06	7.87616428532862e-06	7.87615655414107e-06
P00427	1.90950801994301e-06	5.96665626538561e-06	7.87616428532862e-06	7.87615655414107e-06
P00549	9.65056362491797e-07	0	9.65056362491797e-07	9.61644325788992e-07
P00560	0.000330786206719665	1.35890069570527e-06	0.00033214510741537	1.35988432624243e-06
P00830	8.79671349559227e-09	1.968425802488e-05	1.96930547383756e-05	1.96842617481985e-05
P00854	8.79665719662586e-09	1.96841320456287e-05	1.96929287028253e-05	1.96841357689233e-05
P00856	8.79665719662586e-09	1.96841320456287e-05	1.96929287028253e-05	1.96841357689233e-05
P00890	2.65749870767864e-06	0	2.65749870767864e-06	2.65687219930835e-06
P00924	0.00031931165020055	0	0.00031931165020055	0
P00925	0.000318643946035569	0	0.000318643946035569	0
P00942	6.40499673639434e-05	4.1715051393725e-08	6.40916824153371e-05	4.17759939056198e-08
P00950	0.000536022194032478	1.26618403365455e-06	0.000537288378066132	1.26710055189984e-06
P04037	1.90950801994301e-06	5.96665626538561e-06	7.87616428532862e-06	7.87615655414107e-06
P04039	3.81901603988601e-06	1.19333125307712e-05	1.57523285706572e-05	1.57523131082821e-05
P04385	0	0	0	0
