enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.01458	0.014953	0.015284	0.01558	0.015845	0.016085	0.016304	0.016503	0.016686	0.016855	0.01701	0.017154	0.017288	0.017413	0.017529	0.017638	0.01774	0.017836	0.017927	0.018012	0.018093	0.018169	0.018242	0.018311	0.018376	0.018438	0.018455	0.018455	0.018456	0.018457	0.018458	0.018459	0.01846	0.018461	0.018463	0.018465	0.018467	0.018468	0.01847	0.018473	0.018475	0.018477	0.018479	0.018482	0.018484	0.018486	0.018489	0.018491	0.018494	0.018497	0.018499	0.018502	0.018504	0.018507	0.01851	0.018513	0.018515	0.018479	0.018096	0.017741	0.017302	0.016866	0.016432	0.016001	0.015572	0.015146	0.014723	0.014302	0.013884	0.013468	0.013055	0.012645	0.012237	0.011831	0.011428	0.011028	0.01063	0.010235	0.009842	0.009452	0.009065
P00128	Oxidative Phosphorylation	0.012306	0.01262	0.0129	0.013149	0.013373	0.013576	0.01376	0.013929	0.014083	0.014225	0.014356	0.014478	0.014591	0.014696	0.014794	0.014886	0.014973	0.015054	0.01513	0.015202	0.01527	0.015335	0.015396	0.015454	0.015509	0.015562	0.015576	0.015576	0.015577	0.015577	0.015578	0.015579	0.01558	0.015581	0.015583	0.015584	0.015586	0.015587	0.015589	0.015591	0.015593	0.015594	0.015596	0.015598	0.0156	0.015602	0.015604	0.015607	0.015609	0.015611	0.015613	0.015615	0.015618	0.01562	0.015622	0.015625	0.015627	0.015596	0.015273	0.014973	0.014603	0.014234	0.013869	0.013505	0.013143	0.012784	0.012426	0.012071	0.011718	0.011367	0.011018	0.010672	0.010328	0.009985	0.009645	0.009307	0.008972	0.008638	0.008307	0.007978	0.007651
P00163	Oxidative Phosphorylation	0.036885	0.037827	0.038665	0.039413	0.040084	0.040692	0.041245	0.041749	0.042212	0.042638	0.043031	0.043396	0.043734	0.044049	0.044344	0.04462	0.044878	0.045121	0.04535	0.045566	0.045771	0.045964	0.046147	0.046321	0.046487	0.046645	0.046687	0.046688	0.046689	0.046691	0.046693	0.046696	0.046699	0.046703	0.046707	0.046711	0.046716	0.046721	0.046726	0.046731	0.046736	0.046742	0.046748	0.046754	0.04676	0.046766	0.046772	0.046779	0.046785	0.046792	0.046798	0.046805	0.046812	0.046818	0.046825	0.046832	0.046839	0.046746	0.045778	0.044879	0.043769	0.042666	0.041569	0.040478	0.039394	0.038317	0.037246	0.036181	0.035123	0.034072	0.033026	0.031988	0.030956	0.02993	0.028911	0.027898	0.026891	0.025892	0.024898	0.023912	0.022931
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000163	0.000339	0.000558	0.000776	0.000993	0.001209	0.001423	0.001636	0.001848	0.002058	0.002267	0.002474	0.002681	0.002885	0.003089	0.003291	0.003492	0.003691	0.003889	0.004086	0.004282	0.004476	0.004668
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.02242	0.024908	0.027101	0.029047	0.030783	0.032339	0.033742	0.03501	0.036161	0.037209	0.038166	0.039043	0.039848	0.040589	0.041273	0.041904	0.042489	0.04303	0.043534	0.044001	0.044437	0.044843	0.045222	0.045576	0.045907	0.046216	0.046303	0.0463	0.046295	0.046286	0.046275	0.046261	0.046245	0.046227	0.046208	0.046187	0.046164	0.046141	0.046116	0.04609	0.046063	0.046035	0.046006	0.045977	0.045947	0.045916	0.045885	0.045853	0.045821	0.045788	0.045755	0.045722	0.045688	0.045654	0.04562	0.045585	0.045551	0.047972	0.056347	0.062316	0.069706	0.077053	0.084356	0.091615	0.098831	0.106003	0.113132	0.120217	0.127258	0.134256	0.14121	0.148121	0.154987	0.161811	0.16859	0.175327	0.182019	0.188668	0.195273	0.201834	0.208352
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.015759	0.016162	0.01652	0.01684	0.017127	0.017386	0.017622	0.017838	0.018036	0.018218	0.018386	0.018541	0.018686	0.018821	0.018947	0.019064	0.019175	0.019279	0.019377	0.019469	0.019556	0.019639	0.019717	0.019791	0.019862	0.01993	0.019948	0.019948	0.019948	0.019949	0.01995	0.019952	0.019953	0.019954	0.019956	0.019958	0.01996	0.019962	0.019964	0.019966	0.019969	0.019971	0.019974	0.019976	0.019979	0.019981	0.019984	0.019987	0.01999	0.019992	0.019995	0.019998	0.020001	0.020004	0.020007	0.02001	0.020013	0.019973	0.019559	0.019175	0.018701	0.01823	0.017761	0.017295	0.016832	0.016371	0.015914	0.015459	0.015007	0.014558	0.014111	0.013667	0.013226	0.012788	0.012352	0.01192	0.01149	0.011063	0.010638	0.010217	0.009798
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.007657	0.007852	0.008026	0.008182	0.008321	0.008447	0.008562	0.008667	0.008763	0.008851	0.008933	0.009008	0.009079	0.009144	0.009205	0.009262	0.009316	0.009367	0.009414	0.009459	0.009501	0.009542	0.00958	0.009616	0.00965	0.009683	0.009692	0.009692	0.009692	0.009692	0.009693	0.009693	0.009694	0.009695	0.009696	0.009697	0.009698	0.009699	0.0097	0.009701	0.009702	0.009703	0.009704	0.009705	0.009707	0.009708	0.009709	0.009711	0.009712	0.009713	0.009715	0.009716	0.009718	0.009719	0.00972	0.009722	0.009723	0.009704	0.009503	0.009316	0.009086	0.008857	0.008629	0.008403	0.008178	0.007954	0.007732	0.007511	0.007291	0.007073	0.006856	0.00664	0.006426	0.006213	0.006001	0.005791	0.005582	0.005375	0.005169	0.004964	0.00476
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.008137	0.008345	0.00853	0.008695	0.008843	0.008977	0.009099	0.00921	0.009313	0.009406	0.009493	0.009574	0.009648	0.009718	0.009783	0.009844	0.009901	0.009954	0.010005	0.010053	0.010098	0.01014	0.010181	0.010219	0.010256	0.01029	0.0103	0.0103	0.0103	0.010301	0.010301	0.010302	0.010302	0.010303	0.010304	0.010305	0.010306	0.010307	0.010308	0.010309	0.010311	0.010312	0.010313	0.010314	0.010316	0.010317	0.010319	0.01032	0.010321	0.010323	0.010324	0.010326	0.010327	0.010329	0.01033	0.010332	0.010333	0.010313	0.010099	0.009901	0.009656	0.009413	0.009171	0.00893	0.008691	0.008453	0.008217	0.007982	0.007749	0.007517	0.007286	0.007057	0.006829	0.006603	0.006378	0.006155	0.005933	0.005712	0.005493	0.005275	0.005059
P00425	Oxidative Phosphorylation	0.004609	0.004727	0.004832	0.004925	0.005009	0.005085	0.005154	0.005217	0.005275	0.005328	0.005377	0.005423	0.005465	0.005504	0.005541	0.005576	0.005608	0.005638	0.005667	0.005694	0.00572	0.005744	0.005767	0.005788	0.005809	0.005829	0.005834	0.005834	0.005834	0.005835	0.005835	0.005835	0.005836	0.005836	0.005837	0.005837	0.005838	0.005838	0.005839	0.00584	0.00584	0.005841	0.005842	0.005842	0.005843	0.005844	0.005845	0.005846	0.005846	0.005847	0.005848	0.005849	0.00585	0.005851	0.005851	0.005852	0.005853	0.005841	0.00572	0.005608	0.005469	0.005332	0.005195	0.005058	0.004923	0.004788	0.004654	0.004521	0.004389	0.004258	0.004127	0.003997	0.003868	0.00374	0.003613	0.003486	0.00336	0.003235	0.003111	0.002988	0.002866
P00427	Oxidative Phosphorylation	0.004648	0.004767	0.004872	0.004967	0.005051	0.005128	0.005197	0.005261	0.005319	0.005373	0.005423	0.005468	0.005511	0.005551	0.005588	0.005623	0.005655	0.005686	0.005715	0.005742	0.005768	0.005792	0.005815	0.005837	0.005858	0.005878	0.005883	0.005883	0.005883	0.005884	0.005884	0.005884	0.005885	0.005885	0.005886	0.005886	0.005887	0.005887	0.005888	0.005889	0.005889	0.00589	0.005891	0.005892	0.005892	0.005893	0.005894	0.005895	0.005896	0.005896	0.005897	0.005898	0.005899	0.0059	0.005901	0.005902	0.005902	0.005891	0.005769	0.005655	0.005516	0.005377	0.005238	0.005101	0.004964	0.004828	0.004694	0.004559	0.004426	0.004294	0.004162	0.004031	0.003901	0.003772	0.003643	0.003516	0.003389	0.003263	0.003138	0.003013	0.00289
P00549	Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000202	0.000474	0.000727	0.000964	0.001185	0.001393	0.001588	0.001771	0.001944	0.002107	0.002261	0.002406	0.002544	0.002675	0.0028	0.002918	0.00303	0.003137	0.003239	0.003337	0.00343	0.003519	0.003604	0.003685	0.003763	0.003838	0.00391	0.003978	0.004044	0.004108	0.004169	0.004601	0.005962	0.006931	0.008132	0.009325	0.010511	0.01169	0.012862	0.014027	0.015184	0.016335	0.017478	0.018615	0.019744	0.020866	0.021981	0.023089	0.02419	0.025284	0.026371	0.027483	0.028597	0.029713	0.030854
P00560	Glycolysis // Glycolysis	0.001291	0.001431	0.001554	0.001662	0.00176	0.001847	0.001925	0.001997	0.002061	0.00212	0.002173	0.002223	0.002268	0.002309	0.002348	0.002383	0.002416	0.002446	0.002474	0.002501	0.002525	0.002548	0.002569	0.002589	0.002608	0.002625	0.00263	0.00263	0.002629	0.002629	0.002628	0.002628	0.002627	0.002626	0.002625	0.002623	0.002622	0.002621	0.002619	0.002618	0.002617	0.002615	0.002613	0.002612	0.00261	0.002608	0.002607	0.002605	0.002603	0.002601	0.0026	0.002598	0.002596	0.002594	0.002592	0.00259	0.002588	0.002728	0.003209	0.003552	0.003977	0.0044	0.00482	0.005238	0.005653	0.006065	0.006475	0.006882	0.007287	0.00769	0.00809	0.008487	0.008882	0.009274	0.009664	0.010052	0.010437	0.010819	0.011199	0.011576	0.011951
P00830	Oxidative Phosphorylation	0.036758	0.037687	0.038514	0.039253	0.039917	0.040519	0.041066	0.041565	0.042023	0.042445	0.042834	0.043195	0.04353	0.043842	0.044134	0.044407	0.044663	0.044904	0.045131	0.045345	0.045547	0.045739	0.045921	0.046093	0.046257	0.046414	0.046458	0.046458	0.04646	0.046462	0.046464	0.046467	0.04647	0.046474	0.046478	0.046482	0.046487	0.046492	0.046497	0.046502	0.046508	0.046514	0.04652	0.046526	0.046532	0.046538	0.046544	0.046551	0.046557	0.046564	0.046571	0.046578	0.046584	0.046591	0.046598	0.046605	0.046612	0.046576	0.045702	0.044804	0.043697	0.042596	0.041501	0.040413	0.039331	0.038256	0.037187	0.036125	0.035069	0.034019	0.032976	0.03194	0.03091	0.029886	0.028869	0.027858	0.026854	0.025856	0.024865	0.02388	0.022901
P00854	Oxidative Phosphorylation	0.019521	0.020014	0.020453	0.020846	0.021199	0.021518	0.021808	0.022074	0.022317	0.022541	0.022747	0.022939	0.023117	0.023283	0.023438	0.023583	0.023719	0.023847	0.023967	0.024081	0.024188	0.02429	0.024387	0.024478	0.024565	0.024648	0.024672	0.024672	0.024673	0.024674	0.024675	0.024677	0.024679	0.024681	0.024683	0.024685	0.024687	0.02469	0.024693	0.024696	0.024699	0.024702	0.024705	0.024708	0.024711	0.024715	0.024718	0.024721	0.024725	0.024728	0.024732	0.024736	0.024739	0.024743	0.024747	0.02475	0.024754	0.024735	0.02427	0.023794	0.023206	0.022621	0.02204	0.021462	0.020887	0.020316	0.019749	0.019184	0.018624	0.018066	0.017512	0.016962	0.016415	0.015871	0.015331	0.014794	0.014261	0.013731	0.013205	0.012682	0.012162
P00856	Oxidative Phosphorylation	0.003906	0.004005	0.004092	0.004171	0.004242	0.004305	0.004364	0.004417	0.004465	0.00451	0.004551	0.00459	0.004625	0.004659	0.00469	0.004719	0.004746	0.004771	0.004795	0.004818	0.00484	0.00486	0.004879	0.004898	0.004915	0.004932	0.004936	0.004937	0.004937	0.004937	0.004937	0.004937	0.004938	0.004938	0.004939	0.004939	0.00494	0.00494	0.004941	0.004941	0.004942	0.004942	0.004943	0.004944	0.004944	0.004945	0.004946	0.004946	0.004947	0.004948	0.004948	0.004949	0.00495	0.004951	0.004951	0.004952	0.004953	0.004949	0.004856	0.004761	0.004643	0.004526	0.00441	0.004294	0.004179	0.004065	0.003951	0.003839	0.003726	0.003615	0.003504	0.003394	0.003284	0.003176	0.003068	0.00296	0.002853	0.002747	0.002642	0.002537	0.002433
P00890	TCA	0.005849	0.005859	0.005869	0.005878	0.005888	0.005898	0.005907	0.005917	0.005927	0.005937	0.005947	0.005957	0.005967	0.005976	0.005986	0.005996	0.006006	0.006016	0.006025	0.006035	0.006045	0.006054	0.006064	0.006073	0.006083	0.006092	0.006094	0.006095	0.006095	0.006096	0.006098	0.006099	0.006101	0.006103	0.006105	0.006108	0.00611	0.006113	0.006116	0.006119	0.006122	0.006125	0.006128	0.006132	0.006135	0.006139	0.006142	0.006146	0.00615	0.006153	0.006157	0.006161	0.006165	0.006169	0.006172	0.006176	0.00618	0.006034	0.005707	0.005542	0.005344	0.005147	0.004951	0.004756	0.004562	0.004369	0.004178	0.003987	0.003797	0.003608	0.00342	0.003234	0.003048	0.002863	0.002679	0.002497	0.002315	0.002135	0.001955	0.001777	0.001599
P00924	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00925	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00942	Glycolysis // Glycolysis	2.4e-05	2.7e-05	2.9e-05	3.1e-05	3.3e-05	3.4e-05	3.6e-05	3.7e-05	3.8e-05	3.9e-05	4e-05	4.1e-05	4.2e-05	4.3e-05	4.3e-05	4.4e-05	4.4e-05	4.5e-05	4.6e-05	4.6e-05	4.6e-05	4.7e-05	4.7e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	4.8e-05	5.1e-05	6e-05	6.7e-05	7.5e-05	8.2e-05	9e-05	9.8e-05	0.000106	0.000113	0.000121	0.000128	0.000136	0.000143	0.000151	0.000158	0.000165	0.000173	0.00018	0.000187	0.000194	0.000201	0.000208	0.000215	0.000222
P00950	Glycolysis // Glycolysis	0.000743	0.000823	0.000893	0.000956	0.001012	0.001062	0.001107	0.001148	0.001185	0.001219	0.00125	0.001278	0.001304	0.001328	0.00135	0.00137	0.001389	0.001407	0.001423	0.001438	0.001452	0.001465	0.001477	0.001489	0.001499	0.001509	0.001512	0.001512	0.001512	0.001512	0.001511	0.001511	0.00151	0.00151	0.001509	0.001508	0.001508	0.001507	0.001506	0.001505	0.001505	0.001504	0.001503	0.001502	0.001501	0.0015	0.001499	0.001498	0.001497	0.001496	0.001495	0.001494	0.001493	0.001492	0.00149	0.001489	0.001488	0.001568	0.001845	0.002043	0.002287	0.00253	0.002772	0.003012	0.00325	0.003487	0.003723	0.003957	0.00419	0.004422	0.004652	0.00488	0.005107	0.005333	0.005557	0.00578	0.006001	0.006221	0.006439	0.006656	0.006872
P04037	Oxidative Phosphorylation	0.004595	0.004712	0.004816	0.00491	0.004993	0.005069	0.005138	0.005201	0.005258	0.005311	0.00536	0.005406	0.005448	0.005487	0.005524	0.005558	0.00559	0.005621	0.005649	0.005676	0.005702	0.005726	0.005749	0.00577	0.005791	0.00581	0.005816	0.005816	0.005816	0.005816	0.005816	0.005817	0.005817	0.005818	0.005818	0.005819	0.005819	0.00582	0.005821	0.005821	0.005822	0.005823	0.005823	0.005824	0.005825	0.005826	0.005826	0.005827	0.005828	0.005829	0.00583	0.00583	0.005831	0.005832	0.005833	0.005834	0.005835	0.005823	0.005703	0.005591	0.005452	0.005315	0.005178	0.005042	0.004907	0.004773	0.00464	0.004507	0.004375	0.004244	0.004114	0.003985	0.003856	0.003728	0.003601	0.003475	0.00335	0.003225	0.003102	0.002979	0.002857
