rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	2.75198340109108e-05	4.10558109505818e-05	1.55725613920337e-05	7.74424411214766e-07	8.19050898378387e-07	8.64038348983437e-07	9.09386764124526e-07	9.55096145935364e-07	1.00116649292409e-06	1.04759780719665e-06	1.09439008478401e-06	1.1415433302138e-06	1.18905754100534e-06	1.23693271760622e-06	1.28516885752883e-06	1.33376596460344e-06	1.38272404169582e-06	1.43204307811312e-06	1.48172308295225e-06	1.5317640497739e-06	1.58216598801497e-06	1.63292888930022e-06	1.68405275794564e-06	1.73553759572065e-06	1.7873833895593e-06	1.83959015542107e-06	1.72737371610665e-06	1.79409190648183e-06	1.8612135370133e-06	1.92873860796472e-06	1.9966671148397e-06	2.0649990616628e-06	2.13373444465925e-06	2.20287326617441e-06	2.27241552373803e-06	2.34236121970932e-06	2.41271035428259e-06	2.48346292738844e-06	2.55461893673703e-06	2.62617838450718e-06	2.69814128198154e-06	2.77050760963404e-06	2.84327737060108e-06	2.91645057282075e-06	2.99002720856312e-06	3.06400729334355e-06	3.13839081539369e-06	3.21317777099428e-06	3.28836815430278e-06	3.36396198047373e-06	3.43995925987384e-06	3.51635996437283e-06	3.59316410233901e-06	3.6703716971842e-06	3.74798271907117e-06	3.82599717516086e-06	3.90441507203132e-06	0.269917828570359	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.936836487607128	1.02982295021397	1.12361054555379	1.21814430461034	1.31341591208184	1.40945505277329	1.50626172668537	1.60383593381672	1.70217767416802	1.80128694773927	1.90116375453046	2.0018080945423	2.1032199677734	2.20539937422444	2.30834631389612	2.41206078678707	2.51654279289865	2.6217923322295	2.72780940478098	2.83459401055173	2.94214614954311	3.05046582175444	3.15955302718503	3.26940776583626	3.38003003770744	3.49141984279856	3.62228729643132	3.76222933237771	3.90304892614082	4.04474607771995	4.18732078711579	4.33077305432768	4.47510287935559	4.62031026219954	4.7663952028602	4.91335770133689	5.06119775762962	5.20991537173906	5.35951054366453	5.50998327340603	5.66133356096425	5.81356140633781	5.96666680952811	6.1206497705351	6.27551028935745	6.43124836599651	6.58786400045228	6.74535719272341	6.90372794281126	7.06297625071514	7.22310211643571	7.38410553997233	7.54598652132499	7.70874506049366	7.87238115747907	8.03689481227982	8.20228602489797	8.28644746646597	8.66754874862349	9.10399286315553	9.65055362075573	10.1937343844652	10.7335351542842	11.2699559302124	11.8029967122501	12.3326575003971	12.8589382946535	13.3818390950194	13.9013599014947	14.4175007140792	14.9302615327731	15.4396423575764	15.9456431884892	16.4482640255112	16.9475048686426	17.4433657178835	17.9358465732337	18.4249357976811	18.9106419417909	19.3929648361718	19.8718964042317
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	2.22198309443384e-05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.543779377040175	1.13111186657739	1.86493563588596	2.59426290387664	3.31909367054996	4.03942793590514	4.75526569994295	5.46660696266287	6.17345172406517	6.87579998414985	7.57365174291689	8.26700700036606	8.9558657564976	9.64022801131126	10.3200937648076	10.995463016986	11.6663357678465	12.3327120173896	12.9945917656149	13.6519550574175	14.3048165552743	14.953175968714	15.5970194480267
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.156155994489506	0.203227227451801	0.250426382737742	0.29775346034733	0.345208460280565	0.392791382537447	0.44050222711809	0.488340994022265	0.536307683250088	0.584402294801557	0.632624828676673	0.68097528487555	0.72945366339796	0.778059964244016	0.826794187413834	0.875656332907184	0.924646400724295	0.97376439086494	1.02301030332934	1.07238413811728	1.12188589522898	1.17151557466433	1.2212731764232	1.27115870050584	1.32117214691213	1.37131351564206	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373265	3.13532646578746	3.27090106457971	3.65728151157506	3.9573760776553	4.32465384417068	4.6898694445983	5.05302287893841	5.41411414719065	5.77314324935536	6.13011018543233	6.48501495542165	6.83785755932334	7.18863799713739	7.53735626886369	7.88401237450236	8.22860631405327	8.57113808751666	8.9116076948923	9.25001513618018	9.58636041138054	9.92064352049316	10.2528558723144	10.5830037794308	10.9110871167867	11.2370999217134
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.936814267776183	1.02674267429236	1.11744999371059	1.20890347684553	1.30109480839543	1.39405367316528	1.48778007115576	1.5822740023655	1.6775354667952	1.77356446444485	1.87036099531444	1.96792505940468	2.06625665671417	2.16535578724362	2.2652224509937	2.36585664796304	2.46725837815302	2.56942764156227	2.67236443819214	2.77606876804129	2.88054063111107	2.98578002740079	3.09178695690979	3.19856141963941	3.30610341558899	3.41441294475851	3.54220012246967	3.67906188249446	3.81680120033596	3.95541807599349	4.09491250946773	4.23528450075802	4.37653404986432	4.51866115678668	4.66166582152573	4.80554804408082	4.95030782445195	5.09594516263979	5.24246005864366	5.38985251246356	5.53812252410017	5.68727009355213	5.83729522082082	5.98819790590621	6.13997814880697	6.29263594952442	6.44617130805859	6.60058422440811	6.75587469857436	6.91204273055664	7.06908832035561	7.22701146797063	7.38581217340169	7.54549043664876	7.70604625771256	7.86747963659171	8.02979057328826	8.11087173893465	7.9451133681304	7.79114471720362	7.60080142957365	7.41157464937083	7.22346437659496	7.03647061124633	6.85059335332466	6.66583260283012	6.48218835976264	6.29966062412221	6.11824939590883	5.93795467512259	5.7587764617634	5.58071475583136	5.40376955732626	5.22794086624832	5.05322868259754	4.87963300637367	4.70715383757699	4.53579949430033	4.36556386463169	4.19644706965121	4.02845488247686
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.0011349539932502	0.00226990798650001	0.00340486197974998	0.00453981597299979	0.00567476996625005	0.00680972395949997	0.00794467795275011	0.00907963194600003	0.0102145859392486	0.0113495399324998	0.0124844939257502	0.0136194479190004	0.0147544019122507	0.0158893559055007	0.0170243098987493	0.018159263892001	0.0192942178852487	0.0204291718784984	0.0215641258717487	0.0226990798650013	0.0238340338582517	0.0249689878514989	0.0261039418447517	0.0272388958379988	0.0283738498312516	0.0295088038245026	0.0306437578177488	0.0317787118110067	0.0329136658042528	0.0340486197974994	0.0351835737907491	0.0363185277840015	0.0374534817772481	0.0385884357704969	0.0397233897637457	0.0408583437570011	0.0419932977502504	0.0431282517434992	0.0442632057367471	0.0453981597300004	0.0465331137232479	0.0476680677165002	0.0488030217097544	0.0499379757029996	0.0510729296962542	0.0522078836895035	0.0533428376827398	0.054477791676006	0.0556127456692428	0.0567476996625036	0.0578826536557489	0.0590176076490088	0.0601525616422478	0.0612875156355015	0.0624224696287436	0.063557423622008	0.064692377615251	0.0658273316085003	0.0669622856017478	0.0680972395950015	0.0692321935882489	0.0703671475815089	0.0715021015747457	0.0726370555680003	0.0737720095612406	0.0749069635545112	0.076041917547748	0.0771768715410079	0.0783118255342554	0.0794467795274976	0.0805817335207522	0.0817166875139979	0.0828516415072507	0.0839865955005088	0.0851215494937456	0.0862565034870038	0.0873914574802477	0.0885264114735058	0.0896613654667462	0.0907963194600008
PIOut	Production of Phosphate	phosphate[c] => 		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
H2O_Out	Production of H2O	H2O[c] => 			0.936814267776183	1.22125522785169	1.50647510082924	1.7924411375235	2.07914502263272	2.36661644096189	2.6548553925117	2.94386187728077	3.23363589526979	3.52417744647876	3.81548653090768	4.10756314855724	4.40040729942606	4.69401898351483	4.98839820082423	5.2835449513529	5.5794592351022	5.87614105207077	6.17359040225997	6.47180728566845	6.77079170229755	7.0705436521466	7.37106313521492	7.67235015150386	7.97440470101276	8.27722678374161	8.5995265150121	8.93090082859621	9.26315269999704	9.59628212921389	9.93028911624745	10.2651736610971	10.6009357637627	10.9375754242444	11.2750926425427	11.6134874186572	11.9527597525876	12.2929096443348	12.633937093898	12.9758421012772	13.3186246664731	13.6622847894844	14.0068224703124	14.3522377089571	14.6985305054172	15.045700859694	15.3937487717875	15.7426742416963	16.0924772694219	16.4431578549635	16.7947159983218	17.1471516994962	17.5004649584865	17.8546557752929	18.2097241499161	18.5656700823545	18.9224935726104	19.1980872918161	19.2268414745712	19.2673853772037	19.2715546431331	19.2768404164896	19.283242697273	19.2907614854837	19.2993967811214	19.3091485841862	19.320016894678	19.3320017125969	19.3451030379429	19.359320870716	19.3746552109161	19.3911060585434	19.4086734135976	19.427357276079	19.4471576459875	19.468074523323	19.4901079080856	19.5132661183683	19.537543042259	19.5629388008378	19.5894591672228
H2OIN	Uptake of f H2O	 => H2O[c]			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
galIN	Uptake of galactose	 => galactose[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
gluActiveIn	Active uptake of glucose	ATP[c] => ADP[c] + alpha-D-glucose[c] + phosphate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
ATPX	ATP hydrolysis	ATP[c] + H2O[c] => ADP[c] + phosphate[c]		Other	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
