enzymes	ranges	minU	maxU	pU
P00127	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P00128	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P00163	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P00330	0.000617283950617284	0	0.000617283950617284	0
P00358	0.000822005523525664	0	0.000822005523525664	0
P00359	0.000824307377225346	0	0.000824307377225346	9.46281703799004e-06
P00360	0.000824231286462237	0	0.000824231286462237	0
P00401	7.04943919913022e-10	2.53725814095687e-06	2.53796308487679e-06	2.53796013208075e-06
P00410	7.04943919913022e-10	2.53725814095687e-06	2.53796308487679e-06	2.53796013208075e-06
P00420	7.04943919913022e-10	2.53725814095687e-06	2.53796308487679e-06	2.53796013208075e-06
P00425	2.53796308487679e-06	0	2.53796308487679e-06	2.53796013208075e-06
P00427	2.53796308487679e-06	0	2.53796308487679e-06	2.53796013208075e-06
P00549	9.24159651589384e-07	0	9.24159651589384e-07	9.23093574373293e-07
P00560	0.000651074187891048	4.29357382228929e-07	0.000651503545273277	4.29664737757786e-07
P00830	2.7485841764531e-09	6.34335798174327e-06	6.34610656591972e-06	6.34335940380164e-06
P00854	2.74856658551426e-09	6.34331738425219e-06	6.3460659508377e-06	6.34331880630145e-06
P00856	2.74856658551426e-09	6.34331738425219e-06	6.3460659508377e-06	6.34331880630145e-06
P00890	8.65742907203806e-07	0	8.65742907203806e-07	8.6554687641456e-07
P00924	0.00062319211629269	0	0.00062319211629269	0
P00925	0.000621888975704583	0	0.000621888975704583	0
P00942	6.41070294288128e-05	1.31840189590051e-08	6.41202134477718e-05	1.32030616963601e-08
P00950	0.000963706047467832	4.00062685837267e-07	0.000964106110153669	4.00349070754521e-07
P04037	2.53796308487679e-06	0	2.53796308487679e-06	2.53796013208075e-06
P04039	5.07592616975358e-06	0	5.07592616975358e-06	5.07592026416151e-06
P04385	0	0	0	0
P04397	0.000372504331057369	0	0.000372504331057369	0
P04806	6.27282133148758e-07	0	6.27282133148758e-07	6.27282133148758e-07
P04807	1.35655331083473e-06	0	1.35655331083473e-06	0
P05626	2.74856658551426e-09	6.34331738425219e-06	6.3460659508377e-06	6.34331880630145e-06
P06169	1.24613673396683e-07	0	1.24613673396683e-07	1.21957881782364e-07
P07143	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P07170	0.00120105523934843	0	0.00120105523934843	0
P07251	2.7485841764531e-09	6.34335798174327e-06	6.34610656591972e-06	6.34335940380164e-06
P07255	7.04943919913022e-10	2.53725814095687e-06	2.53796308487679e-06	2.53796013208075e-06
P07256	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P07257	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P08067	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P08417	0.000509802532856099	2.68501967023334e-05	0.000536652729558432	2.68501967023334e-05
P08431	0.000687221524832454	0	0.000687221524832454	0
P08525	2.22217549299883e-09	7.99812963978906e-06	8.00035181528206e-06	8.00034250726365e-06
P09201	3.5491043885506e-09	0	3.5491043885506e-09	0
P09457	2.74856658551426e-09	6.34331738425219e-06	6.3460659508377e-06	6.34331880630145e-06
P09624	2.37572701928087e-08	3.64319396602887e-06	3.66695123622168e-06	3.64328835656165e-06
P0CX10	0.000616456804653403	0	0.000616456804653403	0
P0CX11	0.000616456804653403	0	0.000616456804653403	0
P10174	2.53796308487679e-06	0	2.53796308487679e-06	2.53796013208075e-06
P10963	3.98988025615942e-09	0	3.98988025615942e-09	0
P11154	4.83152210988461e-07	0	4.83152210988461e-07	4.83083133080408e-07
P11412	9.12140766516199e-10	6.63043624659545e-08	6.72165032324707e-08	6.64344660374474e-08
P12695	1.72383855331622e-09	2.64351845345694e-07	2.6607568389901e-07	2.64358694366569e-07
