enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.009365	0.01084	0.011901	0.012703	0.01333	0.013835	0.01425	0.014597	0.014892	0.015146	0.015367	0.015561	0.015733	0.015886	0.016024	0.016149	0.016262	0.016365	0.01646	0.016547	0.016628	0.016723	0.016816	0.016904	0.016986	0.017063	0.017135	0.017203	0.017267	0.017328	0.017386	0.017441	0.017493	0.017542	0.017589	0.017634	0.017677	0.017719	0.017758	0.017796	0.017832	0.017867	0.017901	0.017933	0.017964	0.017994	0.018023	0.018051	0.018078	0.018105	0.01813	0.018155	0.018178	0.018201	0.018224	0.018245	0.01827	0.018075	0.017587	0.017171	0.016757	0.016346	0.015937	0.015531	0.015127	0.014725	0.014326	0.01393	0.013536	0.013144	0.012755	0.012368	0.011983	0.011601	0.011222	0.010845	0.01047	0.010098	0.009728	0.009361	0.008996
P00128	Oxidative Phosphorylation	0.007904	0.009149	0.010045	0.010721	0.011251	0.011677	0.012027	0.01232	0.012569	0.012783	0.012969	0.013133	0.013278	0.013408	0.013524	0.013629	0.013725	0.013812	0.013892	0.013966	0.014034	0.014114	0.014193	0.014267	0.014336	0.014401	0.014462	0.014519	0.014574	0.014625	0.014674	0.01472	0.014764	0.014805	0.014845	0.014883	0.01492	0.014954	0.014988	0.01502	0.01505	0.01508	0.015108	0.015136	0.015162	0.015187	0.015212	0.015235	0.015258	0.01528	0.015302	0.015322	0.015342	0.015362	0.015381	0.015399	0.01542	0.015255	0.014843	0.014492	0.014143	0.013796	0.013451	0.013108	0.012767	0.012428	0.012091	0.011757	0.011424	0.011093	0.010765	0.010438	0.010114	0.009792	0.009471	0.009153	0.008837	0.008523	0.008211	0.007901	0.007593
P00163	Oxidative Phosphorylation	0.023692	0.027422	0.030107	0.032136	0.033723	0.034999	0.036048	0.036926	0.037673	0.038315	0.038874	0.039365	0.0398	0.040188	0.040537	0.040852	0.041139	0.0414	0.04164	0.041861	0.042064	0.042305	0.042542	0.042763	0.04297	0.043164	0.043347	0.043519	0.043682	0.043836	0.043982	0.04412	0.044252	0.044377	0.044497	0.044611	0.04472	0.044824	0.044924	0.04502	0.045111	0.0452	0.045285	0.045367	0.045445	0.045521	0.045595	0.045666	0.045734	0.0458	0.045864	0.045926	0.045987	0.046045	0.046102	0.046157	0.046219	0.045724	0.04449	0.043437	0.042391	0.041351	0.040317	0.039289	0.038267	0.037251	0.036242	0.035239	0.034242	0.033251	0.032266	0.031287	0.030315	0.029349	0.028389	0.027435	0.026487	0.025546	0.02461	0.023681	0.022758
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2e-05	0.000304	0.000517	0.000729	0.000939	0.001148	0.001356	0.001563	0.001768	0.001972	0.002175	0.002376	0.002576	0.002775	0.002972	0.003168	0.003363	0.003556	0.003749	0.003939	0.004129	0.004317	0.004504	0.00469
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.014401	0.020185	0.024327	0.027434	0.029846	0.031768	0.033333	0.034629	0.035718	0.036643	0.037437	0.038125	0.038725	0.039253	0.039718	0.040131	0.040499	0.040829	0.041124	0.041391	0.041631	0.041899	0.042157	0.042393	0.042609	0.042808	0.04299	0.043158	0.043313	0.043456	0.043588	0.043709	0.043822	0.043926	0.044021	0.04411	0.044192	0.044268	0.044337	0.044402	0.044461	0.044516	0.044566	0.044613	0.044655	0.044694	0.044729	0.044762	0.044791	0.044818	0.044842	0.044863	0.044883	0.0449	0.044915	0.044928	0.045334	0.052107	0.060553	0.067747	0.074898	0.082006	0.089073	0.096096	0.103078	0.110016	0.116913	0.123767	0.130578	0.137347	0.144074	0.150758	0.1574	0.163999	0.170556	0.17707	0.183542	0.189971	0.196358	0.202702	0.209004
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.010123	0.011717	0.012864	0.01373	0.014409	0.014954	0.015402	0.015777	0.016096	0.016371	0.016609	0.016819	0.017005	0.017171	0.01732	0.017455	0.017577	0.017689	0.017791	0.017885	0.017973	0.018075	0.018176	0.018271	0.018359	0.018443	0.018521	0.018594	0.018664	0.01873	0.018792	0.018851	0.018907	0.018961	0.019012	0.019061	0.019107	0.019152	0.019194	0.019235	0.019275	0.019312	0.019349	0.019384	0.019417	0.01945	0.019481	0.019511	0.019541	0.019569	0.019596	0.019623	0.019648	0.019673	0.019698	0.019721	0.019748	0.019536	0.019009	0.018559	0.018112	0.017668	0.017226	0.016787	0.01635	0.015916	0.015485	0.015056	0.01463	0.014207	0.013786	0.013368	0.012953	0.01254	0.01213	0.011722	0.011317	0.010915	0.010515	0.010118	0.009724
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.004918	0.005692	0.00625	0.006671	0.007	0.007265	0.007483	0.007665	0.00782	0.007954	0.00807	0.008172	0.008262	0.008343	0.008415	0.00848	0.00854	0.008594	0.008644	0.00869	0.008732	0.008782	0.008831	0.008877	0.00892	0.00896	0.008998	0.009034	0.009068	0.0091	0.00913	0.009159	0.009186	0.009212	0.009237	0.009261	0.009283	0.009305	0.009326	0.009345	0.009365	0.009383	0.009401	0.009418	0.009434	0.00945	0.009465	0.00948	0.009494	0.009508	0.009521	0.009534	0.009546	0.009558	0.00957	0.009582	0.009595	0.009492	0.009236	0.009017	0.0088	0.008584	0.008369	0.008156	0.007944	0.007733	0.007523	0.007315	0.007108	0.006902	0.006698	0.006495	0.006293	0.006092	0.005893	0.005695	0.005498	0.005303	0.005109	0.004916	0.004724
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.005227	0.00605	0.006642	0.00709	0.00744	0.007721	0.007953	0.008146	0.008311	0.008453	0.008576	0.008684	0.00878	0.008866	0.008943	0.009013	0.009076	0.009133	0.009186	0.009235	0.00928	0.009333	0.009385	0.009434	0.00948	0.009523	0.009563	0.009601	0.009637	0.009671	0.009703	0.009734	0.009763	0.00979	0.009817	0.009842	0.009866	0.009889	0.009911	0.009932	0.009952	0.009972	0.00999	0.010008	0.010026	0.010043	0.010059	0.010074	0.01009	0.010104	0.010118	0.010132	0.010145	0.010158	0.010171	0.010183	0.010197	0.010087	0.009815	0.009583	0.009352	0.009122	0.008894	0.008668	0.008442	0.008218	0.007995	0.007774	0.007554	0.007336	0.007118	0.006902	0.006688	0.006475	0.006263	0.006052	0.005843	0.005636	0.005429	0.005224	0.005021
