rxns	rxnNames	formulas	grRules	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
acOUT	Production of acetate	acetate[c] => 		Exchange reactions	1.23282686882442e-05	3.38127953121957e-07	3.94653257211261e-07	4.51581068655268e-07	5.08911387971794e-07	5.66644213998574e-07	6.24779545665283e-07	6.833173884363e-07	7.42257736489893e-07	8.01600590599749e-07	8.61345952125891e-07	9.21493823597547e-07	9.82044202423038e-07	1.04299708538619e-06	1.10435247699381e-06	1.16611037785652e-06	1.22827078351262e-06	1.29083369925648e-06	1.35379912086231e-06	1.41716704855216e-06	1.48093747844025e-06	1.54324495568736e-06	1.60544774744503e-06	1.6680410380443e-06	1.73102484239684e-06	1.79439914981677e-06	1.85816396140737e-06	1.92231927387265e-06	1.98686509017554e-06	2.05180141857331e-06	2.11712825190502e-06	2.18284559419524e-06	2.24895343900466e-06	2.31545177802051e-06	2.38234062475973e-06	2.44961997891702e-06	2.51728984868027e-06	2.58535021532835e-06	2.65380108722957e-06	2.72264248254994e-06	2.79187435395234e-06	2.86149674319502e-06	2.93150963209809e-06	3.00191303126418e-06	3.07270694095696e-06	3.14389133938831e-06	3.21546626275149e-06	3.28743168601098e-06	3.3597876086533e-06	3.43253404316846e-06	3.50567097327781e-06	3.5791984028255e-06	3.65311633751531e-06	3.72742480342358e-06	3.80212374673228e-06	3.87721320924128e-06	0.0412690943179806	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
acIN	Uptake of acetate	 => acetate[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
biomassOUT	Production of biomass	biomass[c] => 		Exchange reactions	0	0.0049995	0.009999	0.0149985	0.019998	0.0249975	0.029997	0.0349965	0.039996	0.0449955	0.049995	0.0549945	0.059994	0.0649935	0.069993	0.0749925	0.079992	0.0849915	0.089991	0.0949905	0.09999	0.1049895	0.109989	0.1149885	0.119988	0.1249875	0.129987	0.1349865	0.139986	0.1449855	0.149985	0.1549845	0.159984	0.1649835	0.169983	0.1749825	0.179982	0.1849815	0.189981	0.1949805	0.19998	0.2049795	0.209979	0.2149785	0.219978	0.2249775	0.229977	0.2349765	0.239976	0.2449755	0.249975	0.2549745	0.259974	0.2649735	0.269973	0.2749725	0.279972	0.2849715	0.289971	0.2949705	0.29997	0.3049695	0.309969	0.3149685	0.319968	0.3249675	0.329967	0.3349665	0.339966	0.3449655	0.349965	0.3549645	0.359964	0.3649635	0.369963	0.3749625	0.379962	0.3849615	0.389961	0.3949605	0.39996
co2OUT	Production of CO2	CO2[c] => 		Exchange reactions	0.291785675642207	0.408942392852747	0.526945483608102	0.645826132180671	0.765584338571812	0.886220102780852	1.00773342480846	1.13012430465329	1.25339274231669	1.37753873779867	1.50256229109786	1.62846340221562	1.75524207115196	1.88289829790552	2.01143208247764	2.14084342486767	2.27113232507559	2.40229878310208	2.53434279894647	2.66726437260875	2.8010635040896	2.9357401971193	3.07129444898126	3.20772625868513	3.34503562623158	3.48322255161992	3.62228703485085	3.76222907592299	3.90304867483771	4.04474583159433	4.18732054619352	4.33077281863463	4.47510264891761	4.62031003704251	4.76639498301	4.91335748681935	5.06119754847062	5.20991516796448	5.35951034530025	5.50998308047787	5.66133337349812	5.81356122435955	5.96666663306358	6.12064959961018	6.27551012399801	6.43124820622841	6.58786384630138	6.7453570442156	6.90372779997237	7.06297611357106	7.2231019850123	7.38410541429546	7.54598640142053	7.70874494638746	7.87238104919701	8.03689470984843	8.19162307819476	8.28502366742956	8.91710255745415	9.45165855506881	9.98290869192363	10.5108529680188	11.0354913833544	11.5568239379302	12.0748506317464	12.589571464803	13.1009864370999	13.6090955486371	14.1138987994146	14.6153961894324	15.1135877186906	15.6084733871891	16.100053194928	16.5883271419073	17.0732952281267	17.5549574535866	18.0333138182868	18.5083643222273	18.9801089654082	19.4485477478295	19.913680669491
ethOUT	Production of ethanol	ethanol[c] => 		Exchange reactions	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.174513935293846	1.01534914111622	1.72728769298049	2.43485686674417	3.13805666240755	3.83688707997087	4.53134811943362	5.22143978079631	5.90716206405868	6.58851496922075	7.2654984962825	7.93811264524392	8.60635741610504	9.27023280886585	9.92973882352634	10.5848754600868	11.2356427185469	11.8820405989064	12.5240691011659	13.1617282253251	13.795017971384	14.4239383393425	15.048489329201	15.6686709409589
glyOUT	Production of glycerol	glycerol[c] => 			-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
glcIN	Uptake of glucose	 => alpha-D-glucose[c]		Exchange reactions	0.048635055363264	0.0997335619972656	0.150977146444083	0.202366990661271	0.253903094649058	0.30558545840733	0.3574140819362	0.409388965235441	0.46151010830528	0.513777511145718	0.566191173756527	0.618751096137935	0.671457278289941	0.724309720212318	0.777308421905294	0.830453383368754	0.883744604602699	0.937182085607243	0.990765826382271	1.04449582692778	1.0983720872439	1.15239460733049	1.20656338718757	1.26087842681514	1.3153397262133	1.36994728538195	1.4247011043212	1.47960118303082	1.53464752151104	1.58984011976174	1.64517897778304	1.70066409557482	1.75629547313709	1.81207311046985	1.8679970075732	1.92406716444704	1.98028358109136	2.03664625750628	2.09315519369169	2.14981038964758	2.20661184537407	2.26355956087093	2.32065353613839	2.37789377117644	2.43528026598487	2.4928130205639	2.55049203491352	2.60831730903352	2.66628884292411	2.72440663658519	2.78267069001687	2.84108100321903	2.89963757619168	2.95834040893481	3.01718950144854	3.07618485373276	3.14730437130456	3.43886246698147	3.85606373440552	4.21404563510854	4.5700200996514	4.9239871280342	5.27594672025707	5.62589887631977	5.97384359622253	6.31978087996524	6.6637107275479	7.00563313897051	7.34554811423306	7.68345565333556	8.01935575627801	8.35324842306041	8.68513365368287	9.01501144814528	9.34288180644752	9.66874472858982	9.99260021457208	10.3144482643943	10.6342888780564	10.9521220555586	11.2679477969007
o2IN	Uptake of O2	 => O2[c]		Exchange reactions	0.291785675642208	0.405862116931145	0.520784931764898	0.636585304415864	0.753263234885404	0.870818723172841	0.989251769278852	1.10856237320208	1.22875053494387	1.34981625450425	1.47175953188184	1.594580367078	1.71827876009274	1.84285471092469	1.96830821957522	2.09463928604364	2.22184791032996	2.34993409243484	2.47889783235763	2.60873913009831	2.73945798565757	2.87105440276566	3.00352837870602	3.13687991248829	3.27110900411313	3.40621565357987	3.54219986088919	3.67906162603973	3.81680094903285	3.95541782986787	4.09491226854546	4.23528426506496	4.37653381942635	4.51866093162965	4.66166560167553	4.80554782956329	4.95030761529295	5.09594495886521	5.24245986027937	5.38985231953539	5.53812233663403	5.68726991157386	5.8372950443563	5.98819773498129	6.13997798344752	6.29263578975632	6.44617115390769	6.6005840759003	6.75587455573547	6.91204259341255	7.0690881889322	7.22701134229375	7.38581205349723	7.54549032254255	7.7060461494305	7.86747953416032	8.01912762658505	7.9349340046044	7.72309741288501	7.54263458271379	7.36323526988334	7.18489947439351	7.0076271962442	6.83141843543562	6.65627319196758	6.48219146584017	6.30917325705339	6.13721856560724	5.96632739150173	5.79649973473685	5.62773559531259	5.46003497322898	5.29339786848589	5.12782428108342	4.9633142110217	4.7998676583005	4.63748462291994	4.47616510488001	4.3159091041807	4.15671662082194	3.9985876548039
ethIN	Uptake of ethanol	 => ethanol[c]		Exchange reactions	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
PIIn	Uptake of Phosphate	 => phosphate[c]		Exchange reactions	-0	0.0011349539932502	0.00226990798649992	0.00340486197974987	0.00453981597300041	0.00567476996624988	0.00680972395949975	0.00794467795274933	0.00907963194600092	0.0102145859392502	0.0113495399325002	0.0124844939257506	0.0136194479189997	0.0147544019122493	0.0158893559054987	0.017024309898749	0.0181592638920014	0.0192942178852504	0.0204291718784979	0.0215641258717487	0.0226990798650006	0.023834033858251	0.0249689878515007	0.02610394184475	0.0272388958379992	0.0283738498312516	0.0295088038244995	0.0306437578177503	0.0317787118109991	0.0329136658042462	0.0340486197975016	0.0351835737907495	0.0363185277840019	0.0374534817772512	0.0385884357705017	0.0397233897637461	0.0408583437569998	0.0419932977502508	0.0431282517434979	0.0442632057367476	0.0453981597299999	0.0465331137232474	0.0476680677164989	0.0488030217097464	0.0499379757030001	0.0510729296962542	0.0522078836895004	0.0533428376827469	0.0544777916760002	0.0556127456692503	0.0567476996625036	0.057882653655756	0.0590176076490088	0.0601525616422487	0.0612875156355024	0.0624224696287508	0.0635574236219956	0.0646923776152546	0.0658273316084932	0.0669622856017487	0.0680972395949997	0.0692321935882472	0.0703671475814929	0.071502101574751	0.0726370555679985	0.0737720095612513	0.0749069635545094	0.0760419175477498	0.0771768715410079	0.0783118255342572	0.079446779527494	0.0805817335207539	0.0817166875140032	0.0828516415072507	0.0839865955005017	0.0851215494937421	0.0862565034870038	0.0873914574802477	0.0885264114735058	0.089661365466764	0.0907963194600008
