input,output,evidence,type
MKS1(ko) + glucose,ACO1(up_strong), western_blot,expression
glucose,ACO1(down_medium)," prot-act ,  lacZ",expression
lactate,ACO1(up_medium)," lacZ ,  prot-act",expression
HAP2(ko) + raffinose,ACO1(down), western_blot,expression
glucose + glutamate,ACO1(down_strong), northern_blot,expression
RTG1(ko) + raffinose,ACO1(up), western_blot,expression
RTG3(ko) + raffinose + dys_mit,ACO1(down_strong) + CIT2(down_strong) + CIT1(down_strong) + IDH2(down_strong) + IDH1(down_strong), northern_blot,expression
RTG2(ko) + glucose,ACO1(down_strong), lacZ,expression
YAP6,ACO1 + DCI1 + IDP2, ChIP-chip,tfbinding
dys_mit + RTG1(ko) + raffinose,ACO1(down_strong) + CIT2(down_strong) + IDH1(down_strong) + CIT1(down_strong) + IDH2(down_strong), northern_blot,expression
glucose + RTG1(ko) + MKS1(ko),ACO1(down_medium), western_blot,expression
ethanol,ACO1(up) + ACO2(down) + ADH2(down) + MDH1(up) + MLS1(up) + ACS1(down) + YAT1(down) + CIT2(up_medium) + ACS2(up) + ADH3(up) + ICL1(up) + SFC1(up) + CAT2(up) + PDC1(down) + ADH1(down) + CIT1(up_medium) + ACH1(up) + MDH2(up), northern_blot,expression
glucose,ACO1(down_strong) + HXK2(down_strong) + SIP4(down_strong) + SDH1(down_strong) + SDH4(down_strong), RT-PCR,expression
glutamate + glucose,ACO1(down_strong), mRNA,expression
raffinose + HAP2(ko) + RTG1(ko),ACO1(down_strong), western_blot,expression
oleic_acid + PIP2,ACO1 + FAA2 + ACS1 + SPS19 + PCK1 + PXA2 + IDP3 + MDH1 + SDH3 + PDC1 + FBP1 + HXT5 + KGD1 + CAT2, ChIP-chip,tfbinding
HAP2(ko) + glucose + RTG1(ko),ACO1(down_strong), western_blot,expression
HAP2/3/4/5,ACO1(up), author-statement,expression
glucose + RTG1/3(ko),ACO1(down_medium), western_blot,expression
raffinose,ACO1(up_medium), western_blot,expression
GCR2(ko) + glucose,ADH2(down_medium) + ENO1(down_medium) + CYB2(up_medium) + CIT1(up_medium) + ADH1(down_medium) + HXT2(up_strong) + PFK1(down_medium) + NDI1(up_medium) + CDC19(down_strong) + ENO2(down_strong) + SDH4(up_medium) + FBP1(up_medium) + GPM1(down_strong) + ACO1(up_medium) + PGI1(down_medium) + SDH2(up_medium) + SDH3(up_medium) + HXT3(down_medium) + HXT7(down_medium) + PGK1(down_strong) + HXT1(down_medium) + DLD3(up_medium) + CIT2(up_medium) + FBA1(down_medium) + HXT6(down_medium) + GLK1(up_strong) + HXK2(down_medium), microarray,expression
LEU3(oe),ADR1(up) + PDC1(up) + HAP4(up) + ACO1(up) + GID8(up) + YAT1(up) + MDH3(up) + HAP1(up), microarray,expression
glucose(low) + ADR1,CAT2 + IDP3 + HXT6 + ACO1 + PGI1 + PDC1 + KGD2 + STL1 + JEN1 + FBP1 + ADH2 + PEX25, ChIP-chip,tfbinding
RTG1/3(ko) + dys_mit,CIT1(down_medium) + JEN1(down_medium) + ACO1(down_strong) + CRC1(down_medium) + CIT3(down_strong) + ACS1(down_medium) + IDH2(down_strong) + CIT2(down_strong), microarray,expression
RTG1/3,CIT2 + DLD3 + IDH1 + CIT1 + ACO1 + IDH2, review,tfbinding
dys_mit + RTG2(ko),CIT2(down_strong) + JEN1(down_medium) + CIT1(down_medium) + IDH2(down_strong) + ACS1(down_medium) + ACO1(down_medium) + CRC1(down_medium) + CIT3(down_strong), microarray,expression
selenite + YAP1(ko),CIT2(down_medium) + HXT2(up_medium) + ACO1(up_medium) + HXT6(up_medium) + HXK1(up_medium) + PDC1(up_medium) + GLK1(up_medium) + HXT4(up_medium) + HXT3(up_medium), microarray,expression
aa_starvation,CIT2(up) + JEN1(up) + IDH1(up) + ACO1(up) + ICL1(up) + IDP1(up) + CIT1(up) + CIT3(up) + ACO2(up) + IDH2(up) + PIP2(up) + CRC1(up), microarray,expression
NaCl,CTA1(up_medium) + CAT2(up_medium) + CIT1(up_medium) + PYC1(up_medium) + HXT5(up_strong) + IDH1(up_medium) + STL1(up_strong) + HXT1(up_strong) + GUT2(up_strong) + SDH1(up_medium) + ACO1(up_medium) + MAE1(down_strong) + GLK1(up_strong) + ACO2(down_strong) + YJL045W(up_medium) + REG2(up_medium) + GUT1(down_medium) + IDH2(up_medium) + HXK1(up_medium) + HXT2(down_medium) + FAA4(down_medium) + CYB2(up_medium) + PDC6(up_strong) + POX1(up_medium) + CRC1(up_medium) + SIP4(up_medium), microarray,expression
DAL81,DAL7 + GID8 + MDH2 + ACO1, ChIP-chip,tfbinding
glucose + GCR1(ko),ENO1(down_strong) + ENO2(down_strong) + TDH1(up_weak) + SDH4(up_strong) + SDH1(up_strong) + ACO1(up_strong) + GPM1(down_strong), RT-PCR,expression
glucose + GCR2(ko),ENO2(down_strong) + SDH1(up_strong) + ENO1(down_strong) + HAP5(up_medium) + SDH4(up_strong) + SIP4(up_medium) + GPM1(down_strong) + ACO1(up_strong), RT-PCR,expression
