input,output,evidence,type
GCR2(ko) + glucose,ADH2(down_medium) + ENO1(down_medium) + CYB2(up_medium) + CIT1(up_medium) + ADH1(down_medium) + HXT2(up_strong) + PFK1(down_medium) + NDI1(up_medium) + CDC19(down_strong) + ENO2(down_strong) + SDH4(up_medium) + FBP1(up_medium) + GPM1(down_strong) + ACO1(up_medium) + PGI1(down_medium) + SDH2(up_medium) + SDH3(up_medium) + HXT3(down_medium) + HXT7(down_medium) + PGK1(down_strong) + HXT1(down_medium) + DLD3(up_medium) + CIT2(up_medium) + FBA1(down_medium) + HXT6(down_medium) + GLK1(up_strong) + HXK2(down_medium), microarray,expression
phosphate(low) + PHO4,ALD5 + CDC19 + ACS1 + NRG2 + TYE7 + ENO1 + PFK27 + HXT6 + CBF1 + ACS2 + PYK2, ChIP-chip,tfbinding
BMH1(ko) + glucose(low) + BMH2(ko),ALD6(up_medium) + ENO1(up_medium) + PCK1(up_medium) + TDH2(up_medium) + FBA1(up_medium) + MDH2(up_medium) + GPM1(up_strong) + TDH3(up_strong) + ADH2(down_medium) + TPI1(up_strong) + ENO2(up_medium) + GUT2(down_medium) + HXK1(down_medium) + TDH1(down_medium) + ICL1(up_medium) + CDC19(up_medium)," MS ,  2d-gel",expression
sugar(low),CDC19(down_strong) + PDC1(down_strong), northern_blot,expression
GCR1,CDC19 + PGK1 + ENO1 + ADH1, emsa,tfbinding
RAP1,CDC19(up_strong) + ENO1(up_strong), northern_blot,expression
galactose + GCR1(ko),CIT1(up_weak) + TDH2(down_weak) + GLK1(up_weak) + CDC19(down_medium) + TDH1(down_weak) + FBA1(down_weak) + GPM1(down_strong) + CIT3(up_weak) + FAA1(up_weak) + TPI1(down_medium) + PGK1(down_medium) + ENO2(down_strong) + TDH3(down_medium) + ENO1(down_strong) + ADH1(down_medium) + CIT2(up_strong), microarray,expression
GCR1(ko) + glucose,ENO1(down_strong) + TDH1(down_strong) + PGK1(down_strong) + PGM1(down_strong) + TPI1(down_strong) + TDH2(down_strong) + TDH3(down_strong) + CDC19(down_strong) + ENO2(down_strong), northern_blot,expression
GCR1(ko) + glycerol + GCR2(ko) + lactate,ENO1(down_strong) + ENO2(down_strong) + PFK2(down_medium) + TPI1(down_strong) + FBA1(down_strong) + PGK1(down_strong) + GPM1(down_strong) + TDH1(down_medium) + CDC19(down_strong) + TDH3(down_strong) + HXK1(down_medium) + TDH2(down_strong) + PFK1(down_weak) + PGI1(down_strong)," kPCR ,  northern_blot ,  prot-act",expression
RAP1,ENO1 + CDC19, emsa,tfbinding
glucose + GCR1(ko) + TYE7(oe),ENO2(up_weak) + TPI1(up_weak) + PGK1(up_medium) + TDH1(up_weak) + PGM1(up_strong) + TDH3(up_weak) + TDH2(up_weak) + CDC19(up_strong) + ENO1(up_strong), northern_blot,expression
GCR1(ko) + glucose,FBA1(down_weak) + ADH1(down_medium) + FAA1(up_strong) + CDC19(down_medium) + ENO1(down_strong) + TDH1(down_weak) + GLK1(up_strong) + CIT2(up_strong) + TDH3(down_medium) + PGK1(down_medium) + ENO2(down_strong) + CIT1(up_strong) + TPI1(down_medium) + TDH2(down_weak) + CIT3(up_strong) + GPM1(down_strong), microarray,expression
raffinose + GCR1(ko),FBA1(down_weak) + CDC19(down_medium) + GLK1(up_weak) + PGK1(down_medium) + TDH1(down_weak) + TDH2(down_weak) + CIT2(up_weak) + ENO2(down_strong) + ADH1(down_medium) + GPM1(down_strong) + TPI1(down_medium) + TDH3(down_medium) + FAA1(up_weak) + CIT1(up_weak) + ENO1(down_strong) + CIT3(up_strong), microarray,expression
glucose + GCR1(ko) + lactate + glycerol,FBA1(down_medium) + GPM1(down_strong) + TDH1(up_medium) + PGK1(down_weak) + PGI1(down_weak) + TDH2(down_weak) + CDC19(down_weak) + ENO1(down_medium) + ENO2(down_strong) + TPI1(down_strong) + TDH3(down_medium) + GCR1(down_strong), microarray,expression
glucose,FBA1(up_weak) + PFK2(up_medium) + PDC1(up_weak) + ENO1(up_medium) + ENO2(up_medium) + ADH1(up_weak) + CDC19(up_medium) + TPI1(up_weak) + LPD1(down_medium) + PGK1(up_weak) + PGM1(up_medium) + PFK1(up_weak)," lacZ ,  northern_blot",expression
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
TYE7(ko) + lactate + glycerol,GPM1(down_weak) + ENO1(down_weak) + CDC19(down_weak), prot-act,expression
