input,output,evidence,type
RTG3(ko) + raffinose + dys_mit,ACO1(down_strong) + CIT2(down_strong) + CIT1(down_strong) + IDH2(down_strong) + IDH1(down_strong), northern_blot,expression
dys_mit + RTG1(ko) + raffinose,ACO1(down_strong) + CIT2(down_strong) + IDH1(down_strong) + CIT1(down_strong) + IDH2(down_strong), northern_blot,expression
ethanol,ACO1(up) + ACO2(down) + ADH2(down) + MDH1(up) + MLS1(up) + ACS1(down) + YAT1(down) + CIT2(up_medium) + ACS2(up) + ADH3(up) + ICL1(up) + SFC1(up) + CAT2(up) + PDC1(down) + ADH1(down) + CIT1(up_medium) + ACH1(up) + MDH2(up), northern_blot,expression
GCR2(ko) + glucose,ADH2(down_medium) + ENO1(down_medium) + CYB2(up_medium) + CIT1(up_medium) + ADH1(down_medium) + HXT2(up_strong) + PFK1(down_medium) + NDI1(up_medium) + CDC19(down_strong) + ENO2(down_strong) + SDH4(up_medium) + FBP1(up_medium) + GPM1(down_strong) + ACO1(up_medium) + PGI1(down_medium) + SDH2(up_medium) + SDH3(up_medium) + HXT3(down_medium) + HXT7(down_medium) + PGK1(down_strong) + HXT1(down_medium) + DLD3(up_medium) + CIT2(up_medium) + FBA1(down_medium) + HXT6(down_medium) + GLK1(up_strong) + HXK2(down_medium), microarray,expression
OAF1/PIP2,AGP2 + PXA2 + CAT2 + SPS19 + PIP2 + DCI1 + FAA2 + IDP3 + PXA1 + FOX2 + ANT1 + MDH3 + PEX11 + ECI1 + CIT1 + CRC1 + POX1 + CTA1 + POT1 + TES1 + SFC1, review,tfbinding
oleic_acid + PIP2(ko),CAT2(down_weak) + PEX11(down_medium) + PIP2(down_strong) + YJL218W(down_strong) + FAA2(down_weak) + IFA38(down_medium) + CTA1(down_weak) + TES1(down_strong) + CIT1(down_medium) + POX1(down_strong) + MDH3(down_weak) + PEX5(down_weak) + IDP3(down_weak) + FOX2(down_strong) + SPS19(down_strong) + EEB1(down_strong) + PXA1(down_weak) + POT1(down_strong) + PXA2(down_weak) + QDR1(down_weak) + CRC1(down_medium), northern_blot,expression
glucose + Phosphate depletion,CIT1(up_medium), Expression evidence,expression
PHO85 + glucose,CIT1(up), Expression evidence,tfbinding
galactose + GCR1(ko),CIT1(up_weak) + TDH2(down_weak) + GLK1(up_weak) + CDC19(down_medium) + TDH1(down_weak) + FBA1(down_weak) + GPM1(down_strong) + CIT3(up_weak) + FAA1(up_weak) + TPI1(down_medium) + PGK1(down_medium) + ENO2(down_strong) + TDH3(down_medium) + ENO1(down_strong) + ADH1(down_medium) + CIT2(up_strong), microarray,expression
dys_mit + RTG2(ko) + raffinose,CIT1(down_strong), lacZ,expression
glucose,CIT1(down_strong), lacZ,expression
HAP2/3/4/5,CIT1, consensus,tfbinding
nfcs,CIT1(up_strong), northern_blot,expression
RTG1/3(ko) + osmotic_shock,CIT1(down_strong), northern_blot,expression
glucose,CIT1(down), lacZ,expression
glucose + glutamate,CIT1(down), author-statement,expression
HAP2/3/4/5,CIT1," consensus ,  site-mutation",tfbinding
ADR1,CIT1 + FOX2 + CYB2 + POX1 + CTA1 + GUT2, consensus,tfbinding
osmotic_shock + HOG1(ko),CIT1(down_medium) + COX6(down_medium) + SDH2(down_weak), northern_blot,expression
RTG1/3,CIT1, emsa,tfbinding
glucose,CIT1(down_strong) + COX6(down_strong) + SDH2(down_strong), western_blot,expression
RGM1,CIT1 + MDH2, ChIP-chip,tfbinding
glucose,CIT1(down_medium), lacZ,expression
raffinose + HAP2(ko),CIT1(down_strong), lacZ,expression
RTG2(ko) + raffinose,CIT1(down_weak), lacZ,expression
glucose + glutamate,CIT1(down_strong), lacZ,expression
CRZ1 + high_pH,CIT1 + MDH2 + ALD4 + HXK2 + HXT7 + MDH1, emsa,tfbinding
raffinose + RTG3(ko),CIT1(down_medium), lacZ,expression
RTG1(ko) + raffinose,CIT1(down_medium), lacZ,expression
RTG3(ko) + dys_mit + raffinose,CIT1(down_strong), lacZ,expression
arsenic + ARR1(ko),CIT1(up_medium) + GUT2(up_medium) + YAT1(up_medium) + IDH1(up_medium) + FAA2(up_strong) + ACO2(down_medium) + PDC6(up_strong) + CAT8(up_medium) + DLD1(up_medium) + HXT2(up_strong) + POT1(up_strong) + CIT2(up_strong) + FOX2(up_medium) + HXK1(up_medium) + HXT4(up_medium) + HXT6(up_strong) + HXT1(up_medium) + SDH4(up_medium) + HXT3(up_medium) + PCK1(down_medium) + MIG1(up_medium) + REG2(up_medium) + HXT5(up_strong) + HAP4(up_medium) + ECI1(up_medium) + JEN1(up_medium) + GLK1(up_strong) + POX1(up_medium) + ACS1(up_medium) + HXT7(up_strong), microarray,expression
HAP2/3/4/5,CIT1, binding,tfbinding
RTG1/3(ko) + dys_mit,CIT1(down_medium) + JEN1(down_medium) + ACO1(down_strong) + CRC1(down_medium) + CIT3(down_strong) + ACS1(down_medium) + IDH2(down_strong) + CIT2(down_strong), microarray,expression
HAP2/3/4/5(ko) + lactate,CIT1(down_strong), lacZ,expression
lactate,CIT1(up_medium), lacZ,expression
raffinose,CIT1(up), author-statement,expression
PHO4 + glucose + Phosphate depletion,CIT1, binding,tfbinding
raffinose,CIT1(up_strong), lacZ,expression
dys_mit + raffinose + RTG1(ko),CIT1(down_strong), lacZ,expression
glycerol,CIT2(down_strong) + CIT3(up_strong) + CIT1(up_strong), northern_blot,expression
glutamate,CIT2(down_strong) + CIT1(down_strong) + DLD3(down_strong), lacZ,expression
RTG1/3,CIT2 + DLD3 + IDH1 + CIT1 + ACO1 + IDH2, review,tfbinding
dys_mit + RTG2(ko),CIT2(down_strong) + JEN1(down_medium) + CIT1(down_medium) + IDH2(down_strong) + ACS1(down_medium) + ACO1(down_medium) + CRC1(down_medium) + CIT3(down_strong), microarray,expression
aa_starvation,CIT2(up) + JEN1(up) + IDH1(up) + ACO1(up) + ICL1(up) + IDP1(up) + CIT1(up) + CIT3(up) + ACO2(up) + IDH2(up) + PIP2(up) + CRC1(up), microarray,expression
glucose + glutamate,CIT2(down_strong) + CIT1(down_strong), northern_blot,expression
glucose,CIT3(down_strong) + CIT2(up_strong) + CIT1(down_strong), northern_blot,expression
ethanol,COX6(up_strong) + CIT1(up_weak) + SDH2(up_strong), western_blot,expression
osmotic_shock + SNF1(ko),COX6(down_medium) + CIT1(down_weak) + SDH2(down_medium), northern_blot,expression
osmotic_shock,COX6(up_strong) + SDH2(up_medium) + CIT1(up_strong)," western_blot ,  prot-act ,  northern_blot",expression
NaCl,CTA1(up_medium) + CAT2(up_medium) + CIT1(up_medium) + PYC1(up_medium) + HXT5(up_strong) + IDH1(up_medium) + STL1(up_strong) + HXT1(up_strong) + GUT2(up_strong) + SDH1(up_medium) + ACO1(up_medium) + MAE1(down_strong) + GLK1(up_strong) + ACO2(down_strong) + YJL045W(up_medium) + REG2(up_medium) + GUT1(down_medium) + IDH2(up_medium) + HXK1(up_medium) + HXT2(down_medium) + FAA4(down_medium) + CYB2(up_medium) + PDC6(up_strong) + POX1(up_medium) + CRC1(up_medium) + SIP4(up_medium), microarray,expression
GCR1(ko) + glucose,FBA1(down_weak) + ADH1(down_medium) + FAA1(up_strong) + CDC19(down_medium) + ENO1(down_strong) + TDH1(down_weak) + GLK1(up_strong) + CIT2(up_strong) + TDH3(down_medium) + PGK1(down_medium) + ENO2(down_strong) + CIT1(up_strong) + TPI1(down_medium) + TDH2(down_weak) + CIT3(up_strong) + GPM1(down_strong), microarray,expression
raffinose + GCR1(ko),FBA1(down_weak) + CDC19(down_medium) + GLK1(up_weak) + PGK1(down_medium) + TDH1(down_weak) + TDH2(down_weak) + CIT2(up_weak) + ENO2(down_strong) + ADH1(down_medium) + GPM1(down_strong) + TPI1(down_medium) + TDH3(down_medium) + FAA1(up_weak) + CIT1(up_weak) + ENO1(down_strong) + CIT3(up_strong), microarray,expression
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
