input,output,evidence,type
GCR2(ko) + glucose,ADH2(down_medium) + ENO1(down_medium) + CYB2(up_medium) + CIT1(up_medium) + ADH1(down_medium) + HXT2(up_strong) + PFK1(down_medium) + NDI1(up_medium) + CDC19(down_strong) + ENO2(down_strong) + SDH4(up_medium) + FBP1(up_medium) + GPM1(down_strong) + ACO1(up_medium) + PGI1(down_medium) + SDH2(up_medium) + SDH3(up_medium) + HXT3(down_medium) + HXT7(down_medium) + PGK1(down_strong) + HXT1(down_medium) + DLD3(up_medium) + CIT2(up_medium) + FBA1(down_medium) + HXT6(down_medium) + GLK1(up_strong) + HXK2(down_medium), microarray,expression
BMH1(ko) + glucose(low) + BMH2(ko),ALD6(up_medium) + ENO1(up_medium) + PCK1(up_medium) + TDH2(up_medium) + FBA1(up_medium) + MDH2(up_medium) + GPM1(up_strong) + TDH3(up_strong) + ADH2(down_medium) + TPI1(up_strong) + ENO2(up_medium) + GUT2(down_medium) + HXK1(down_medium) + TDH1(down_medium) + ICL1(up_medium) + CDC19(up_medium)," MS ,  2d-gel",expression
galactose + GCR1(ko),CIT1(up_weak) + TDH2(down_weak) + GLK1(up_weak) + CDC19(down_medium) + TDH1(down_weak) + FBA1(down_weak) + GPM1(down_strong) + CIT3(up_weak) + FAA1(up_weak) + TPI1(down_medium) + PGK1(down_medium) + ENO2(down_strong) + TDH3(down_medium) + ENO1(down_strong) + ADH1(down_medium) + CIT2(up_strong), microarray,expression
GCR1(ko) + glucose,ENO1(down_strong) + TDH1(down_strong) + PGK1(down_strong) + PGM1(down_strong) + TPI1(down_strong) + TDH2(down_strong) + TDH3(down_strong) + CDC19(down_strong) + ENO2(down_strong), northern_blot,expression
GCR1(ko) + glycerol + GCR2(ko) + lactate,ENO1(down_strong) + ENO2(down_strong) + PFK2(down_medium) + TPI1(down_strong) + FBA1(down_strong) + PGK1(down_strong) + GPM1(down_strong) + TDH1(down_medium) + CDC19(down_strong) + TDH3(down_strong) + HXK1(down_medium) + TDH2(down_strong) + PFK1(down_weak) + PGI1(down_strong)," kPCR ,  northern_blot ,  prot-act",expression
glucose + GCR1(ko),ENO1(down_strong) + ENO2(down_strong) + TDH1(up_weak) + SDH4(up_strong) + SDH1(up_strong) + ACO1(up_strong) + GPM1(down_strong), RT-PCR,expression
TYE7(ko) + GCR1(ko) + glucose,ENO1(down_strong) + ENO2(down_strong), western_blot,expression
lactate + glycerol + GCR2(ko),ENO1(down_strong) + SIP4(up_weak) + ENO2(down_strong) + GPM1(down_strong), RT-PCR,expression
RAP1 + ABF1 + GCR1 + glucose,ENO2(up) + ENO1(up), Expression evidence,expression
glucose,ENO2(up_strong)," northern_blot ,  western_blot",expression
glucose,ENO2(up_strong), author-statement,expression
heat_shock,ENO2(up) + CYB2(up) + SIP4(up) + TYE7(up) + PGK1(up) + HXT5(up) + HXK1(up) + SDH3(up), microarray,expression
RAP1,ENO2 + ENO1, binding,tfbinding
glucose,ENO2(up_strong) + GPM1(up_strong) + TDH1(down_strong) + ENO1(up_strong) + TPI1(up_medium), microarray,expression
glucose + GCR1(ko) + TYE7(oe),ENO2(up_weak) + TPI1(up_weak) + PGK1(up_medium) + TDH1(up_weak) + PGM1(up_strong) + TDH3(up_weak) + TDH2(up_weak) + CDC19(up_strong) + ENO1(up_strong), northern_blot,expression
ethanol,ENO2(down_strong)," northern_blot ,  western_blot",expression
lactate + glycerol,ENO2(down_strong)," western_blot ,  northern_blot",expression
glucose,ENO2(up_strong), author-statement,expression
glycerol + lactate,ENO2(down_strong), author-statement,expression
glycerol + lactate,ENO2(down_strong), author-statement,expression
lactate + glycerol + GCR1(ko),ENO2(down_strong) + GPM1(down_strong) + ENO1(down_strong), RT-PCR,expression
glucose + GCR2(ko),ENO2(down_strong) + SDH1(up_strong) + ENO1(down_strong) + HAP5(up_medium) + SDH4(up_strong) + SIP4(up_medium) + GPM1(down_strong) + ACO1(up_strong), RT-PCR,expression
GCR1 + RAP1 + ABF1,ENO2, binding,tfbinding
GCR1(ko),ENO2(down_strong)," lacZ ,  author-statement",expression
ABF1,ENO2, binding,tfbinding
GCR1(ko) + glucose,FBA1(down_weak) + ADH1(down_medium) + FAA1(up_strong) + CDC19(down_medium) + ENO1(down_strong) + TDH1(down_weak) + GLK1(up_strong) + CIT2(up_strong) + TDH3(down_medium) + PGK1(down_medium) + ENO2(down_strong) + CIT1(up_strong) + TPI1(down_medium) + TDH2(down_weak) + CIT3(up_strong) + GPM1(down_strong), microarray,expression
raffinose + GCR1(ko),FBA1(down_weak) + CDC19(down_medium) + GLK1(up_weak) + PGK1(down_medium) + TDH1(down_weak) + TDH2(down_weak) + CIT2(up_weak) + ENO2(down_strong) + ADH1(down_medium) + GPM1(down_strong) + TPI1(down_medium) + TDH3(down_medium) + FAA1(up_weak) + CIT1(up_weak) + ENO1(down_strong) + CIT3(up_strong), microarray,expression
glucose + GCR1(ko) + lactate + glycerol,FBA1(down_medium) + GPM1(down_strong) + TDH1(up_medium) + PGK1(down_weak) + PGI1(down_weak) + TDH2(down_weak) + CDC19(down_weak) + ENO1(down_medium) + ENO2(down_strong) + TPI1(down_strong) + TDH3(down_medium) + GCR1(down_strong), microarray,expression
glucose,FBA1(up_weak) + PFK2(up_medium) + PDC1(up_weak) + ENO1(up_medium) + ENO2(up_medium) + ADH1(up_weak) + CDC19(up_medium) + TPI1(up_weak) + LPD1(down_medium) + PGK1(up_weak) + PGM1(up_medium) + PFK1(up_weak)," lacZ ,  northern_blot",expression
