input,output,evidence,type
oleic_acid + PIP2,ACO1 + FAA2 + ACS1 + SPS19 + PCK1 + PXA2 + IDP3 + MDH1 + SDH3 + PDC1 + FBP1 + HXT5 + KGD1 + CAT2, ChIP-chip,tfbinding
gluc_depl + CAT8(ko),ACS1(down_medium) + ICL2(down_medium) + IDP2(down_medium) + REG2(down_medium) + ICL1(down_strong) + GUT1(down_medium) + CTA1(down_medium) + POX1(down_medium) + JEN1(down_medium) + PCK1(down_medium) + FBP1(down_strong) + YAT2(down_medium) + SFC1(down_strong), microarray,expression
glucose,ADH2(down_strong) + PCK1(down_strong) + FBP1(down_strong), kPCR,expression
GCR2(ko) + glucose,ADH2(down_medium) + ENO1(down_medium) + CYB2(up_medium) + CIT1(up_medium) + ADH1(down_medium) + HXT2(up_strong) + PFK1(down_medium) + NDI1(up_medium) + CDC19(down_strong) + ENO2(down_strong) + SDH4(up_medium) + FBP1(up_medium) + GPM1(down_strong) + ACO1(up_medium) + PGI1(down_medium) + SDH2(up_medium) + SDH3(up_medium) + HXT3(down_medium) + HXT7(down_medium) + PGK1(down_strong) + HXT1(down_medium) + DLD3(up_medium) + CIT2(up_medium) + FBA1(down_medium) + HXT6(down_medium) + GLK1(up_strong) + HXK2(down_medium), microarray,expression
glycerol + lactate,ADH2(up_strong) + FBP1(up_strong) + PCK1(up_strong), kPCR,expression
glucose(low) + HAP2/3/4/5(ko),ALD4(down_weak) + ADH2(down_strong) + MIG2(down_medium) + IDP3(down_medium) + POX1(down_medium) + ICL1(down_medium) + FBP1(down_weak) + MAE1(up_medium) + FAA1(down_medium), microarray,expression
glucose(low) + ADR1,CAT2 + IDP3 + HXT6 + ACO1 + PGI1 + PDC1 + KGD2 + STL1 + JEN1 + FBP1 + ADH2 + PEX25, ChIP-chip,tfbinding
glucose,CAT8(down_strong) + FBP1(down_strong), lacZ,expression
ethanol + SNF4(ko),CAT8(down_strong) + FBP1(down_strong), lacZ,expression
glucose,CAT8(down_strong) + FBP1(down_strong) + SIP4(down_strong), lacZ,expression
glucose,CAT8(down_strong) + FBP1(down_strong) + PCK1(down_strong)," lacZ ,  western_blot ,  northern_blot",expression
ethanol,CAT8(up_strong) + FBP1(up_strong), lacZ,expression
gluc_depl + GIS1(ko),FAA2(down_weak) + IDP2(down_medium) + PCK1(down_medium) + ICL1(down_medium) + FBP1(down_medium) + MLS1(down_medium), microarray,expression
glucose(low) + CAT8(ko),FBP1(down_strong) + ICL1(down_strong) + FOX2(down_weak) + POT1(up_medium) + ALD4(up_weak) + ADY2(down_strong) + POX1(down_medium) + ADH2(down_strong) + ATO3(down_strong) + JEN1(down_medium) + FDH1(down_medium) + CYB2(up_weak) + CTA1(up_medium) + MDH2(down_strong) + ACS1(down_strong) + MLS1(down_strong) + SPS19(down_weak) + SPG1(up_medium), kPCR,expression
cAMP,FBP1(down_strong) + PCK1(down_strong), mRNA,expression
YAP1,FBP1 + PCK1, consensus,tfbinding
CAT5(ko) + ethanol,FBP1(down_strong) + ICL1(down_strong) + PCK1(down_strong), prot-act,expression
glucose + MIG1,FBP1(down_strong)," lacZ ,  consensus",expression
glycerol + ethanol,FBP1(up_strong) + CAT8(up_strong) + SIP4(up_strong), lacZ,expression
LEU3(oe),FBP1 + PDC6 + CIT3 + YJL045W + DAL7 + ADH2 + PDC5, ChIP-chip,tfbinding
glucose,FBP1(down_strong) + PCK1(down_strong), lacZ,expression
glucose,FBP1(down_strong), lacZ,expression
CAT8 + SIP4,FBP1, emsa,tfbinding
ethanol,FBP1(up_strong), emsa,expression
lactate + glycerol + GCR2(ko),FBP1(down_weak) + PGK1(down_strong) + PGI1(down_strong) + TPI1(down_strong) + FBA1(down_strong), prot-act,expression
glucose(absent),FBP1(up), prot-act,expression
ethanol,FBP1(up_strong) + CAT8(up_strong) + PCK1(up_strong)," northern_blot ,  western_blot ,  lacZ",expression
glucose(low),FBP1(down_strong) + CAT8(down_strong) + SIP4(down_strong), lacZ,expression
glucose,FBP1(down_strong), northern_blot,expression
CAT8(ko) + ethanol,FBP1(down_strong) + PCK1(down_strong)," northern_blot ,  western_blot",expression
glucose,FBP1(down_strong), emsa,expression
RDS2,FBP1 + PCK1, emsa,tfbinding
SNF1(ko) + ethanol,FBP1(down_strong) + CAT8(down_strong), lacZ,expression
GLK1(ko) + glucose + HXK1(ko) + HXK2(ko),FBP1(up_strong) + PCK1(up_strong), northern_blot,expression
ethanol + cAMP,FBP1(down_strong), mRNA,expression
ethanol + RDS2(ko),GID8(up) + FBP1(down_strong) + HAP4(down_strong) + KGD2(down) + SFC1(down) + LSC2(down) + PCK1(down_strong) + PFK27(up), RT-PCR,expression
ethanol,GLK1(up_medium) + FBP1(up_strong), northern_blot,expression
