input,output,evidence,type
GCR2(ko) + glucose,ADH2(down_medium) + ENO1(down_medium) + CYB2(up_medium) + CIT1(up_medium) + ADH1(down_medium) + HXT2(up_strong) + PFK1(down_medium) + NDI1(up_medium) + CDC19(down_strong) + ENO2(down_strong) + SDH4(up_medium) + FBP1(up_medium) + GPM1(down_strong) + ACO1(up_medium) + PGI1(down_medium) + SDH2(up_medium) + SDH3(up_medium) + HXT3(down_medium) + HXT7(down_medium) + PGK1(down_strong) + HXT1(down_medium) + DLD3(up_medium) + CIT2(up_medium) + FBA1(down_medium) + HXT6(down_medium) + GLK1(up_strong) + HXK2(down_medium), microarray,expression
glucose(low) + GCR2(ko),ADR1(down_medium) + HXT1(up_weak) + HXT7(down_medium) + MIG1(down_weak) + HXT2(down_medium) + HAP4(down_weak) + DAL7(down_weak) + CAT8(down_medium) + ENO1(down_weak) + MDH2(up_weak) + GLK1(up_weak) + GPM1(down_weak), microarray,expression
cAMP + glucose(low),ALD3(down_strong) + HSP104(down_medium) + SSA4(down_weak) + TPS1(down_strong) + SOD2(down_strong) + TKL2(down_strong) + ARA1(down_medium) + HXK1(down_strong) + SSA3(down_strong) + HOR2(down_strong) + PGM2(down_strong) + GLK1(down_medium) + GDH3(down_strong), 2d-gel,expression
cAMP + ethanol,CAT8(down_strong) + GLK1(down_medium) + SIP4(down_strong), lacZ,expression
galactose + GCR1(ko),CIT1(up_weak) + TDH2(down_weak) + GLK1(up_weak) + CDC19(down_medium) + TDH1(down_weak) + FBA1(down_weak) + GPM1(down_strong) + CIT3(up_weak) + FAA1(up_weak) + TPI1(down_medium) + PGK1(down_medium) + ENO2(down_strong) + TDH3(down_medium) + ENO1(down_strong) + ADH1(down_medium) + CIT2(up_strong), microarray,expression
arsenic + ARR1(ko),CIT1(up_medium) + GUT2(up_medium) + YAT1(up_medium) + IDH1(up_medium) + FAA2(up_strong) + ACO2(down_medium) + PDC6(up_strong) + CAT8(up_medium) + DLD1(up_medium) + HXT2(up_strong) + POT1(up_strong) + CIT2(up_strong) + FOX2(up_medium) + HXK1(up_medium) + HXT4(up_medium) + HXT6(up_strong) + HXT1(up_medium) + SDH4(up_medium) + HXT3(up_medium) + PCK1(down_medium) + MIG1(up_medium) + REG2(up_medium) + HXT5(up_strong) + HAP4(up_medium) + ECI1(up_medium) + JEN1(up_medium) + GLK1(up_strong) + POX1(up_medium) + ACS1(up_medium) + HXT7(up_strong), microarray,expression
selenite + YAP1(ko),CIT2(down_medium) + HXT2(up_medium) + ACO1(up_medium) + HXT6(up_medium) + HXK1(up_medium) + PDC1(up_medium) + GLK1(up_medium) + HXT4(up_medium) + HXT3(up_medium), microarray,expression
NaCl,CTA1(up_medium) + CAT2(up_medium) + CIT1(up_medium) + PYC1(up_medium) + HXT5(up_strong) + IDH1(up_medium) + STL1(up_strong) + HXT1(up_strong) + GUT2(up_strong) + SDH1(up_medium) + ACO1(up_medium) + MAE1(down_strong) + GLK1(up_strong) + ACO2(down_strong) + YJL045W(up_medium) + REG2(up_medium) + GUT1(down_medium) + IDH2(up_medium) + HXK1(up_medium) + HXT2(down_medium) + FAA4(down_medium) + CYB2(up_medium) + PDC6(up_strong) + POX1(up_medium) + CRC1(up_medium) + SIP4(up_medium), microarray,expression
GCR1(ko) + glucose,FBA1(down_weak) + ADH1(down_medium) + FAA1(up_strong) + CDC19(down_medium) + ENO1(down_strong) + TDH1(down_weak) + GLK1(up_strong) + CIT2(up_strong) + TDH3(down_medium) + PGK1(down_medium) + ENO2(down_strong) + CIT1(up_strong) + TPI1(down_medium) + TDH2(down_weak) + CIT3(up_strong) + GPM1(down_strong), microarray,expression
raffinose + GCR1(ko),FBA1(down_weak) + CDC19(down_medium) + GLK1(up_weak) + PGK1(down_medium) + TDH1(down_weak) + TDH2(down_weak) + CIT2(up_weak) + ENO2(down_strong) + ADH1(down_medium) + GPM1(down_strong) + TPI1(down_medium) + TDH3(down_medium) + FAA1(up_weak) + CIT1(up_weak) + ENO1(down_strong) + CIT3(up_strong), microarray,expression
MSN4 + glucose(low) + MSN2,GDH3(down_medium) + TKL2(down_strong) + GLK1(down_medium) + ARA1(down_medium) + SSA3(down_strong) + HXK1(down_strong) + HSP104(down_medium) + HOR2(down_medium) + SSA4(down_medium) + PGM2(down_medium) + SOD2(down_medium) + TPS1(down_strong) + ALD3(down_strong), 2d-gel,expression
ethanol,GLK1(up_medium) + FBP1(up_strong), northern_blot,expression
cAMP + ethanol,GLK1(up_strong) + FBP1(down_strong), northern_blot,expression
glucose,GLK1(down_strong) + FBP1(down_strong), northern_blot,expression
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
HU,GLK1(up_medium) + PFK26(up_medium) + SPS19(up_medium) + HXT1(up_medium) + SIP4(up_medium) + CTA1(down_weak) + HAP4(up_medium) + HXT3(up_medium) + IDH2(up_medium), microarray,expression
FZF1,GLK1, ChIP-chip,tfbinding
glucose(low) + PIP2,GLK1 + JEN1 + ICL1 + ADR1 + PDC5 + FAA4 + CIT1 + POX1, ChIP-chip,tfbinding
cAMP + nitrogen(low),GUT2(down_strong) + DCS2(down_strong) + DSE2(down_strong) + UGA1(down_strong) + AGP1(down_strong) + SUR1(down_strong) + ICL1(down_strong) + UGA2(down_strong) + FPS1(down_strong) + APE3(down_strong) + PLB2(down_strong) + GLK1(down_strong) + MDH2(down_strong) + APE2(down_strong) + YMR086W(down_strong) + HXK1(down_strong) + YHR033W(down_strong), lacZ,expression
glucose,GUT2(down_strong) + MDH2(down_strong) + GLK1(down_strong) + ICL1(down_strong), northern_blot,expression
MSN2(ko) + heat_shock + MSN4(ko),HXK1(down_strong) + MDH1(down_medium) + TES1(down_strong) + PGM2(down_strong) + GLK1(down_medium) + CTT1(down_strong), 2d-gel,expression
cAMP + heat_shock,HXK1(down_strong) + CTT1(down_strong) + MDH1(down_medium) + PGM2(down_strong) + GLK1(down_medium) + TES1(down_strong), 2d-gel,expression
RAP1 + glucose,HXT1 + FBA1 + ENO1 + SIP4 + HAP1 + YAT1 + PGK1 + GUT1 + TDH3 + GLK1 + MAE1 + PDC1 + YJL045W + PGI1 + OAF1 + HXT5 + FAA1 + DLD1 + TPI1 + GID8 + PFK27 + CRC1 + HAP5 + GPM1 + IDP2, ChIP-chip,tfbinding
NaCl,HXT2(down) + LSC1(up) + GLK1(up) + ACO2(down) + SDH4(up) + HXK1(up) + MDH2(up) + IDH2(up) + DLD1(up) + HAP1(up) + LPD1(up) + CIT1(up) + LSC2(up) + IDH1(up) + FAA4(down) + PYC1(up) + PDC5(down) + FAA1(up) + PEX25(up) + HXT1(up) + GUT2(up) + MAE1(down) + MDH1(up) + KGD2(up) + KGD1(up) + CIT2(up) + ADH2(down) + HXT6(up) + PYC2(down) + SDH3(up) + REG2(down) + HXT5(up), microarray,expression
glucose + MIG1,HXT3(down) + PCK1(down) + HXT2(down) + CAT8(down) + HXK1(down) + GLK1(down) + FBP1(down) + HXT4(down) + SNF3(down) + HAP4(down) + PDC1(down) + MLS1(down) + ICL1(down), review,expression
fluphenazine,HXT6(up_medium) + HXK1(up_strong) + GLK1(up_medium) + HXT7(up_medium), microarray,expression
PDR1(ko) + selenite,HXT6(up_medium) + HXT7(up_medium) + IDH2(up_medium) + HXT3(up_medium) + ACO1(up_medium) + GLK1(up_medium) + HXK1(up_medium) + HXT4(up_medium), microarray,expression
arsenic + RPN4(ko),HXT6(up_medium) + IDH1(up_medium) + HXT3(up_medium) + HXT5(up_medium) + HXT7(up_medium) + GLK1(up_medium) + GUT2(up_medium) + IDH2(up_medium) + MIG1(up_medium) + HAP4(up_medium) + PCK1(down_medium) + PDC6(up_medium) + PDC5(up_medium) + CIT2(up_medium) + MAE1(up_medium) + PGI1(up_medium) + SDH4(up_medium) + CIT1(up_medium), microarray,expression
cAMP + glucose(low),ICL1(down_strong) + MDH2(down_strong) + GUT2(down_strong) + GLK1(down_strong), northern_blot,expression
H2O2,IDH1(up_medium) + HXT6(down_medium) + MDH2(down_medium) + MDH1(up_medium) + SPS19(up_medium) + HXK1(up_medium) + TDH1(up_medium) + GUT2(up_medium) + IDH2(up_medium) + GLK1(up_strong) + HXT3(down_medium) + HXT2(down_strong) + MAE1(down_strong) + HXT7(down_medium) + HXT4(down_medium) + HXT1(down_medium) + CTA1(up_medium), microarray,expression
selenite,MAE1(down_medium) + PCK1(up_medium) + FAA2(up_medium) + IDP2(up_medium) + GSM1(up_medium) + POX1(up_medium) + HXT1(down_medium) + SIP4(up_medium) + TES1(up_medium) + HXT6(up_medium) + ACO2(down_medium) + SDH3(down_medium) + ECI1(up_medium) + FAA4(up_medium) + ADR1(up_medium) + CYB2(up_strong) + ADH2(down_medium) + MLS1(down_medium) + REG2(up_medium) + GUT2(up_medium) + PXA2(up_strong) + DLD1(down_medium) + DAL7(up_medium) + CIT2(up_medium) + CTA1(up_strong) + FBP1(up_medium) + PXA1(up_medium) + CIT3(up_medium) + HXK1(up_strong) + FOX2(up_medium) + ACO1(down_strong) + HXT7(up_medium) + SPS19(up_medium) + HXT5(up_medium) + PYC1(up_medium) + JEN1(up_medium) + HXT2(down_medium) + GLK1(up_medium) + HXT4(down_medium) + CAT2(up_medium), microarray,expression
heat_shock,MDH1(up_weak) + CTT1(up_strong) + TES1(up) + HXK1(up_strong) + PGM2(up_strong) + GLK1(up_medium), 2d-gel,expression
nitrogen(low),MDH2(up_medium) + YMR086W(up_medium) + AGP1(up_strong) + APE2(up_strong) + GUT2(down_weak) + GLK1(up_weak) + APE3(up_strong) + ICL1(up_strong) + FPS1(up_strong) + YHR033W(up_strong) + UGA1(up_medium) + PLB2(down_medium) + SUR1(up_strong) + UGA2(up_strong) + HXK1(up_medium) + DSE2(up_weak) + DCS2(up_medium), lacZ,expression
glucose(low),MDH2(up_strong) + GUT2(up_strong) + ICL1(up_strong) + GLK1(up_strong), northern_blot,expression
