input,output,evidence,type
ethanol,ACO1(up) + ACO2(down) + ADH2(down) + MDH1(up) + MLS1(up) + ACS1(down) + YAT1(down) + CIT2(up_medium) + ACS2(up) + ADH3(up) + ICL1(up) + SFC1(up) + CAT2(up) + PDC1(down) + ADH1(down) + CIT1(up_medium) + ACH1(up) + MDH2(up), northern_blot,expression
gluc_depl + CAT8(ko),ACS1(down_medium) + ICL2(down_medium) + IDP2(down_medium) + REG2(down_medium) + ICL1(down_strong) + GUT1(down_medium) + CTA1(down_medium) + POX1(down_medium) + JEN1(down_medium) + PCK1(down_medium) + FBP1(down_strong) + YAT2(down_medium) + SFC1(down_strong), microarray,expression
glucose(low) + HAP2/3/4/5(ko),ALD4(down_weak) + ADH2(down_strong) + MIG2(down_medium) + IDP3(down_medium) + POX1(down_medium) + ICL1(down_medium) + FBP1(down_weak) + MAE1(up_medium) + FAA1(down_medium), microarray,expression
BMH1(ko) + glucose(low) + BMH2(ko),ALD6(up_medium) + ENO1(up_medium) + PCK1(up_medium) + TDH2(up_medium) + FBA1(up_medium) + MDH2(up_medium) + GPM1(up_strong) + TDH3(up_strong) + ADH2(down_medium) + TPI1(up_strong) + ENO2(up_medium) + GUT2(down_medium) + HXK1(down_medium) + TDH1(down_medium) + ICL1(up_medium) + CDC19(up_medium)," MS ,  2d-gel",expression
ethanol + ACN9(ko),CAT2(up_weak) + MDH2(up_weak) + MDH1(up_weak) + ICL1(up_medium) + PCK1(up_weak), prot-act,expression
ethanol + SDH4(ko),CAT2(up_medium) + ICL1(up_medium) + PCK1(up_medium) + MDH2(up_medium) + MDH1(up_medium), prot-act,expression
oleic_acid,CIT2(up_strong) + MLS1(up_strong) + POX1(up_strong) + ICL1(up_strong) + CTA1(up_strong) + MDH3(up_medium) + PEX11(up_strong), northern_blot,expression
rapamycin + GLN3(ko) + GCN4(ko),CIT2(up_medium) + SIP4(down_weak) + CAT2(down_weak) + PDC6(down_medium) + HXT1(up_medium) + CRC1(down_medium) + CTA1(down_weak) + YAT1(down_medium) + CIT3(down_medium) + ACS1(down_weak) + MLS1(down_medium) + YAT2(down_medium) + DAL7(down_medium) + ICL1(down_strong), microarray,expression
rapamycin + GLN3(ko),CIT2(up_medium) + CRC1(down_medium) + CTA1(down_medium) + YAT2(down_weak) + POX1(down_medium) + MLS1(down_weak) + DAL7(down_medium) + PDC6(down_medium) + HXT5(up_medium) + SIP4(down_weak) + ICL1(down_medium) + YAT1(down_weak) + CAT2(down_medium), microarray,expression
aa_starvation,CIT2(up) + JEN1(up) + IDH1(up) + ACO1(up) + ICL1(up) + IDP1(up) + CIT1(up) + CIT3(up) + ACO2(up) + IDH2(up) + PIP2(up) + CRC1(up), microarray,expression
CAT8 + nfcs,CSRE(up_strong) + ICL1(up_strong)," mRNA ,  prot-act",tfbinding
GCN2(ko) + rapamycin,CTA1(down_weak) + YAT1(down_medium) + YAT2(down_medium) + ICL1(down_medium) + SIP4(down_medium) + CAT2(down_weak) + POX1(down_weak), microarray,expression
glucose(low) + OAF1,CTA1 + RSF1 + ENO1 + IDP3 + PDC1 + HXT6 + ACS1 + ICL1, ChIP-chip,tfbinding
gluc_depl + GIS1(ko),FAA2(down_weak) + IDP2(down_medium) + PCK1(down_medium) + ICL1(down_medium) + FBP1(down_medium) + MLS1(down_medium), microarray,expression
glucose(low) + CAT8(ko),FBP1(down_strong) + ICL1(down_strong) + FOX2(down_weak) + POT1(up_medium) + ALD4(up_weak) + ADY2(down_strong) + POX1(down_medium) + ADH2(down_strong) + ATO3(down_strong) + JEN1(down_medium) + FDH1(down_medium) + CYB2(up_weak) + CTA1(up_medium) + MDH2(down_strong) + ACS1(down_strong) + MLS1(down_strong) + SPS19(down_weak) + SPG1(up_medium), kPCR,expression
CAT5(ko) + ethanol,FBP1(down_strong) + ICL1(down_strong) + PCK1(down_strong), prot-act,expression
glucose(low) + PIP2,GLK1 + JEN1 + ICL1 + ADR1 + PDC5 + FAA4 + CIT1 + POX1, ChIP-chip,tfbinding
