input,output,evidence,type
ethanol,ACO1(up) + ACO2(down) + ADH2(down) + MDH1(up) + MLS1(up) + ACS1(down) + YAT1(down) + CIT2(up_medium) + ACS2(up) + ADH3(up) + ICL1(up) + SFC1(up) + CAT2(up) + PDC1(down) + ADH1(down) + CIT1(up_medium) + ACH1(up) + MDH2(up), northern_blot,expression
oleic_acid + PIP2,ACO1 + FAA2 + ACS1 + SPS19 + PCK1 + PXA2 + IDP3 + MDH1 + SDH3 + PDC1 + FBP1 + HXT5 + KGD1 + CAT2, ChIP-chip,tfbinding
ethanol + ACN9(ko),CAT2(up_weak) + MDH2(up_weak) + MDH1(up_weak) + ICL1(up_medium) + PCK1(up_weak), prot-act,expression
ethanol + SDH4(ko),CAT2(up_medium) + ICL1(up_medium) + PCK1(up_medium) + MDH2(up_medium) + MDH1(up_medium), prot-act,expression
CRZ1 + high_pH,CIT1 + MDH2 + ALD4 + HXK2 + HXT7 + MDH1, emsa,tfbinding
calcium,CIT2(up_strong) + MDH1(up_medium) + HXK1(up_strong) + ALD6(up_medium) + ALD4(up_medium), northern_blot,expression
MSN2,CTA1 + TDH3 + GPM1 + TPI1 + FBA1 + MDH1 + GID8, ChIP-chip,tfbinding
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
MSN2(ko) + heat_shock + MSN4(ko),HXK1(down_strong) + MDH1(down_medium) + TES1(down_strong) + PGM2(down_strong) + GLK1(down_medium) + CTT1(down_strong), 2d-gel,expression
cAMP + heat_shock,HXK1(down_strong) + CTT1(down_strong) + MDH1(down_medium) + PGM2(down_strong) + GLK1(down_medium) + TES1(down_strong), 2d-gel,expression
NaCl,HXT2(down) + LSC1(up) + GLK1(up) + ACO2(down) + SDH4(up) + HXK1(up) + MDH2(up) + IDH2(up) + DLD1(up) + HAP1(up) + LPD1(up) + CIT1(up) + LSC2(up) + IDH1(up) + FAA4(down) + PYC1(up) + PDC5(down) + FAA1(up) + PEX25(up) + HXT1(up) + GUT2(up) + MAE1(down) + MDH1(up) + KGD2(up) + KGD1(up) + CIT2(up) + ADH2(down) + HXT6(up) + PYC2(down) + SDH3(up) + REG2(down) + HXT5(up), microarray,expression
PHO4,HXT7 + ACO2 + MDH1 + TDH1 + RDS2, ChIP-chip,tfbinding
SDH2(ko) + ethanol,ICL1(up_medium) + CAT2(up_medium) + PCK1(up_medium) + MDH1(up_medium) + MDH2(up_medium), prot-act,expression
glucose + HXK2(ko),ICL1(up_strong) + HXT6(up_strong) + MAE1(down_medium) + SDH3(up_medium) + HXT1(down_strong) + HXT5(up_medium) + MDH2(up_medium) + PCK1(up_medium) + ALD4(up_medium) + HXK1(up_strong) + HXK2(down_strong) + MDH1(up_medium) + PDC5(down_medium) + IDP2(up_strong) + CIT1(up_medium) + HXT7(up_strong) + CIT3(up_medium) + MLS1(up_strong) + KGD2(up_medium) + SDH4(up_strong) + MDH3(up_medium) + FBP1(up_strong) + SDH2(up_medium) + HXT4(up_strong) + LSC2(up_medium) + SDH1(up_medium), microarray,expression
glucose,ICL1(down) + ACS1(down) + SFC1(down) + CIT2(down_weak) + MLS1(down) + MDH2(down) + ACO2(up_strong) + MDH3(down_strong) + YAT1(down) + ADH1(up) + MDH1(down) + PDC1(up) + ADH2(down) + ACH1(down) + CAT2(down), northern_blot,expression
H2O2,IDH1(up_medium) + HXT6(down_medium) + MDH2(down_medium) + MDH1(up_medium) + SPS19(up_medium) + HXK1(up_medium) + TDH1(up_medium) + GUT2(up_medium) + IDH2(up_medium) + GLK1(up_strong) + HXT3(down_medium) + HXT2(down_strong) + MAE1(down_strong) + HXT7(down_medium) + HXT4(down_medium) + HXT1(down_medium) + CTA1(up_medium), microarray,expression
dys_mit + raffinose,KGD1(down) + CIT2(up) + MDH1(down) + FUM1(down) + SDH1(down), northern_blot,expression
glycerol + glucose + lactate,KGD2(down_strong) + CIT1(down_medium) + IDP2(down_strong) + ACO1(down_strong) + FUM1(down_strong) + GUT2(down_strong) + MDH1(down_strong) + GUT1(down_strong) + KGD1(down_strong) + IDP1(down_medium) + PDC1(up_medium) + SDH4(down_strong) + YJL045W(down_medium) + SDH2(down_strong) + LSC1(down_strong) + LPD1(down_weak) + SDH1(down_strong) + CIT3(down_weak) + SDH3(down_strong) + CYB2(down_strong) + LSC2(down_strong) + IDH2(down_strong) + JEN1(down_strong) + ACO2(up_weak), microarray,expression
glucose,MDH1(down_medium) + MDH2(down_strong) + MDH3(down_strong)," prot-act ,  western_blot",expression
acetate,MDH1(up_medium) + MDH2(up_strong) + MDH3(up_strong)," western_blot ,  prot-act",expression
FBP1(ko) + ethanol,MDH1(up_medium) + PCK1(up_medium) + CAT2(up_medium) + MDH2(up_medium) + ICL1(up_medium), prot-act,expression
lactate + glycerol,MDH1(up_strong)," northern_blot ,  western_blot",expression
glucose,MDH1(down_strong)," western_blot ,  northern_blot",expression
ACE2,MDH1, ChIP-chip,tfbinding
YAP1(ko) + arsenic,MDH1(down_medium) + MAE1(up_medium) + HXT2(up_medium) + FBA1(down_medium), microarray,expression
glucose(low) + ethanol,MDH1(up_medium) + MDH2(up_strong) + MDH3(up_medium), lacZ,expression
high_pH,MDH1(up_medium) + CIT2(up_strong) + HXT7(up_strong) + ALD4(up_medium) + HXK1(up_strong) + ALD6(up_medium), northern_blot,expression
MSN4,MDH1 + TDH3, ChIP-chip,tfbinding
heat_shock,MDH1(up_weak) + CTT1(up_strong) + TES1(up) + HXK1(up_strong) + PGM2(up_strong) + GLK1(up_medium), 2d-gel,expression
HAP2/3/4/5,MDH1 + ACO1, review,tfbinding
HAP4(ko) + glucose(low) + ethanol,MDH2(up_weak) + MDH1(down_strong) + MDH3(up_medium), lacZ,expression
glucose(low) + CAT8(ko) + ethanol,MDH2(down_strong) + MDH3(down_weak) + MDH1(down_weak), lacZ,expression
glucose + HAP4(oe),MDH2(up_medium) + HXT4(down_medium) + TDH1(down_medium) + SDH3(up_medium) + SDH2(up_medium) + HXK1(down_strong) + MDH3(up_medium) + KGD2(up_medium) + SDH4(up_medium) + MDH1(up_medium) + SDH1(up_medium), microarray,expression
CRZ1 + calcium,MDH2 + ALD4 + MDH1 + CIT1 + HXK2, emsa,tfbinding
glucose,MDH2(down_strong) + MDH1(down_medium) + MDH3(down_strong), lacZ,expression
glycerol,MDH3(up_strong) + MDH1(up_medium) + MDH2(up_strong)," western_blot ,  prot-act",expression
oleic_acid + glucose(low),MDH3(up_strong) + MDH2(up_strong) + MDH1(up_medium), lacZ,expression
dys_mit,PEX11(up_medium) + SDH2(down_weak) + ACS1(up_medium) + JEN1(up_medium) + ADH2(up_medium) + PYC1(up_medium) + SDH1(down_medium) + MDH1(down_medium) + HAP4(down_medium) + DLD1(up_medium) + SPS19(up_medium) + CIT3(up_strong) + CIT2(up_strong) + PXA1(up_medium) + CRC1(up_medium), microarray,expression
dys_mit,PYC1(up_medium) + CIT3(up_strong) + DLD1(up_medium) + CRC1(up_medium) + MDH1(down_medium) + PEX11(up_medium) + ACS1(up_medium) + SDH2(down_weak) + SPS19(up_medium) + JEN1(up_medium) + SDH1(down_medium) + ADH2(up_medium) + CIT2(up_strong) + HAP4(down_medium) + PXA1(up_medium), microarray,expression
HXK2(ko) + glucose + HAP4(oe),SDH4(up_strong) + IDH1(up_medium) + HXT1(down_strong) + HXK2(down_strong) + SDH1(up_medium) + ACS1(up_strong) + MDH1(up_medium) + MDH2(up_strong) + CIT1(up_medium) + TDH1(down_medium) + IDP2(up_strong) + CAT2(up_strong) + CIT3(up_strong) + PFK1(down_medium) + ALD4(up_strong) + SDH2(up_strong) + HXK1(up_medium) + FBP1(up_strong) + PDC5(down_medium) + GLK1(up_medium) + HXT7(up_strong) + ADH2(up_strong) + MDH3(up_medium) + ENO1(down_strong) + MLS1(up_strong) + FUM1(up_strong) + HXT4(up_medium) + HXT5(up_strong) + SDH3(up_medium) + KGD2(up_medium) + PFK2(down_medium) + LSC2(up_medium) + HXT6(up_strong) + ICL1(up_strong) + PCK1(up_strong), microarray,expression
MBP1,YJL045W + POT1 + MDH1, ChIP-chip,tfbinding
