input,output,evidence,type
oleic_acid + PIP2,ACO1 + FAA2 + ACS1 + SPS19 + PCK1 + PXA2 + IDP3 + MDH1 + SDH3 + PDC1 + FBP1 + HXT5 + KGD1 + CAT2, ChIP-chip,tfbinding
gluc_depl + CAT8(ko),ACS1(down_medium) + ICL2(down_medium) + IDP2(down_medium) + REG2(down_medium) + ICL1(down_strong) + GUT1(down_medium) + CTA1(down_medium) + POX1(down_medium) + JEN1(down_medium) + PCK1(down_medium) + FBP1(down_strong) + YAT2(down_medium) + SFC1(down_strong), microarray,expression
glucose,ADH2(down_strong) + PCK1(down_strong) + FBP1(down_strong), kPCR,expression
glycerol + lactate,ADH2(up_strong) + FBP1(up_strong) + PCK1(up_strong), kPCR,expression
BMH1(ko) + glucose(low) + BMH2(ko),ALD6(up_medium) + ENO1(up_medium) + PCK1(up_medium) + TDH2(up_medium) + FBA1(up_medium) + MDH2(up_medium) + GPM1(up_strong) + TDH3(up_strong) + ADH2(down_medium) + TPI1(up_strong) + ENO2(up_medium) + GUT2(down_medium) + HXK1(down_medium) + TDH1(down_medium) + ICL1(up_medium) + CDC19(up_medium)," MS ,  2d-gel",expression
ethanol + ACN9(ko),CAT2(up_weak) + MDH2(up_weak) + MDH1(up_weak) + ICL1(up_medium) + PCK1(up_weak), prot-act,expression
ethanol + SDH4(ko),CAT2(up_medium) + ICL1(up_medium) + PCK1(up_medium) + MDH2(up_medium) + MDH1(up_medium), prot-act,expression
glucose,CAT8(down_strong) + FBP1(down_strong) + PCK1(down_strong)," lacZ ,  western_blot ,  northern_blot",expression
arsenic + ARR1(ko),CIT1(up_medium) + GUT2(up_medium) + YAT1(up_medium) + IDH1(up_medium) + FAA2(up_strong) + ACO2(down_medium) + PDC6(up_strong) + CAT8(up_medium) + DLD1(up_medium) + HXT2(up_strong) + POT1(up_strong) + CIT2(up_strong) + FOX2(up_medium) + HXK1(up_medium) + HXT4(up_medium) + HXT6(up_strong) + HXT1(up_medium) + SDH4(up_medium) + HXT3(up_medium) + PCK1(down_medium) + MIG1(up_medium) + REG2(up_medium) + HXT5(up_strong) + HAP4(up_medium) + ECI1(up_medium) + JEN1(up_medium) + GLK1(up_strong) + POX1(up_medium) + ACS1(up_medium) + HXT7(up_strong), microarray,expression
HAP1,CYB2 + PCK1 + REG2 + STL1 + MLS1, consensus,tfbinding
SKN7,DAL7 + MDH2 + PCK1 + GID8, ChIP-chip,tfbinding
gluc_depl + GIS1(ko),FAA2(down_weak) + IDP2(down_medium) + PCK1(down_medium) + ICL1(down_medium) + FBP1(down_medium) + MLS1(down_medium), microarray,expression
cAMP,FBP1(down_strong) + PCK1(down_strong), mRNA,expression
YAP1,FBP1 + PCK1, consensus,tfbinding
CAT5(ko) + ethanol,FBP1(down_strong) + ICL1(down_strong) + PCK1(down_strong), prot-act,expression
glucose,FBP1(down_strong) + PCK1(down_strong), lacZ,expression
ethanol,FBP1(up_strong) + CAT8(up_strong) + PCK1(up_strong)," northern_blot ,  western_blot ,  lacZ",expression
CAT8(ko) + ethanol,FBP1(down_strong) + PCK1(down_strong)," northern_blot ,  western_blot",expression
RDS2,FBP1 + PCK1, emsa,tfbinding
GLK1(ko) + glucose + HXK1(ko) + HXK2(ko),FBP1(up_strong) + PCK1(up_strong), northern_blot,expression
ethanol + RDS2(ko),GID8(up) + FBP1(down_strong) + HAP4(down_strong) + KGD2(down) + SFC1(down) + LSC2(down) + PCK1(down_strong) + PFK27(up), RT-PCR,expression
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
RDS2(ko) + ethanol,HAP4(down) + FBP1(down) + GID8(up) + PCK1(down) + PFK27(up) + LSC2(down), review,expression
RDS2,HAP4 + PCK1 + OPI1 + SIP4 + GID8 + FBP1 + PFK27 + LSC2, review,tfbinding
SKN7,HAP4 + PCK1 + GID8 + IDH2 + DAL7 + ACO1 + MDH2, ChIP-chip,tfbinding
