input,output,evidence,type
NaCl,CTA1(up_medium) + CAT2(up_medium) + CIT1(up_medium) + PYC1(up_medium) + HXT5(up_strong) + IDH1(up_medium) + STL1(up_strong) + HXT1(up_strong) + GUT2(up_strong) + SDH1(up_medium) + ACO1(up_medium) + MAE1(down_strong) + GLK1(up_strong) + ACO2(down_strong) + YJL045W(up_medium) + REG2(up_medium) + GUT1(down_medium) + IDH2(up_medium) + HXK1(up_medium) + HXT2(down_medium) + FAA4(down_medium) + CYB2(up_medium) + PDC6(up_strong) + POX1(up_medium) + CRC1(up_medium) + SIP4(up_medium), microarray,expression
GCR1(ko) + glucose,GLK1(up_strong) + HXT1(down_medium) + ADH2(down_medium) + CIT1(up_strong) + GUT2(up_medium) + NDI1(up_medium) + PCK1(up_medium) + CIT2(up_strong) + HXT2(down_strong) + PGK1(down_medium) + SDH3(up_medium) + CIT3(up_medium) + ENO2(down_strong) + SDH1(up_medium) + HXK1(up_medium) + CDC19(down_strong) + GPM1(down_strong) + FUM1(up_medium) + LPD1(up_medium) + PFK1(down_medium) + IDP2(up_medium) + CYB2(up_medium) + PYC1(up_medium) + FBP1(up_medium) + TPI1(down_medium) + LSC2(up_medium) + DLD3(up_medium) + ENO1(down_strong) + TDH2(down_strong) + FBA1(down_medium) + HXT3(down_medium) + ADH1(down_strong) + MDH1(up_medium) + ACO1(up_medium) + TDH1(up_strong) + SDH2(up_medium) + SDH4(up_medium), microarray,expression
GCR2,GPM1 + ENO2 + TDH2 + TDH3 + PGI1 + PYC1 + FBA1 + PDC1, ChIP-chip,tfbinding
rapamycin,HXT1(down_medium) + PDC6(up_strong) + HAP5(up_medium) + CTA1(up_medium) + SIP4(up_strong) + ICL1(up_medium) + PYC1(up_medium) + CIT3(up_strong) + HXT5(up_medium) + CAT8(up_medium) + IDP2(up_medium) + ECI1(up_medium) + FBP1(up_medium) + DAL7(up_strong) + PCK1(up_medium) + CRC1(up_strong) + GSM1(up_medium) + JEN1(up_medium) + ACS1(up_medium) + PIP2(up_medium) + CYB2(up_medium) + MLS1(up_strong) + YJL045W(up_medium) + POX1(up_medium) + SDH3(up_medium) + CAT2(up_strong) + CIT2(up_medium) + IDP3(up_medium) + PXA2(up_medium) + POT1(up_medium) + YAT1(up_strong) + YAT2(up_strong) + CIT1(up_medium) + MDH2(up_medium) + PEX11(up_medium) + GID8(up_medium), microarray,expression
NaCl,HXT2(down) + LSC1(up) + GLK1(up) + ACO2(down) + SDH4(up) + HXK1(up) + MDH2(up) + IDH2(up) + DLD1(up) + HAP1(up) + LPD1(up) + CIT1(up) + LSC2(up) + IDH1(up) + FAA4(down) + PYC1(up) + PDC5(down) + FAA1(up) + PEX25(up) + HXT1(up) + GUT2(up) + MAE1(down) + MDH1(up) + KGD2(up) + KGD1(up) + CIT2(up) + ADH2(down) + HXT6(up) + PYC2(down) + SDH3(up) + REG2(down) + HXT5(up), microarray,expression
selenite,MAE1(down_medium) + PCK1(up_medium) + FAA2(up_medium) + IDP2(up_medium) + GSM1(up_medium) + POX1(up_medium) + HXT1(down_medium) + SIP4(up_medium) + TES1(up_medium) + HXT6(up_medium) + ACO2(down_medium) + SDH3(down_medium) + ECI1(up_medium) + FAA4(up_medium) + ADR1(up_medium) + CYB2(up_strong) + ADH2(down_medium) + MLS1(down_medium) + REG2(up_medium) + GUT2(up_medium) + PXA2(up_strong) + DLD1(down_medium) + DAL7(up_medium) + CIT2(up_medium) + CTA1(up_strong) + FBP1(up_medium) + PXA1(up_medium) + CIT3(up_medium) + HXK1(up_strong) + FOX2(up_medium) + ACO1(down_strong) + HXT7(up_medium) + SPS19(up_medium) + HXT5(up_medium) + PYC1(up_medium) + JEN1(up_medium) + HXT2(down_medium) + GLK1(up_medium) + HXT4(down_medium) + CAT2(up_medium), microarray,expression
H2O2,PDC5(down) + HXT3(down) + PYC1(up) + HXT7(up) + CIT1(up) + HXT1(down) + MDH2(down) + RSF1(up) + KGD2(up) + IDH2(up) + HAP5(up) + LSC2(up) + GUT2(up) + DLD1(up), microarray,expression
dys_mit,PEX11(up_medium) + SDH2(down_weak) + ACS1(up_medium) + JEN1(up_medium) + ADH2(up_medium) + PYC1(up_medium) + SDH1(down_medium) + MDH1(down_medium) + HAP4(down_medium) + DLD1(up_medium) + SPS19(up_medium) + CIT3(up_strong) + CIT2(up_strong) + PXA1(up_medium) + CRC1(up_medium), microarray,expression
selenite + RPN4(ko),PGK1(up_medium) + HXT3(up_medium) + PYC1(down_medium) + GLK1(up_medium) + HXK1(up_strong) + SDH3(up_medium) + MDH2(up_medium) + LSC2(up_medium) + HXT1(down_medium) + CIT1(up_medium) + HXT7(up_medium) + LSC1(up_medium), microarray,expression
sporulation + ABF1,PXA2 + HXK1 + ENO1 + MAE1 + YAT2 + PDC6 + CIT1 + PYC1 + PDC1 + PEX25 + CIT3, ChIP-chip,tfbinding
STE12,PYC1 + PDC5, ChIP-chip,tfbinding
dys_mit,PYC1(up_medium) + CIT3(up_strong) + DLD1(up_medium) + CRC1(up_medium) + MDH1(down_medium) + PEX11(up_medium) + ACS1(up_medium) + SDH2(down_weak) + SPS19(up_medium) + JEN1(up_medium) + SDH1(down_medium) + ADH2(up_medium) + CIT2(up_strong) + HAP4(down_medium) + PXA1(up_medium), microarray,expression
CO2(high) + glucose(low),PYC1(up_medium) + PCK1(up_strong), microarray,expression
RTG1/3,PYC1, site-mutation,tfbinding
STE12,PYC1 + FAA4 + GID8, ChIP-chip,tfbinding
TEC1,PYC1 + GID8, ChIP-chip,tfbinding
dys_mit,SPS19(up_medium) + JEN1(up_medium) + CIT3(up_strong) + ADH2(up_medium) + CRC1(up_medium) + DLD1(up_medium) + ACS1(up_medium) + PXA1(up_medium) + CIT2(up_strong) + PYC1(up_medium) + PEX11(up_medium), microarray,expression
SKO1 + NaCl,STL1 + TDH2 + HXT1 + GID8 + HXK1 + ADH2 + FAA1 + HXT5 + HXT3 + MAE1 + HXT2 + PGK1 + ENO1 + PYC1 + CIT1 + HXT7 + IDH1 + PFK27 + HXT6, ChIP-chip,tfbinding
