input,output,evidence,type
glucose(low) + GCR2(ko),ADR1(down_medium) + HXT1(up_weak) + HXT7(down_medium) + MIG1(down_weak) + HXT2(down_medium) + HAP4(down_weak) + DAL7(down_weak) + CAT8(down_medium) + ENO1(down_weak) + MDH2(up_weak) + GLK1(up_weak) + GPM1(down_weak), microarray,expression
arsenic + ARR1(ko),CIT1(up_medium) + GUT2(up_medium) + YAT1(up_medium) + IDH1(up_medium) + FAA2(up_strong) + ACO2(down_medium) + PDC6(up_strong) + CAT8(up_medium) + DLD1(up_medium) + HXT2(up_strong) + POT1(up_strong) + CIT2(up_strong) + FOX2(up_medium) + HXK1(up_medium) + HXT4(up_medium) + HXT6(up_strong) + HXT1(up_medium) + SDH4(up_medium) + HXT3(up_medium) + PCK1(down_medium) + MIG1(up_medium) + REG2(up_medium) + HXT5(up_strong) + HAP4(up_medium) + ECI1(up_medium) + JEN1(up_medium) + GLK1(up_strong) + POX1(up_medium) + ACS1(up_medium) + HXT7(up_strong), microarray,expression
arsenic + RPN4(ko),HXT6(up_medium) + IDH1(up_medium) + HXT3(up_medium) + HXT5(up_medium) + HXT7(up_medium) + GLK1(up_medium) + GUT2(up_medium) + IDH2(up_medium) + MIG1(up_medium) + HAP4(up_medium) + PCK1(down_medium) + PDC6(up_medium) + PDC5(up_medium) + CIT2(up_medium) + MAE1(up_medium) + PGI1(up_medium) + SDH4(up_medium) + CIT1(up_medium), microarray,expression
SNF1(ko) + ethanol,MIG1(down_strong), northern_blot,expression
glycerol(high) + glucose(low),MIG1(down_strong), northern_blot,expression
glucose + glycerol(high),MIG1(down_strong), northern_blot,expression
glucose(high),MIG1(down_strong), northern_blot,expression
oleic_acid + ADR1,MIG1 + SDH4 + ACO1 + FBP1 + CTA1 + HXT5 + HAP3 + CYB2 + PEX25 + PIP2 + HXT6 + HAP2, ChIP-chip,tfbinding
glucose,MIG1(up), northern_blot,expression
ethanol,MIG1(down), northern_blot,expression
glycerol(high),MIG1(up_strong), northern_blot,expression
glucose + SNF1(ko),MIG1(down_strong), northern_blot,expression
MIG1 + glucose,MLS1 + SNF3 + HXT4 + MIG1 + HAP4 + HXT2 + ICL1 + HXT3 + HXK1 + PDC1 + FBP1 + CAT8 + GLK1 + PCK1, review,tfbinding
