proteins	abundances
P00359	2.85569916023004e-05
P00358	1.43871834124968e-06
P00360	1.06130705919007e-05
P46367	9.62310274303012e-05
P40047	3.09915294863039e-06
P02994	0.000173467522333423
P19097	6.92660616120705e-06
P07259	5.24262583173816e-06
P03965	5.76115042276181e-06
P00560	6.71891090172681e-05
P07149	7.70717445088439e-06
P05694	2.34912818151147e-05
P04806	1.40683103914224e-05
P04807	3.59547385615156e-06
P22202	1.82050159419746e-06
P09435	6.7180127335012e-06
P16474	7.36406200110029e-06
P32324	2.0055701770906e-05
P06169	3.18240196076861e-05
P26263	9.37094841386836e-07
Q00955	4.9307929409213e-06
Q01574	1.8488e-05
P52910	4.1130376129152e-06
P00830	2.74956829856958e-05
P16861	4.14086883858679e-06
P16862	4.34087106905179e-06
P00549	2.94878150223295e-05
Q02207	6.49049275263968e-06
P06105	2.03133760999819e-06
P16521	8.05749527402501e-06
P53978	1.31233924088738e-06
P19414	9.92109704954587e-06
P39533	4.11132715358025e-06
P54115	2.48254579026615e-05
P02829	2.90246054879826e-05
P00924	4.74510206102473e-05
P38689	1.9788043366427e-06
P14540	4.62811807807131e-05
P31539	1.10185672569687e-05
P32589	1.00696947070656e-05
P32590	3.41587912359948e-06
P06168	3.02171462848866e-05
P38009	4.64176156464772e-06
P54113	1.39128171606014e-06
P0CS90	1.93185672569687e-05
P07262	1.06810988595908e-05
P39708	4.89538989039261e-07
P47169	4.69384514818042e-06
P19358	1.14440903026913e-05
P10659	4.67353496502832e-06
P07251	3.09031872668033e-05
P07245	5.31048635759846e-06
P09440	3.40484038391532e-07
P17255	4.84964810149481e-06
P38720	1.47922214559385e-05
P53319	5.06200641499728e-06
P11154	6.21872602930806e-06
0	1.81444475260149e-06
P17709	7.04640526360725e-06
Q04409	6.72030825611782e-06
P05030	2.3744e-06
P19657	7.29608309310116e-07
P06106	5.16157760005286e-05
P37291	1.04058542425498e-05
P37292	3.53695018151283e-06
P23254	8.00852579507632e-06
P33315	3.97223071465206e-06
P19882	1.35396900657508e-05
P60010	2.13480985662416e-05
P20967	5.29840541009024e-06
P32191	7.99824992586617e-06
P22137	1.95852579507632e-06
P18239	3.05264924883488e-05
P25694	6.49721003897045e-06
Q12680	1.93426846928864e-06
P08566	2.25099920903728e-06
P00942	3.56853887515023e-05
Q12460	4.47956360773246e-06
Q12499	3.5020764537111e-06
P29311	3.35128171606014e-06
P34730	2.69340634436745e-06
P00815	6.82781750916737e-06
Q00055	6.2887106905179e-06
P41911	9.72315003787323e-07
P15019	1.28066917756917e-05
P53228	3.55279700871991e-06
P41939	6.19336271740973e-06
P21954	3.45129990087792e-06
P53982	8.52257159721017e-07
P38972	3.17001783743473e-06
P46655	4.84803442507807e-06
P22768	1.74188285480006e-05
P07244	3.71845655817284e-06
Q12122	3.03473487858155e-06
P48570	1.07660616120704e-06
P39692	3.10234638213355e-06
P22515	3.56384514818042e-06
P33416	4.27401282999456e-06
P33442	5.00900014319807e-06
P23248	6.42051935027063e-06
P40825	4.64169766451582e-06
P14832	1.91799382024691e-05
P53691	5.10199662480779e-06
P25719	2.90833857357955e-06
P35176	1.21938262858206e-06
P04802	5.52984503287538e-06
P09624	9.98680159634012e-06
P06634	4.3325974859722e-06
P20447	2.90353496502832e-06
P24784	3.74539380956773e-07
0	1.0579617122334e-06
P39976	2.99724605487983e-06
P46681	1.44296028340071e-06
P31116	9.35059005416837e-06
P39954	2.64915294863039e-05
P36008	7.39854764809339e-06
P29547	1.9330376129152e-05
Q01217	6.02669791310603e-06
P14126	1.98200641499728e-05
Q12363	2.26451259249386e-05
P16140	5.8574673202562e-06
P12709	1.09631220325729e-05
P38011	1.74050159419746e-05
P09436	2.62091265983915e-06
P04840	5.14516389829713e-05
P32316	5.49854575153452e-06
P00890	1.05951291056788e-05
P08679	3.43335898849046e-07
P43635	1.09991365971392e-06
P07256	1.14666713333236e-05
P15180	5.56238747147145e-06
Q00711	5.67136802827074e-06
P47052	2.37801512595838e-07
P04147	5.37066560605924e-06
P17967	7.46965972823054e-06
P40054	1.61421444433139e-06
P40510	1.53753773571846e-06
P07257	7.60176640450208e-06
P39015	1.51716989778886e-05
P07806	3.15006314071222e-06
P38088	6.17958223597196e-06
P15705	5.79541146108844e-06
P23301	4.49177512064256e-05
P53252	1.23983839526712e-05
Q12230	3.53535043999275e-06
P17505	8.69268965000197e-06
P38891	4.07457647431519e-06
P47176	3.16088111099806e-06
P26637	1.76371345139373e-06
P39676	9.38967741026739e-06
P06208	6.30720275809147e-06
P32454	2.07296607851218e-06
P37898	1.19085891246683e-06
P07342	7.85919444500129e-06
P40069	2.15257673740049e-06
(P0CX35-P0CX36)	3.22215837676219e-05
P38999	8.52768867859229e-06
P38249	2.69004729082879e-06
P07264	5.42224998760184e-06
P49367	5.75039224819062e-06
P15992	0.000117187290633892
P10081	8.1625974859722e-06
P00931	7.60397489961594e-06
P00817	1.3504329143287e-05
P32582	5.60517229572381e-06
P08536	4.10667133332361e-06
P05750	1.71796656754459e-05
P49090	1.4364714500913e-06
P49089	1.87746469022628e-06
P38788	4.65290979511598e-06
P39522	7.18010702460839e-06
Q03690	2.04420861057939e-06
P25294	1.03738620799682e-05
P16120	6.28697208347772e-06
P53051	5.44398432911493e-07
P13711	2.66193427041373e-06
P80210	4.0071860169373e-06
P17076	1.93595931960788e-06
P29453	5.42910024863991e-06
(P0CH09-P0CH08)	2.07512322483951e-06
P05759	3.67066993461435e-06
P41805	1.93104200950535e-05
P23641	1.38811698444698e-05
P32565	2.96449686992217e-06
P07702	1.80433979557773e-06
P39518	2.15308089364777e-06
P38998	6.39620548606024e-06
P38764	1.88451259249386e-06
P21576	3.32421444433139e-06
P14742	1.75461504939347e-06
P32340	3.71261320715537e-06
0	8.65182311125307e-06
P38695	2.32433025791641e-06
P23585	3.23911283874561e-06
P07284	1.74383509170266e-05
P37012	3.32599225164377e-06
P33401	2.89470300177885e-07
P10964	1.03708642960257e-06
P04050	5.18995478105654e-07
P50095	4.3096e-06
P13663	1.05796953940483e-05
P08417	6.96787710625176e-06
P13188	1.81878150223295e-06
P26783	1.95631476816147e-05
P07263	1.5992e-06
P38708	2.87660182062826e-06
P32527	4.55673199782237e-06
P04801	2.14705159015264e-06
P25087	9.37825778755e-06
P41338	7.64561612419755e-06
P07991	4.63433979557773e-06
P38219	5.15269041665213e-06
P32476	8.16135917382599e-06
P38934	5.50318575363687e-06
Q05506	3.73600110661083e-06
P07267	7.73222139010668e-06
Q06440	2.7188043366427e-06
P30624	4.11646319196849e-06
P38427	1.84394819582835e-06
P38426	6.73882820608097e-07
P15202	9.30992251643769e-06
P06738	1.81670248675042e-06
P53312	4.44820709597183e-06
(P0CX56-P0CX55)	2.1584476944069e-05
(P0CX48-P0CX47)	2.63050159419746e-05
P32861	4.81675482402742e-06
(P0CX44-P0CX43)	1.29415189388829e-05
P39730	1.71965463885567e-06
(P0CX46-P0CX45)	3.08303080603522e-05
P11986	6.13926677470936e-06
P53622	2.02191180074799e-06
P33299	2.82606473800183e-06
P18759	1.14265891831044e-06
P07246	1.97344307734879e-05
P23542	4.29991224502777e-06
P09938	1.19493464051241e-05
P34760	2.23344307734879e-05
Q04120	4.03724772574301e-06
