rxnIDs	subSystems	ECCs	ECCs_reg
HXKNo1	Glycolysis	1.00000000010002	0
PDHNo1	Other	0.430768047112895	0.354435409673516
COX1No1	Oxidative Phosphorylation	0.412723387977952	0.433404481809225
COX1No5	Oxidative Phosphorylation	0.412723387977952	0.433404481809225
RIP1No1	Oxidative Phosphorylation	0.412723387658515	0.433404484894822
ATP1No1	Oxidative Phosphorylation	0.282057679314331	0.365437963970137
NDI1No1	Oxidative Phosphorylation	0.218684188184383	0
CITNo1	TCA	0.188978991723722	0.186383231264061
SDHNo1	TCA	0.185408030779748	0.197095135514785
SDHNo2	TCA	0.185408030779748	0.197095134547454
CDCNo1	Glycolysis	0.0748837927310336	0.0715401690242165
PFKNo1	Glycolysis	0.0428435639490065	0
PFKNo2	Glycolysis	0.0428435639407606	0.0500289983727698
IDHNo1	TCA	0.0112015795091921	0.0119076685490724
IDPHNo1	TCA	0.0112015795091921	0.0119076685490724
KGD1No1	TCA	0.0109858370379454	0.0117010695597938
LSC2No1	TCA	0.0109858370376584	0.0117010695610238
ZWFNo1	pentose phosphate	0.00870332966198417	0
PGLNo1	pentose phosphate	0.00870332945939885	0
GNDNo1	pentose phosphate	0.00855404170495217	0
ACSNo2	Other	0.00469604592970555	0.0175025694857555
ALD6No1	Anaerobic excretion	0.0046960457277665	0
PDCNo2	Anaerobic excretion	0.0046960457275887	0.0110722969184997
PYCNo1	TCA	0.00289832251915878	0
ALD2No1	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0.00698041443596294
ALD2No2	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0.00698041443661231
ALD2No3	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0.00698041443599309
ALD2No4	Phenylalanine, tyrosine, and tryptophan biosynthesis (aromatic amino acids)	0	0.00698041443713174
DARNo1	Anaerobic excretion	0	0.00457069096719478
FBPNo1	Glycolysis	0	0.00718235416180298
GPPNo1	Anaerobic excretion	0	0.0045706930967994
NDE2No1	Oxidative Phosphorylation	0	0.157979227631012
PCKNo1	Other	0	0.00718235880800357
PYCNo2	TCA	0	0.00457113836629163
