mets	metNames	resp_unreg	resp_reg	ferm_unreg	ferm_reg	FC_resp	FC_ferm	FC_reg	FC_unreg
MAL[m]	(S)-malate	0.747106559002713	0.793034759871898	0.59598586329379	0.420294545205277	1.06147476596979	0.70520891700764	0.52998250073322	0.797725379481812
AKG[m]	2-oxoglutarate	0.732989159002714	0.7789173598719	0.652396473440892	0.476701348244995	1.06265877237758	0.730692711643214	0.612005037766	0.890049280303853
P2G[c]	2-phospho-D-glyceric acid	1.45604777021011	1.50197840868818	18.6305175728768	19.6464912524277	1.0315447332277	1.05453276730379	13.0804085723089	12.7952653436559
P3G[c]	3-phospho-D-glycerate	1.45604777021011	1.5019784086882	18.6305175728768	19.6464912524277	1.03154473322772	1.05453276730379	13.0804085723087	12.7952653436559
P13G[c]	1,3-bisphospho-D-glycerate	1.47654047021011	1.52247110868818	18.7124883728768	19.7284620524277	1.03110692825882	1.05429388434643	12.9581848482015	12.673197078177
G15L[c]	6-O-phosphono-D-glucono-1,5-lactone	0.275195547196303	0.259638813994164	0.75979	0.806593640904364	0.943470258292217	1.06160075929449	3.10659884974861	2.76090949777622
P6G[c]	6-phospho-D-gluconate	0.275195547196303	0.259638813994164	0.75979	0.806593640904364	0.943470258292217	1.06160075929449	3.10659884974861	2.76090949777622
ACA[c]	acetaldehyde	0.0494999056073953	0.212317610035017	15.2853263821094	16.4769932833026	4.28925282643959	1.07796149531933	77.6054010808856	308.795061213722
AC[c]	acetate	0.0494999056073953	0.212317610035016	0.879984000000001	0.879984	4.28925282643959	0.999999999999999	4.14465856061052	17.7774884457257
ACCOA[c]	acetyl-CoA	0.0494960000000005	0.212311266818744	0.197984	0.197984	4.28946312467146	1	0.932517633032754	3.99999999999991
ACCOA[m]	acetyl-CoA	0.946281959002715	0.992210159871898	1.39268746329379	1.21699614520528	1.04853542903596	0.873847275344182	1.22655077968805	1.4717468192689
ADP[c]	ADP	8.22985136698906	8.60966253910462	44.7979615387504	45.8221833147476	1.04615042911213	1.02286313351806	5.32218110833331	5.44335001218132
GLC[c]	alpha-D-glucose	1.09836833297108	1.12286586334311	10.7398045464384	11.2597169930313	1.02230356578632	1.04840986112409	10.0276599018762	9.77796265974569
G6P[c]	alpha-D-glucose 6-phosphate	1.0983683329711	1.12286586334309	10.7398045464384	11.2597169930313	1.02230356578628	1.04840986112408	10.0276599018764	9.77796265974553
ATP[c]	ATP	8.22985136698906	8.60966253910462	44.7979615387504	45.8221833147476	1.04615042911213	1.02286313351806	5.32218110833331	5.44335001218132
AMP[c]	AMP	0.0494960000000001	0.212311266818743	0.197983999999995	0.197983999999999	4.28946312467148	1.00000000000002	0.932517633032751	3.99999999999983
F16P[c]	D-fructose 1,6-bisphosphate	0.724412087239004	0.754095195345054	9.35764362643838	9.86195485939647	1.04097544564611	1.05389297274938	13.0778645988904	12.9175696972475
F6P[c]	D-fructose 6-phosphate	0.805202087239003	0.834885195345031	9.68080362643838	10.1851148593965	1.03686417183518	1.05209394306696	12.1994196521682	12.0228248036879
BIOMASS[c]	biomass	0.0999999999999995	0.0999999999999995	0.4	0.4	1	1	3.99999999999998	3.99999999999998
CI[m]	citrate	0.747106559002713	0.793034759871899	0.652425968367341	0.476732746725136	1.06147476596979	0.730707804163793	0.601149874946395	0.873270299270618
CO2[c]	CO2	2.98394588981184	3.10617619682613	19.730557432285	20.4419464059022	1.04096264192713	1.03605518881353	6.58106466297359	6.61223700458225
CO2[m]	CO2	2.39814287700814	2.37311221279695	2.64101081017557	2.11392924169527	0.989562480012694	0.800424304796669	0.890783516386607	1.10127333758797
COA[c]	coenzyme A	0.0494960000000005	0.212311266818744	0.197984	0.197984	4.28946312467146	1	0.932517633032754	3.99999999999991
COA[m]	coenzyme A	1.66515371800543	1.7570101197438	1.98861433673468	1.63722789345027	1.05516391714778	0.823300859903591	0.93182610336303	1.19425270786213
E4P[c]	D-erythrose 4-phosphate	0.0911265157320998	0.085940937998052	0.250841999999999	0.266443213634787	0.943094743693562	1.06219538049764	3.10030609208413	2.75267849302436
GA3P[c]	D-glyceraldehyde 3-phosphate	1.59892398594221	1.63966904668618	19.0883583728768	20.1199332660625	1.02548280037213	1.05404209586988	12.2707282342894	11.9382525627874
R5P[c]	D-ribose 5-phosphate	0.1179058757321	0.112720297998053	0.357959439999999	0.373560653634787	0.956019344228191	1.04358374690381	3.31404955690623	3.0359762630773
RU5P[c]	D-ribulose 5-phosphate	0.270475107196302	0.254918373994164	0.740908239999999	0.787711880904363	0.942483678578052	1.06317063082517	3.09005533246652	2.73928439359956
X5P[c]	D-xylulose 5-phosphate	0.1525692314642	0.142198075996106	0.382948799999998	0.414151227269574	0.93202328301347	1.08147937079206	2.91249529480915	2.51000019024055
ETH[c]	ethanol	5e-16	5e-16	14.4053423821094	15.5970092833026	1	1.08272395543151	1.03980061888684e+16	9.60356158807293e+15
FUM[m]	fumarate	0.732989159002714	0.778917359871899	0.595956368367341	0.420263146725135	1.06265877237758	0.70519113316378	0.539547798490782	0.813049362391913
GP[c]	glycerol-3-phosphate	1e-15	0.00825	1e-15	0.00825	4125000000000.5	4125000000000.5	1	1
GLY[c]	glycerol	5e-16	0.0082499999999995	5e-16	0.0082499999999995	5500000000000.33	5500000000000.33	1	1
DHAP[c]	dihydroxyacetone phosphate	0.724412087239004	0.754095195345026	9.35764362643838	9.86195485939643	1.04097544564608	1.05389297274938	13.0778645988909	12.9175696972475
ICI[m]	isocitrate	0.747106559002714	0.7930347598719	0.652425968367341	0.476732746725136	1.06147476596979	0.730707804163794	0.601149874946395	0.873270299270618
NAD[c]	nad+	1.51691471021011	1.69454958671151	18.8739853328768	19.9835662942365	1.11710274500324	1.05878890662413	11.7928483479891	12.4423510470556
NAD[m]	nad+	4.70687055102096	4.89715296418037	7.88446524343671	7.09135641703442	1.04042652354612	0.89940867238111	1.44805695654256	1.67509710708456
NADH[c]	NADH	1.51691471021011	1.69454958671151	18.8739853328768	19.9835662942365	1.11710274500324	1.05878890662413	11.7928483479891	12.4423510470556
NADH[m]	NADH	4.70687055102096	4.89715296418037	7.88446524343671	7.09135641703442	1.04042652354612	0.89940867238111	1.44805695654256	1.67509710708456
NADP[c]	nadp+	0.59517056	0.59517056	2.38068224	2.38068224	1	1	3.99999999999999	3.99999999999999
NADP[m]	nadp+	0.1026775952	0.1026775952	0.4107103808	0.4107103808	1	1	3.99999999999997	3.99999999999997
NADPH[c]	NADPH	0.59517056	0.59517056	2.38068224	2.38068224	1	1	3.99999999999999	3.99999999999999
NADPH[m]	NADPH	0.1026775952	0.1026775952	0.4107103808	0.4107103808	1	1	3.99999999999997	3.99999999999997
O2[c]	O2	2.73904549501184	2.85715080202613	4.31667336590203	3.83227234187977	1.04311914761159	0.887783720712203	1.34129158991613	1.57597724235076
OAA[m]	oxaloacetate	0.747106559002714	0.793034759871899	0.652425968367341	0.476732746725136	1.06147476596979	0.730707804163793	0.601149874946395	0.873270299270617
PI[c]	phosphate	6.90193629677895	7.23581683041643	26.6799747658736	26.6882228623199	1.04837490803752	1.00030914933461	3.68834970367595	3.86557824046055
PEP[c]	phosphoenolpyruvate	1.45604777021011	1.50197840868816	18.6305175728768	19.6464912524277	1.03154473322769	1.05453276730379	13.080408572309	12.7952653436558
PYR[c]	pyruvate	1.34840777021011	1.39433840868817	18.1999575728768	19.2159312524277	1.03406286992169	1.05582285977771	13.7813970645093	13.4973692490965
S7P[c]	sedoheptulose 7-phosphate	0.0911265157320998	0.0859409379980502	0.250841999999999	0.266443213634787	0.943094743693543	1.06219538049764	3.10030609208419	2.75267849302436
SUC[m]	succinate	0.732989159002714	0.7789173598719	0.595956368367341	0.420263146725136	1.06265877237758	0.70519113316378	0.539547798490783	0.813049362391914
