rxns	rxnNames	netFlux	ratio	futileFlux	netFlux_reg	ratio_reg	futileFlux_reg
ACO	Aconitate hydratase, mitochondrial	0.747106559002713	1.33849715003823e-15	9.99200722162641e-16	0.7930347598719	0.825725405022372	3.75745500011694
ACS	acetyl-CoA synthetase	0.049496	0	0	0.212311266818744	0	0
ADH1	alcohol dehydrogenase, (acetaldehyde to ethanol)	0	1	1e-15	0	1	50
ADK1_1	adenylate kinase	0.0494960000000002	2.02036528204294e-14	9.99200722162641e-16	0.212311266818743	4.7100656266807e-15	9.99200722162641e-16
ALD2	acetaldehyde dehydrogenase	1e-15	0	0	0.131704238023344	0	0
ALD6	aldehyde dehydrogenase (acetaldehyde, NADP)	0.0494999056073948	0	0	0.0806133720116723	0	0
ATP1	ATP synthase	4.70652406756613	0	0	4.94854576185636	0	0
ATPTransport	ADP,ATP carrier protein 1	5.42539582656884	1.84318348737409e-16	8.88178419700125e-16	5.71334572172826	1.7502879200832e-16	8.88178419700125e-16
ATPTransportRev	ADP,ATP carrier protein 1	1e-15	0	0	1e-15	0	0
ATPX	ATP hydrolysis	0.7	0	0	0.7	0	0
CAT2	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	0	1	1e-15	0.162815266818743	6.14193017361979e-15	9.99200722162641e-16
CAT2Rev	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	1e-15	0	0	1e-15	0	0
CDC	Pyruvate kinase	1.34840777021011	0	0	1.39433840868817	0	0
CIT	citrate synthase	0.747106559002714	0	0	0.793034759871899	0	0
CO2TRANS	CO2 transport	2.39814287700814	4.16989333532777e-16	8.88178419700125e-16	2.37311221279695	4.21387574766808e-16	8.88178419700125e-16
COX1	ferrocytochrome-c:oxygen oxidoreductase	10.8797194200474	0	0	11.3521406481045	0	0
DAR	glycerol-3-phosphate dehydrogenase (NAD)	1e-15	0	0	0.00825	0	0
ENO	Enolase	1.45604777021011	6.86790653754237e-16	1.11022302462516e-15	1.50197840868815	0.865404726074412	9.65724260169095
FBA	Fructose-bisphosphate aldolase	0.724412087239003	1.38042975485315e-15	9.99200722162641e-16	0.75409519534505	0.714812868034931	1.89011666003914
FBP	fructose-bisphosphatase	1e-15	0	0	1e-15	0	0
FUM1	fumarase	0.732989159002713	1.36427665773471e-15	9.99200722162641e-16	0.778917359871899	1.28383324280314e-15	9.99200722162641e-16
GAL1	Galactokinase	1e-15	0	0	1e-15	0	0
GAL7b	Galactose-1-phosphate uridylyltransferase	0	1	1e-15	0	1	1.96951453365081
GAL10	UDPglucose 4-epimerase	0	1	1e-15	0	1	1e-15
GLD	glyceraldehyde-3-phosphate dehydrogenase	1.47654047021011	6.77258781709994e-16	1.11022302462516e-15	1.52247110868816	0.733155303307982	4.18298651352323
GND	phosphogluconate dehydrogenase	0.270475107196303	0	0	0.254918373994164	0	0
GPM	Phosphoglycerate mutase	1.45604777021011	6.86790653754237e-16	1.11022302462516e-15	1.5019784086882	0.969878791816353	48.3625024425035
GPP	glycerol-3-phosphatase	1e-15	0	0	0.00825	0	0
GROWTH	Growth	0.1	0	0	0.1	0	0
H2OIN	Uptake of f H2O	0	1	1e-15	0	1	1e-15
H2O_Out	Production of H2O	6.62968563021184	0	0	6.74366593722613	0	0
H2Otransport	Transport of H2O, mitochondrial	8.65217065958437	1.15577932907768e-16	1.77635683940025e-15	9.03854656616483	1.10637257072219e-16	1.77635683940025e-15
HDECOUP	Hdecoupling	1e-15	0	0	1e-15	0	0
HXK	hexokinase (D-glucose:ATP)	1.0983683329711	0	0	1.12286586334311	0	0
ICL1	Isocitrate lyase	0.0141174000000001	0	0	0.0141173999999995	0	0
IDH	Isocitrate dehydrogenase (NAD+)	0.630311563802714	0	0	0.6762397646719	0	0
IDPH	isocitrate dehydrogenase (NADP)	0.1026775952	0	0	0.1026775952	0	0
KGD1	oxoglutarate dehydrogenase	0.718871759002714	0	0	0.7647999598719	0	0
LSC2	succinate-CoA ligase (ADP-forming)	0.718871759002714	0	0	0.7647999598719	0	0
MDH1	Malate dehydrogenase	0.747106559002713	1.33849715003823e-15	9.99200722162641e-16	0.793034759871898	1.260978774955e-15	9.99200722162641e-16
MLS1	malate synthase	0.0141174000000001	0	0	0.0141173999999995	0	0
NCE	CO2 dissociation	0.183288715199999	5.45587325934838e-15	9.99200722162641e-16	0.183288715199999	5.45587325934838e-15	9.99200722162641e-16
NDE2	NADH dehydrogenase, cytosolic/mitochondrial	1e-15	0	0	1e-15	0	0
NDI1	NADH:ubiquinone oxidoreductase	4.70687055102096	0	0	4.89715296418037	0	0
