enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	0.000951	0.001326	0.001696	0.002059	0.002416	0.002767	0.003112	0.003451	0.003783	0.00411	0.004431	0.004747	0.005061	0.005387	0.00571	0.00603	0.006352	0.006673	0.006995	0.007316	0.007635	0.007953	0.008268	0.008582	0.008893	0.009203	0.00952	0.009838	0.010154	0.01047	0.010784	0.011098	0.01141	0.011721	0.012031	0.012339	0.012647	0.012953	0.013258	0.013562	0.013866	0.014169	0.014473	0.014714	0.014957	0.015203	0.015451	0.0157	0.015951	0.016205	0.016463	0.016722	0.016983	0.017232	0.017461	0.017691	0.017925	0.018035	0.017653	0.01718	0.01671	0.016244	0.015781	0.015322	0.014867	0.014415	0.013966	0.013523	0.013084	0.01265	0.012219	0.011791	0.011367	0.010947	0.01053	0.010116	0.009688	0.009338	0.009068	0.008865	0.008686
P00128	Oxidative Phosphorylation	0.000802	0.00112	0.001431	0.001738	0.002039	0.002335	0.002627	0.002913	0.003193	0.003468	0.00374	0.004007	0.004271	0.004546	0.004819	0.005089	0.005361	0.005632	0.005904	0.006175	0.006444	0.006712	0.006978	0.007243	0.007506	0.007768	0.008035	0.008303	0.00857	0.008837	0.009102	0.009366	0.00963	0.009892	0.010154	0.010414	0.010674	0.010932	0.01119	0.011446	0.011703	0.011958	0.012215	0.012418	0.012624	0.012831	0.01304	0.013251	0.013462	0.013677	0.013894	0.014114	0.014334	0.014544	0.014737	0.014931	0.015129	0.015222	0.014899	0.014499	0.014103	0.01371	0.013319	0.012932	0.012547	0.012166	0.011788	0.011413	0.011043	0.010676	0.010312	0.009952	0.009594	0.009239	0.008887	0.008538	0.008177	0.007881	0.007653	0.007482	0.007331
P00163	Oxidative Phosphorylation	0.002405	0.003356	0.00429	0.005208	0.006112	0.007	0.007873	0.008731	0.00957	0.010396	0.011209	0.01201	0.012802	0.013627	0.014444	0.015255	0.01607	0.016882	0.017697	0.018508	0.019315	0.020118	0.020916	0.021709	0.022498	0.023282	0.024083	0.024887	0.025688	0.026486	0.027282	0.028074	0.028864	0.029651	0.030435	0.031215	0.031993	0.032767	0.033539	0.034309	0.035077	0.035843	0.036614	0.037222	0.037837	0.03846	0.039087	0.039717	0.040352	0.040995	0.041647	0.042303	0.042964	0.043594	0.044173	0.044755	0.045346	0.045625	0.044657	0.04346	0.042272	0.041093	0.039922	0.038761	0.037609	0.036466	0.035332	0.034209	0.0331	0.032001	0.03091	0.029828	0.028756	0.027692	0.026637	0.025591	0.024509	0.023622	0.022939	0.022426	0.021973
P00330	Anaerobic excretion // Anaerobic excretion	0.040663	0.040168	0.039681	0.039204	0.038735	0.038274	0.037822	0.037379	0.036948	0.036524	0.036108	0.035698	0.035307	0.035037	0.03477	0.034506	0.034267	0.034037	0.033823	0.033614	0.033406	0.033199	0.032994	0.03279	0.032588	0.032387	0.031405	0.030368	0.029334	0.028305	0.02728	0.026259	0.025242	0.024229	0.02322	0.022216	0.021216	0.02022	0.019227	0.018242	0.017278	0.016316	0.015402	0.014496	0.013585	0.012669	0.011749	0.010822	0.009891	0.008955	0.008014	0.007068	0.006116	0.00516	0.004199	0.003232	0.002261	0.001489	0.001232	0.001366	0.001498	0.00163	0.00176	0.00189	0.002018	0.002146	0.002272	0.002398	0.002522	0.002646	0.002769	0.00289	0.003011	0.003131	0.003249	0.003367	0.003484	0.003435	0.003423	0.003681	0.00394
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	0.065748	0.064103	0.062488	0.0609	0.059339	0.057805	0.056297	0.054816	0.053367	0.051941	0.050538	0.049157	0.047814	0.046644	0.045486	0.044338	0.043228	0.042135	0.041067	0.04001	0.038958	0.037913	0.036874	0.035841	0.034814	0.033794	0.032802	0.031809	0.030819	0.029833	0.028851	0.027872	0.026898	0.025927	0.02496	0.023997	0.023038	0.022083	0.021131	0.020187	0.019265	0.018346	0.017481	0.019258	0.021015	0.022716	0.024425	0.026141	0.027864	0.029563	0.031196	0.032814	0.034439	0.03655	0.039414	0.042291	0.045156	0.048594	0.055948	0.06303	0.070058	0.077031	0.083951	0.090816	0.097627	0.104384	0.111086	0.117726	0.124293	0.130806	0.137264	0.143669	0.150019	0.156315	0.162557	0.168748	0.175051	0.180789	0.185931	0.190686	0.195218
P00360	Glycolysis // Glycolysis	0.065748	0.064103	0.062488	0.0609	0.059339	0.057805	0.056297	0.054816	0.053367	0.051941	0.050538	0.049157	0.047814	0.046644	0.045486	0.044338	0.043228	0.042135	0.041067	0.04001	0.038958	0.037913	0.036874	0.035841	0.034814	0.033794	0.032802	0.031809	0.030819	0.029833	0.028851	0.027872	0.026898	0.025927	0.02496	0.023997	0.023038	0.022083	0.021131	0.020187	0.019265	0.018346	0.017481	0.016625	0.015765	0.0149	0.014029	0.013154	0.012274	0.01139	0.0105	0.009605	0.008706	0.007802	0.006893	0.005979	0.00506	0.004431	0.004478	0.005011	0.00554	0.006065	0.006585	0.007102	0.007615	0.008124	0.008628	0.009129	0.009626	0.010118	0.010607	0.011091	0.011572	0.012049	0.012521	0.01299	0.013454	0.01373	0.0138	0.013554	0.013253
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	0.001028	0.001434	0.001833	0.002225	0.002611	0.002991	0.003364	0.00373	0.004089	0.004442	0.004789	0.005131	0.00547	0.005822	0.006171	0.006518	0.006866	0.007213	0.007561	0.007908	0.008253	0.008596	0.008937	0.009276	0.009613	0.009948	0.01029	0.010633	0.010976	0.011317	0.011656	0.011995	0.012333	0.012669	0.013004	0.013337	0.013669	0.014	0.01433	0.014659	0.014987	0.015315	0.015644	0.015904	0.016167	0.016433	0.0167	0.01697	0.017241	0.017516	0.017794	0.018075	0.018357	0.018626	0.018873	0.019122	0.019375	0.019494	0.019081	0.018569	0.018061	0.017557	0.017057	0.016561	0.016069	0.015581	0.015096	0.014616	0.014143	0.013673	0.013207	0.012745	0.012286	0.011832	0.011381	0.010934	0.010472	0.010093	0.009801	0.009582	0.009388
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000499	0.000697	0.000891	0.001081	0.001269	0.001453	0.001634	0.001812	0.001987	0.002158	0.002327	0.002493	0.002658	0.002829	0.002998	0.003167	0.003336	0.003504	0.003674	0.003842	0.00401	0.004176	0.004342	0.004507	0.00467	0.004833	0.004999	0.005166	0.005333	0.005498	0.005663	0.005828	0.005992	0.006155	0.006318	0.00648	0.006641	0.006802	0.006962	0.007122	0.007281	0.007441	0.007601	0.007727	0.007855	0.007984	0.008114	0.008245	0.008376	0.00851	0.008645	0.008782	0.008919	0.009049	0.00917	0.009291	0.009413	0.009471	0.00927	0.009022	0.008775	0.00853	0.008287	0.008046	0.007807	0.00757	0.007334	0.007101	0.006871	0.006643	0.006416	0.006192	0.005969	0.005748	0.00553	0.005312	0.005088	0.004904	0.004762	0.004655	0.004561
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000531	0.00074	0.000946	0.001149	0.001348	0.001544	0.001737	0.001926	0.002111	0.002294	0.002473	0.00265	0.002824	0.003006	0.003187	0.003365	0.003545	0.003724	0.003904	0.004083	0.004261	0.004438	0.004614	0.004789	0.004963	0.005136	0.005313	0.00549	0.005667	0.005843	0.006019	0.006194	0.006368	0.006541	0.006714	0.006886	0.007058	0.007229	0.007399	0.007569	0.007738	0.007907	0.008077	0.008212	0.008347	0.008485	0.008623	0.008762	0.008902	0.009044	0.009188	0.009333	0.009478	0.009617	0.009745	0.009873	0.010004	0.010065	0.009852	0.009588	0.009326	0.009066	0.008807	0.008551	0.008297	0.008045	0.007795	0.007547	0.007302	0.00706	0.006819	0.00658	0.006344	0.006109	0.005877	0.005646	0.005407	0.005211	0.005061	0.004947	0.004847
