rxns	rxnNames	netFlux	ratio	futileFlux	netFlux_reg	ratio_reg	futileFlux_reg
ACO	Aconitate hydratase, mitochondrial	0.65242596836734	1.5327409522071e-15	9.99200722162641e-16	0.495478755091368	0.281904204955153	0.194511018571663
ACS	acetyl-CoA synthetase	0.197984	0	0	0.197984	0	0
ADH1	alcohol dehydrogenase, (acetaldehyde to ethanol)	14.4053423821094	6.94186901966275e-17	1.77635683940025e-15	15.5555664728803	6.42856691682304e-17	1.77635683940025e-15
ADK1_1	adenylate kinase	0.19798399999999	5.05091320510771e-15	9.99200722162641e-16	0.197983999999999	5.05091320510748e-15	9.99200722162641e-16
ALD2	acetaldehyde dehydrogenase	1e-15	0	0	0.0518599514591448	0	0
ALD6	aldehyde dehydrogenase (acetaldehyde, NADP)	0.879984	0	0	0.828124048540855	0	0
ATP1	ATP synthase	7.37155951955589	0	0	6.59018592320482	0	0
ATPTransport	ADP,ATP carrier protein 1	7.96748639299678	1.25510098251184e-16	8.88178419700125e-16	7.02633839483488	1.42321639495062e-16	8.88178419700125e-16
ATPTransportRev	ADP,ATP carrier protein 1	1e-15	0	0	1e-15	0	0
ATPX	ATP hydrolysis	0.7	0	0	0.7	0	0
CAT2	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	0	1	1e-15	0	1	1e-15
CAT2Rev	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	1e-15	0	0	1e-15	0	0
CDC	Pyruvate kinase	18.1999575728768	0	0	19.2316905182395	0	0
CIT	citrate synthase	0.652425968367342	0	0	0.495478755091368	0	0
CO2TRANS	CO2 transport	2.64101081017557	3.78642902992707e-16	8.88178419700125e-16	2.1673419818128	4.61394652247535e-16	8.88178419700125e-16
COX1	ferrocytochrome-c:oxygen oxidoreductase	16.9608432236081	0	0	15.1481965672147	0	0
DAR	glycerol-3-phosphate dehydrogenase (NAD)	1e-15	0	0	0.0165	0	0
ENO	Enolase	18.6305175728768	5.36753740784876e-17	0	19.6237944503717	5.09585443594503e-17	0
FBA	Fructose-bisphosphate aldolase	9.35764362643838	1.06864509904467e-16	1.77635683940025e-15	9.85821040256423	1.01438289422174e-16	1.77635683940025e-15
FBP	fructose-bisphosphatase	1e-15	0	0	1e-15	0	0
FUM1	fumarase	0.59595636836734	1.67797518925683e-15	9.99200722162641e-16	0.439009155091368	2.27785682463017e-15	9.99200722162641e-16
GAL1	Galactokinase	1e-15	0	0	1e-15	0	0
GAL7b	Galactose-1-phosphate uridylyltransferase	0	1	1e-15	0	1	1e-15
GAL10	UDPglucose 4-epimerase	0	1	1e-15	0	1	1e-15
GLD	glyceraldehyde-3-phosphate dehydrogenase	18.7124883728768	5.34402469662704e-17	0	19.7057652503717	5.07465702191463e-17	0
GND	phosphogluconate dehydrogenase	0.74090824	0	0	0.766838215729572	0	0
GPM	Phosphoglycerate mutase	18.6305175728768	5.36753740784876e-17	0	19.6237944503717	5.09585443594503e-17	0
GPP	glycerol-3-phosphatase	1e-15	0	0	0.0165	0	0
GROWTH	Growth	0.4	0	0	0.4	0	0
H2OIN	Uptake of f H2O	0	1	1e-15	0	1	1e-15
H2O_Out	Production of H2O	19.906733906702	0	0	19.4453222426037	0	0
H2Otransport	Transport of H2O, mitochondrial	14.6035692996988	6.84764100801456e-17	1.77635683940025e-15	13.2269396131681	7.56032785546589e-17	1.77635683940025e-15
HDECOUP	Hdecoupling	1e-15	0	0	1e-15	0	0
HXK	hexokinase (D-glucose:ATP)	10.7398045464384	0	0	11.2490146478074	0	0
ICL1	Isocitrate lyase	2.94949264499034e-05	0	0	0.00285668346130477	0	0
IDH	Isocitrate dehydrogenase (NAD+)	0.241686092640892	0	0	0.0819116908300633	0	0
IDPH	isocitrate dehydrogenase (NADP)	0.4107103808	0	0	0.4107103808	0	0
KGD1	oxoglutarate dehydrogenase	0.595926873440892	0	0	0.436152471630063	0	0
LSC2	succinate-CoA ligase (ADP-forming)	0.595926873440892	0	0	0.436152471630063	0	0
MDH1	Malate dehydrogenase	0.59598586329379	1.6778921474301e-15	9.99200722162641e-16	0.441865838552677	0.616362942869737	0.709915070877673
MLS1	malate synthase	2.94949264499034e-05	0	0	0.00285668346130477	0	0
NCE	CO2 dissociation	0.789594965873549	1.26647210686516e-15	9.99200722162641e-16	0.825223845206555	1.21179241948552e-15	9.99200722162641e-16
