D_rate	nZeros	maxUsage	minUsage	meanUsage	medianUsage	stddev	fermentation	glyc_meanUsage	oxPhos_meanUsage	TCA_meanUsage	PPP_meanUsage	ana_meanUsage	glyc_burden	oxPhos_burden	TCA_burden	PPP_burden	ana_burden
0	61	0.000111194694438124	4.21511351168023e-08	1.99579238242435e-05	1.29799151700303e-05	2.13598165725891e-05	0	7.88832149251506e-06	2.29923971828273e-05	1.82533075714529e-05	1.82533075714529e-05	1.82533075714529e-05	7.88832149251506e-05	0.000896703490130266	0.000219039690857435	0.000219039690857435	0.000219039690857435
0.005	47	0.000143713962377541	6.92308853095293e-08	2.33889061598211e-05	1.14137405510305e-05	2.81060977823958e-05	0	1.32745544818501e-05	3.19374595943299e-05	2.22730582949668e-05	3.62566690478168e-06	1.19095833782474e-06	0.000132745544818501	0.00124556092417887	0.000289549757834569	2.53796683334718e-05	2.38191667564948e-06
0.01	47	0.000176567547476248	9.71579367896485e-08	3.03618248849099e-05	1.52598684470242e-05	3.55625437728992e-05	0	1.86839570343334e-05	4.09516343917359e-05	2.77473725361929e-05	7.25075802555891e-06	2.38158392555626e-06	0.000186839570343334	0.0015971137412777	0.000360715842970508	5.07553061789124e-05	4.76316785111252e-06
0.015	47	0.000209756462160632	1.25611626302795e-07	3.73843752057051e-05	1.86578126354759e-05	4.31343128432803e-05	0	2.41177313254374e-05	5.00348376947662e-05	3.32723572631283e-05	1.08760869359318e-05	3.57394984361525e-06	0.000241177313254374	0.00195135867009588	0.000432540644420668	7.61326085515229e-05	7.1478996872305e-06
0.02	47	0.000243276553476999	1.52930307143121e-07	4.44564401781437e-05	2.2393620440155e-05	5.079674408499e-05	0	2.95742318383402e-05	5.91874029975808e-05	3.88481281114906e-05	1.45024673989809e-05	4.76395689344677e-06	0.000295742318383402	0.00230830871690565	0.000505025665449378	0.000101517271792866	9.52791378689354e-06
0.025	47	0.000277135166894902	1.81554811258646e-07	5.15780198022257e-05	2.65936536036812e-05	5.85383823953335e-05	0	3.50557583066183e-05	6.84090276331156e-05	4.44742632845283e-05	1.81265974058916e-05	5.9541725601415e-06	0.000350557583066183	0.00266795207769151	0.000578165422698868	0.000126886181841241	1.1908345120283e-05
0.03	47	0.000311323616645495	2.11497022177646e-07	5.87491728271239e-05	3.03827222192754e-05	6.63518680031989e-05	0	4.05604289198464e-05	7.76996675476122e-05	5.01511861922029e-05	2.17533080048684e-05	7.14624938269136e-06	0.000405604289198464	0.00303028703435688	0.000651965420498638	0.000152273156034079	1.42924987653827e-05
0.035	47	0.000345850576889347	2.37491240310392e-07	6.5969591065742e-05	3.42435980611996e-05	7.4234219674792e-05	0	4.60880778529465e-05	8.70598230505361e-05	5.58790500534763e-05	2.5378389333613e-05	8.33594253489474e-06	0.000460880778529465	0.00339533309897091	0.000726427650695191	0.000177648725335291	1.66718850697895e-05
0.04	47	0.000380712821633633	2.69522904953247e-07	7.32397733444122e-05	3.8374788391115e-05	8.21819781164675e-05	0	5.16405885890421e-05	9.64885990303306e-05	6.16580969336439e-05	2.90038452780589e-05	9.52704877073869e-06	0.000516405885890421	0.00376305536218289	0.00080155526013737	0.000203026916946412	1.90540975414774e-05
0.045	47	0.000415906479350513	2.96459200578355e-07	8.05592431362916e-05	4.28190201878825e-05	9.01948941960144e-05	0	5.72166257116226e-05	0.000105986477712229	6.74866069811564e-05	3.26307670400561e-05	1.07176445774305e-05	0.000572166257116226	0.00413347263077694	0.000877325890755033	0.000228415369280393	2.14352891548611e-05
0.05	47	0.000451433111661997	3.23577710303725e-07	8.7928549768561e-05	4.72704828965442e-05	9.82709994815965e-05	0	6.28155781574182e-05	0.00011555403736823	7.33661053627946e-05	3.62557770498389e-05	1.19090665987871e-05	0.000628155781574182	0.00450660745736098	0.00095375936971633	0.000253790439348872	2.38181331975742e-05
0.055	47	0.000487293867085214	3.50878434129357e-07	9.53475912734307e-05	5.17316856579413e-05	0.000106409486683795	0	6.84388385769311e-05	0.000125191234751946	7.92961791002974e-05	3.98813658717401e-05	1.31007328395037e-05	0.000684388385769311	0.00488245815532591	0.00103085032830387	0.000279169561102181	2.62014656790074e-05
0.06	47	0.000523495859227314	3.86586619273843e-07	0.000102815898679176	5.62031142446419e-05	0.0001146098977795	0	7.40864467473056e-05	0.000134896585230213	8.52780977397171e-05	4.35068576450861e-05	1.42954796659136e-05	0.000740864467473056	0.00526096682397832	0.00110861527061632	0.000304548003515603	2.85909593318272e-05
0.065	47	0.00056002532333463	4.14853187648393e-07	0.000110333294587339	6.06877253548198e-05	0.000122872384938895	0	7.97568493249386e-05	0.000144670826460573	9.13104766522404e-05	4.71331224957729e-05	1.54819678964954e-05	0.000797568493249386	0.00564216223196236	0.00118703619647912	0.00032993185747041	3.09639357929907e-05
0.07	47	0.000596897288432867	4.43305931299298e-07	0.000117901221046512	6.51754039420882e-05	0.000131196824101875	0	8.54514626764309e-05	0.000154515213466119	9.739380522732e-05	5.07578554165487e-05	1.66758486497268e-05	0.000854514626764309	0.00602609332517864	0.00126611946795516	0.000355304987915841	3.33516972994535e-05
0.075	47	0.000634093051108651	4.71944850226557e-07	0.000125517372917927	6.96771343770655e-05	0.000139581660166289	0	9.11697036839788e-05	0.000164428366508721	0.00010352353600076	5.43841129537666e-05	1.78686353399608e-05	0.000911697036839788	0.00641270629384012	0.00134580596800988	0.000380688790676367	3.57372706799216e-05
0.08	47	0.000671628387597877	5.0076994443017e-07	0.000133184028593071	7.41885345333463e-05	0.000148028169711979	0	9.69107043948736e-05	0.000174411095844941	0.000109708777776651	5.80086424078365e-05	1.90558945875183e-05	0.000969107043948736	0.00680203273795268	0.00142621411109646	0.000406060496854856	3.81117891750366e-05
0.085	47	0.000709501036773612	5.29781213910138e-07	0.000140898836320877	7.87063260878201e-05	0.000156534499876144	0	0.000102676108032073	0.000184460396497164	0.000115944049333633	6.1633361587874e-05	2.02444055358002e-05	0.00102676108032073	0.00719395546338938	0.00150727264133723	0.000431433531115118	4.04888110716004e-05
0.09	47	0.000747699368362618	5.5897865866646e-07	0.000148664834208452	8.3234300908026e-05	0.00016510258829168	0	0.000108465646107194	0.000194582209313303	0.000122228780216815	6.52611831551289e-05	2.14374262180063e-05	0.00108465646107194	0.00758870616321882	0.00158897414281859	0.000456828282085902	4.28748524360125e-05
0.095	47	0.000786239779537377	5.88362278699138e-07	0.00015647932944126	8.77661262970139e-05	0.000173731019395637	0	0.000114276228373634	0.000204771578864372	0.000128567268867818	6.88830949876394e-05	2.26331702103839e-05	0.00114276228373634	0.0079860915757105	0.00167137449528163	0.000482181664913476	4.52663404207677e-05
0.1	47	0.000825110236183078	6.17932074008169e-07	0.000164342814986117	9.23216813550078e-05	0.000182420582380383	0	0.000120115477194439	0.000215029574069972	0.000134949892352462	7.25102907269283e-05	2.38166798311872e-05	0.00120115477194439	0.00838615338872891	0.001754348600582	0.000507572035088498	4.76333596623745e-05
0.105	47	0.000864319024615058	6.47688044593554e-07	0.000172257114153581	9.68775947551637e-05	0.000191170628331899	0	0.000125973946613777	0.000225357984563441	0.000141388922075104	7.61358280748059e-05	2.5011782998666e-05	0.00125973946613777	0.00878896139797421	0.00183805598697635	0.000532950796523641	5.0023565997332e-05
0.11	47	0.000903857750421976	6.77630190455295e-07	0.000180221155775446	0.000101449890109334	0.000199981274503617	0	0.00013186106799715	0.000235755417521839	0.000147876430563907	7.97626345154156e-05	2.61968948097291e-05	0.0013186106799715	0.00919446128335173	0.00192239359733079	0.00055833844160791	5.23937896194583e-05
0.115	47	0.000943743269788709	7.07758511593389e-07	0.000188233834934016	0.000106020719167516	0.000208853164067151	0	0.000137767453085414	0.000246221965733713	0.000154414141783053	8.33885811091019e-05	2.73917602678378e-05	0.00137767453085414	0.00960265666361481	0.00200738384317969	0.000583720067763713	5.47835205356756e-05
0.12	47	0.000983945541760577	7.38073008007838e-07	0.000196295031287978	0.000110608877274536	0.000217784230368892	0	0.000143699673922922	0.000256755587359087	0.000161000177709153	8.70118531568147e-05	2.85806994590269e-05	0.00143699673922922	0.0100134679070044	0.00209300231021899	0.000609082972097703	5.71613989180539e-05
