enzymes	subSystems	D_0	D_005	D_01	D_015	D_02	D_025	D_03	D_035	D_04	D_045	D_05	D_055	D_06	D_065	D_07	D_075	D_08	D_085	D_09	D_095	D_1	D_105	D_11	D_115	D_12	D_125	D_13	D_135	D_14	D_145	D_15	D_155	D_16	D_165	D_17	D_175	D_18	D_185	D_19	D_195	D_2	D_205	D_21	D_215	D_22	D_225	D_23	D_235	D_24	D_245	D_25	D_255	D_26	D_265	D_27	D_275	D_28	D_285	D_29	D_295	D_3	D_305	D_31	D_315	D_32	D_325	D_33	D_335	D_34	D_345	D_35	D_355	D_36	D_365	D_37	D_375	D_38	D_385	D_39	D_395	D_4
P00127	Oxidative Phosphorylation	2.54313818794187e-05	3.53225888781737e-05	4.52911713002026e-05	5.53361714330121e-05	6.54581632467943e-05	7.56549628391308e-05	8.59311850788917e-05	9.62820593567492e-05	0.000106710263989222	0.000117211869940283	0.000127790011234424	0.000138445634965878	0.000149185523093812	0.000159990600668376	0.000170880982857183	0.00018184222358592	0.00019287602125449	0.00020399514401273	0.000215191507983093	0.000226454625069531	0.00023779733326453	0.000249221447372405	0.000260714676133235	0.000272291753826912	0.000283939163803382	0.000295672920054726	0.000307478265020173	0.000319355198699721	0.000331321677934623	0.000343342440538912	0.000355454059451922	0.000367638589472844	0.000379896042242119	0.000392247682525596	0.000404651686610172	0.000417151251044672	0.000429725145984571	0.00044237339471075	0.000455096020504094	0.000467893046645484	0.000480764496415803	0.000493710393095934	0.000506730759966759	0.000519853757013914	0.00053302384380752	0.000546268474514614	0.000559617949857506	0.000573012459573412	0.000586513310925544	0.000600057808294381	0.000613710159820462	0.000627438676425169	0.000641208729351084	0.000655088936256947	0.000669045409125261	0.000683041273697965	0.000697149626994643	0.000701594	0.000684456	0.000677084	0.000660478	0.000643948	0.000627532	0.000611192	0.000594966	0.000578816	0.00056278	0.000546858	0.000531012	0.000515242	0.000499586	0.000484044	0.000468616	0.000453226	0.000437988	0.000422826	0.00040774	0.000392806	0.00037791	0.000363166	0.00034846
P00128	Oxidative Phosphorylation	2.1463776639479e-05	2.98121990204857e-05	3.82253582798515e-05	4.6702990209602e-05	5.52472055556317e-05	6.38524489955402e-05	7.25242990372659e-05	8.12581896445853e-05	9.00592139182648e-05	9.89281066191384e-05	0.000107854273156424	0.000116850179028487	0.000125906519922485	0.000135035319368189	0.000144223290718917	0.000153472120734131	0.000162793960988456	0.000172170266669325	0.000181612634858504	0.000191122845438985	0.000200702701574641	0.000210340524700618	0.000220050420881151	0.000229819493921549	0.000239647732181369	0.000249551149652694	0.00025951498877475	0.000269539249547537	0.000279623931971056	0.000289787644383094	0.000300013089199232	0.000310280355088608	0.000320628636497291	0.000331059934476658	0.000341532425313608	0.000352066706756863	0.000362686067904534	0.000373344648019439	0.000384089703955364	0.000394897981535523	0.0004057695040408	0.00041667756580437	0.00042767494606408	0.000438735637211407	0.000449859662527236	0.000461047045292448	0.000472297808787926	0.000483642975075162	0.000495021295093152	0.000506463069564203	0.000517968321769197	0.000529537074989018	0.000541204016183289	0.000552900585895477	0.000564660730345287	0.000576484472813602	0.000588409502021196	0.000592154	0.000577676	0.000571444	0.000557422	0.000543476	0.000529606	0.00051585	0.000502132	0.000488528	0.000475	0.000461548	0.000448172	0.000434872	0.000421648	0.000408538	0.000395504	0.000382546	0.000369664	0.000356858	0.000344128	0.000331512	0.000318972	0.000306508	0.00029412
P00163	Oxidative Phosphorylation	6.43345576808572e-05	8.93577724560411e-05	0.000114576120596761	0.000139985890652097	0.000165591763021598	0.000191391569985049	0.000217379462136274	0.000243567699815516	0.000269942230357239	0.000296519063187471	0.000323280189710906	0.000350244059517641	0.000377397135900816	0.000404742657648897	0.000432281653339205	0.000460012902536448	0.000487932896991247	0.000516057894776776	0.000544371693216613	0.000572877817155419	0.000601579837999615	0.000630467868707778	0.000659557830148462	0.000688838664212171	0.000718312220624544	0.000747980372392103	0.000777845015802252	0.000807890761198416	0.000838135565421848	0.000868581382962158	0.000899210927875367	0.000930044146413663	0.000961062465160579	0.000992287172162849	0.00102369839101093	0.00105529616826659	0.0010870805504916	0.0011190755442431	0.00115125860892319	0.00118362980273409	0.0012162152147674	0.00124896353950483	0.00128192760274598	0.00131508144344411	0.00134842513144185	0.00138195873658186	0.00141568232870678	0.00144959597765926	0.0014837314772819	0.00151802617851693	0.00155254433606666	0.00158725430741423	0.001622121510364	0.00165721460913647	0.00169249976227591	0.00172797705126541	0.00176364655758805	0.001774904	0.001731508	0.00171285	0.001670822	0.001629022	0.00158745	0.001546144	0.001505104	0.001464254	0.001423708	0.00138339	0.0013433	0.001303476	0.00126388	0.00122455	0.001185448	0.001146612	0.001108004	0.001069624	0.00103151	0.000993662	0.000956042	0.000918688	0.000881562
P00330	Anaerobic excretion // Anaerobic excretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.866e-06	1.1324e-05	1.9646e-05	2.793e-05	3.6138e-05	4.4308e-05	5.2402e-05	6.0496e-05	6.8476e-05	7.6456e-05	8.436e-05	9.2226e-05	0.000100016	0.000107768	0.000115482	0.000123158	0.000130758	0.00013832	0.000145806	0.000153254	0.000160664	0.000167998	0.000175294
P00358	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00359	Glycolysis // Glycolysis	3.91005883548404e-05	6.57635516116291e-05	9.25433496495024e-05	0.000119440325968686	0.00014645580101403	0.000173588737352871	0.000200840771729034	0.000228207667786212	0.000255696969934465	0.000283300439135259	0.000311016815561265	0.000338859539132508	0.000366813572478394	0.000394890295291561	0.00042307532138022	0.000451392642356716	0.000479819824854243	0.000508358505846421	0.000537017209030006	0.000565799193250271	0.000594699486029347	0.00062371536390198	0.000652846391217003	0.000682094458938804	0.000711463823448798	0.000740945119714378	0.000770545531787139	0.000800274702259236	0.00083010885738235	0.000860058764254943	0.000890137718358683	0.000920321736417307	0.000950625308261438	0.000981065521947552	0.00101159633049141	0.00104225666060893	0.00107304424351859	0.0011039328271626	0.00113494268335733	0.00116607146183815	0.00119731678905957	0.00122870299714293	0.00126017491002398	0.00129178425190874	0.00132350183882091	0.00135532519245103	0.00138728208865017	0.00141937216656464	0.00145153161734089	0.00148385306482661	0.00151627195166803	0.00154881961773053	0.00158149567887955	0.0016142643426817	0.00164715913630082	0.00168017966396189	0.00171328786445001	0.001855654	0.002195982	0.00231819	0.002598174	0.002876486	0.003153126	0.003428132	0.003701466	0.003973128	0.004243156	0.004511512	0.004778196	0.005043246	0.005306624	0.005568368	0.00582844	0.00608684	0.006343606	0.0065987	0.006852122	0.00710391	0.007354026	0.007602508	0.007849318
P00360	Glycolysis // Glycolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00401	Oxidative Phosphorylation // Oxidative Phosphorylation	2.74880852135533e-05	3.81804391070944e-05	4.89537803397177e-05	5.98110077290567e-05	7.07518303911206e-05	8.17725385312693e-05	9.2881027413764e-05	0.000104065509930521	0.000115340101319101	0.000126691638073284	0.00013813012434542	0.000149643278785266	0.000161244175706107	0.000172931016898907	0.00018469972410084	0.000196543900193819	0.000208475673471587	0.000220487522309747	0.00023259284695394	0.000244770717773838	0.000257033972761926	0.000269384426722518	0.000281809788395696	0.000294310034500575	0.000306915921069422	0.000319583163779477	0.00033234317403969	0.000345180562193487	0.000358113285082119	0.00037110608051962	0.000384195521445325	0.000397383585629727	0.000410631101907638	0.000423957345633972	0.00043738425247185	0.000450891259593873	0.000464478390280923	0.000478145667813884	0.000491893115473637	0.000505720756541065	0.000519654645186457	0.000533643440970187	0.000547712503884387	0.000561889993914693	0.000576120370631226	0.00059046064818341	0.000604882724787818	0.000619355636585165	0.00063394069083866	0.000648607645028204	0.000663356534075121	0.000678187392900734	0.000693065592747625	0.000708059751274535	0.000723135980463965	0.000738294315237241	0.000753534790515686	0.000758328	0.000739822	0.000731842	0.000713868	0.000696008	0.000678262	0.00066063	0.000643074	0.000625632	0.000608304	0.000591052	0.000573952	0.000556928	0.000540018	0.000523184	0.000506502	0.000489896	0.000473404	0.000457026	0.000440724	0.000424574	0.0004085	0.000392502	0.000376656
P00410	Oxidative Phosphorylation // Oxidative Phosphorylation	1.33543786124801e-05	1.85494460977861e-05	2.37843500590734e-05	2.90585964057484e-05	3.43757292374157e-05	3.97298735961359e-05	4.51256164327892e-05	5.0558812497802e-05	5.60393961008775e-05	6.15521786970201e-05	6.71073340903613e-05	7.27024591370947e-05	7.83409389965833e-05	8.40175553791057e-05	8.97340066845639e-05	9.54920145937427e-05	0.000101293324068309	0.00010712865688176	0.000113009633396743	0.000118925788798095	0.000124877099804932	0.000130877048145983	0.00013691335420177	0.000143000763892622	0.000149110382552356	0.00015527235351817	0.000161471919229293	0.000167709079685723	0.000173983834887462	0.000180314793172297	0.000186665393241336	0.000193073514907133	0.000199499975364061	0.000205985291451998	0.000212509551840082	0.000219072768168755	0.000225674952078458	0.000232316115209632	0.000238996269202719	0.000245715425698159	0.000252473596336395	0.000259270792757867	0.000266107026603017	0.000272982309512286	0.000279925499529612	0.000286879629067334	0.000293872846470646	0.00030090516337999	0.000308008315435748	0.000315119595377958	0.000322303199706717	0.000329493504764147	0.000336722975290109	0.000344027031223853	0.000351335616108418	0.000358720314442371	0.000366108075767893	0.000368448	0.000359442	0.000355566	0.000346826	0.000338162	0.000329536	0.000320948	0.000312436	0.000303962	0.000295526	0.000287166	0.000278844	0.000270598	0.000262352	0.000254182	0.000246088	0.000238032	0.000230014	0.000222034	0.00021413	0.000206264	0.000198474	0.000190722	0.000183008
P00420	Oxidative Phosphorylation // Oxidative Phosphorylation	1.41930593949064e-05	1.97134838754414e-05	2.52765241122091e-05	3.08842827269245e-05	3.65329247359924e-05	4.22246153027119e-05	4.79580571458087e-05	5.37342534627826e-05	5.95533418399899e-05	6.5417347316205e-05	7.13192068309068e-05	7.72697224038811e-05	8.32579029628263e-05	8.92940619971696e-05	9.53631795390034e-05	0.000101484866704995	0.000107641776911679	0.000113844910066345	0.000120096046051984	0.000126384720053432	0.000132710908789806	0.000139088093989834	0.000145503996034037	0.000151973360842748	0.000158467293749779	0.000165015938092332	0.000171604536309633	0.000178233088401682	0.000184901594368479	0.000191628662547814	0.000198377731640792	0.00020518668145997	0.000212016329199717	0.000218907191699915	0.0002258393576297	0.000232812838629515	0.000239827646339799	0.000246883792400995	0.000253981288453544	0.000261120146137887	0.000268300377094466	0.000275548721911428	0.000282812436272251	0.00029011756270678	0.000297492959258954	0.000304881658341111	0.000312311808298446	0.000319814419552009	0.000327328231400355	0.00033488353292535	0.000342513521846482	0.000350152574505871	0.000357867819322121	0.000365590685198258	0.000373391263512568	0.000381198004687808	0.000389083994103121	0.000391552	0.000381976	0.000377872	0.0003686	0.000359366	0.000350208	0.000341088	0.000332044	0.000323038	0.00031407	0.000305178	0.000296362	0.000287546	0.000278844	0.000270142	0.000261516	0.000252966	0.000244454	0.00023598	0.000227582	0.000219222	0.0002109	0.000202654	0.000194484
