enzymes	ranges	minU	maxU	pU
P00127	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P00128	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P00163	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P00330	0.000325502468123745	0	0.000325502468123745	0
P00358	0.000368066420847798	0	0.000368066420847798	0
P00359	0.000369097113499257	0	0.000369097113499257	3.3556299038486e-05
P00360	0.00036906304261526	0	0.00036906304261526	0
P00401	2.51984824043816e-08	8.83388220671636e-06	8.85908068912074e-06	8.83946058145354e-06
P00410	2.51984824043816e-08	8.83388220671636e-06	8.85908068912074e-06	8.83946058145354e-06
P00420	2.51984824043816e-08	8.83388220671636e-06	8.85908068912074e-06	8.83946058145354e-06
P00425	1.56957618935902e-06	7.28950449976173e-06	8.85908068912074e-06	8.83946058145354e-06
P00427	1.56957618935902e-06	7.28950449976173e-06	8.85908068912074e-06	8.83946058145354e-06
P00549	3.30268028611657e-06	0	3.30268028611657e-06	3.2657882387957e-06
P00560	0.000268112075066398	1.51354085525359e-06	0.000269625615921652	1.52311699534303e-06
P00830	9.5124293577829e-08	2.20748174780007e-05	2.21699417715786e-05	2.2084266467353e-05
P00854	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P00856	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P00890	3.00312271824497e-06	0	3.00312271824497e-06	2.98613871235953e-06
P00924	0.000259795747912355	0	0.000259795747912355	0
P00925	0.000259252495880002	0	0.000259252495880002	0
P00942	6.40409505584237e-05	4.62234541535445e-08	6.40871740125773e-05	4.68100298088218e-08
P00950	0.000434455911215362	1.41027322398368e-06	0.000435866184439346	1.41919599201494e-06
P04037	1.56957618935902e-06	7.28950449976173e-06	8.85908068912074e-06	8.83946058145354e-06
P04039	3.13915237871803e-06	1.45790089995235e-05	1.77181613782415e-05	1.76789211629071e-05
P04385	0	0	0	0
P04397	0.000153391719554026	0	0.000153391719554026	0
P04806	2.24201909652075e-06	0	2.24201909652075e-06	2.24201909652075e-06
P04807	4.84856537053421e-06	0	4.84856537053421e-06	0
P05626	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P06169	5.38548028591465e-07	0	5.38548028591465e-07	4.70900743280666e-07
P07143	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P07170	0.000495033446544118	0	0.000495033446544118	0
P07251	9.5124293577829e-08	2.20748174780007e-05	2.21699417715786e-05	2.2084266467353e-05
P07255	2.51984824043816e-08	8.83388220671636e-06	8.85908068912074e-06	8.83946058145354e-06
P07256	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P07257	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P08067	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P08417	0.000225668073240022	3.96595154938453e-07	0.000226064668394961	4.00095830296041e-07
P08431	0.000282987559122783	0	0.000282987559122783	0
P08525	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P09201	1.26864055365953e-07	0	1.26864055365953e-07	0
P09457	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P09624	2.98423932439801e-07	1.25227209213238e-05	1.28211448537636e-05	1.25991184280146e-05
P0CX10	0.000256987937481182	0	0.000256987937481182	0
P0CX11	0.000256987937481182	0	0.000256987937481182	0
P10174	1.56957618935902e-06	7.28950449976173e-06	8.85908068912074e-06	8.83946058145354e-06
P10963	1.42619752564594e-07	0	1.42619752564594e-07	0
P11154	1.94234946212681e-06	0	1.94234946212681e-06	1.8274488920532e-06
P11412	2.64426795758354e-08	2.36922781864198e-07	2.63365461440033e-07	2.40236729153444e-07
P12695	2.16537790662345e-08	9.08654443098308e-07	9.30308222164543e-07	9.14197881647517e-07
P12709	0.000195693213689001	5.15068330017958e-07	0.000196208282019019	5.36578830837059e-07
P14540	0.000302886946696817	1.23649508203785e-05	0.000315251897517196	1.25188814162744e-05
P15019	0.000323876836903914	1.39434408580211e-06	0.000325271180989716	1.41397953378557e-06
P16387	2.98423932439801e-07	1.25227209213238e-05	1.28211448537636e-05	1.25991184280146e-05
P16451	2.16537790662345e-08	9.08654443098308e-07	9.30308222164543e-07	9.14197881647517e-07
P16467	5.38548028591465e-07	0	5.38548028591465e-07	0
P16861	6.47075702503673e-07	0	6.47075702503673e-07	0
P16862	5.37698657602483e-07	6.25951560221653e-07	1.16365021782414e-06	1.13967552361911e-06
P17505	0.000336467615254776	2.15825703938887e-06	0.000338625872294165	2.17495455791392e-06
P17709	2.24201909652075e-06	0	2.24201909652075e-06	0
P19414	0.000140527901757433	2.91917795576621e-06	0.0001434470797132	2.94446196829311e-06
P19516	8.93768409991737e-05	0	8.93768409991737e-05	0
P20967	4.90914223083342e-07	1.44832291245071e-05	1.49741433475905e-05	1.48952165786329e-05
P21306	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P21801	2.74648382431208e-08	1.87175551920337e-06	1.89922035744649e-06	1.8882771744478e-06
P21826	4.08866794283872e-07	0	4.08866794283872e-07	0
P21954	4.87407692918464e-07	1.46598566200464e-05	1.51472643129648e-05	1.50689013066427e-05
P22289	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P23254	0.000163734270382434	0	0.000163734270382434	1.22008683921062e-06
P26263	5.38548028591465e-07	0	5.38548028591465e-07	0
P28240	5.94715337140129e-07	0	5.94715337140129e-07	9.2147503089646e-10
P30902	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P30952	4.08866794283873e-07	0	4.08866794283873e-07	6.33514083741317e-10
P32327	1.94234946212681e-06	0	1.94234946212681e-06	0
P32340	1.75145940229691e-06	3.57044499942318e-06	5.32190440172009e-06	5.30196754452522e-06
P32473	2.98423932439801e-07	1.25227209213238e-05	1.28211448537636e-05	1.25991184280146e-05
P32799	1.56957618935902e-06	7.28950449976173e-06	8.85908068912074e-06	8.83946058145354e-06
P33315	0.000161063800366107	0	0.000161063800366107	0
P33401	0.000190051239752618	0	0.000190051239752618	0
P33421	2.74648382431208e-08	1.87175551920337e-06	1.89922035744649e-06	1.8882771744478e-06
P37012	0.000190121732083297	0	0.000190121732083297	0
P37298	2.74648382431208e-08	1.87175551920337e-06	1.89922035744649e-06	1.8882771744478e-06
P37299	7.94324888519963e-08	2.78468059561718e-05	2.79262384450238e-05	2.78643905147183e-05
P38077	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P38113	0.000318595150744043	0	0.000318595150744043	0
P38720	4.50645226681743e-06	0	4.50645226681743e-06	4.10438455462361e-06
P38824	8.93768409991737e-05	0	8.93768409991737e-05	0
P38858	1.66657663999253e-05	0	1.66657663999253e-05	1.52021802208299e-05
P40047	6.31791803423334e-07	0	6.31791803423334e-07	0
P40106	8.66267926192542e-08	0	8.66267926192542e-08	0
P40215	1.75004496634275e-06	0	1.75004496634275e-06	0
P41277	8.66267926192542e-08	0	8.66267926192542e-08	0
P41911	8.55535403213493e-09	0	8.55535403213493e-09	0
P42222	0.000257068870523156	0	0.000257068870523156	3.55407367588023e-06
P43635	3.00312271824497e-06	0	3.00312271824497e-06	0
P46367	6.31791803423334e-07	0	6.31791803423334e-07	0
P46969	0.000461921242176735	7.29409233560441e-07	0.000462650651410296	7.41726800929805e-07
P47052	2.4939461781525e-06	0	2.4939461781525e-06	0
P47081	8.93768409991737e-05	0	8.93768409991737e-05	0
P47771	9.02838515709811e-07	0	9.02838515709811e-07	0
P52489	3.3026802861173e-06	0	3.3026802861173e-06	0
P52910	5.35095797638939e-07	0	5.35095797638939e-07	4.40625448717949e-07
P53239	8.93768409991737e-05	0	8.93768409991737e-05	0
P53312	6.78986211066209e-08	2.00318353081889e-06	2.07108215192551e-06	2.060165746312e-06
P53315	1.66657663999253e-05	0	1.66657663999253e-05	0
P53319	4.50645226681742e-06	0	4.50645226681742e-06	0
P53598	6.78986211066209e-08	2.00318353081889e-06	2.07108215192551e-06	2.060165746312e-06
P54115	1.51772626239408e-06	0	1.51772626239408e-06	1.32708391288188e-06
P61829	9.5124293577829e-08	2.20748174780007e-05	2.21699417715786e-05	2.2084266467353e-05
P81449	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P81450	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
P81451	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
Q00055	8.55535403213383e-09	0	8.55535403213383e-09	0
Q00711	1.89922035744649e-06	0	1.89922035744649e-06	1.8882771744478e-06
Q01519	1.56957618935902e-06	7.28950449976173e-06	8.85908068912074e-06	8.83946058145354e-06
Q01574	5.35095797638955e-07	0	5.35095797638955e-07	0
Q04458	1.45275023292059e-06	0	1.45275023292059e-06	0
Q04935	8.93768409991737e-05	0	8.93768409991737e-05	0
Q06204	9.86053827423612e-06	0	9.86053827423612e-06	0
Q06405	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
Q07500	1.75004496634274e-06	0	1.75004496634274e-06	0
Q12055	0.000528402546882174	0	0.000528402546882174	5.49904959204474e-07
Q12165	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
Q12189	0.000424534137524823	6.72026915984948e-06	0.000431254406684673	6.79308394612151e-06
Q12233	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
Q12349	9.51236847823477e-08	2.20746761991689e-05	2.21697998839512e-05	2.20841251280476e-05
Q3E731	8.93768409991737e-05	0	8.93768409991737e-05	0
