D_rate	nZeros	maxUsage	minUsage	meanUsage	medianUsage	stddev	fermentation	glyc_meanUsage	oxPhos_meanUsage	TCA_meanUsage	PPP_meanUsage	ana_meanUsage	glyc_burden	oxPhos_burden	TCA_burden	PPP_burden	ana_burden
0	61	0.084416	3.2e-05	0.0151515151515152	0.009854	0.0162157941518968	0	0.0059886	0.0174552051282051	0.0138574166666667	0.0138574166666667	0.0138574166666667	0.059886	0.680753	0.166289	0.166289	0.166289
0.005	47	0.076807	3.7e-05	0.01250005	0.0061	0.0150211226289996	0	0.0070945	0.0170687692307692	0.0119036923076923	0.00193771428571429	0.0006365	0.070945	0.665682	0.154748	0.013564	0.001273
0.01	47	0.072693	4e-05	0.0124999875	0.0062825	0.01464112761056	0	0.0076922	0.0168598205128205	0.0114236153846154	0.00298514285714286	0.0009805	0.076922	0.657533	0.148507	0.020896	0.001961
0.015	47	0.070135	4.2e-05	0.0124999875	0.0062385	0.0144225593819691	0	0.0080641	0.0167298461538462	0.0111250769230769	0.00363657142857143	0.001195	0.080641	0.652464	0.144626	0.025456	0.00239
0.02	47	0.068403	4.3e-05	0.0124999875	0.0062965	0.0142827150252854	0	0.0083155	0.0166419487179487	0.0109230769230769	0.00407771428571429	0.0013395	0.083155	0.649036	0.142	0.028544	0.002679
0.025	47	0.067164	4.4e-05	0.0124999875	0.006445	0.0141868387157491	0	0.0084958	0.016579	0.0107783846153846	0.004393	0.001443	0.084958	0.646581	0.140119	0.030751	0.002886
0.03	47	0.06624	4.5e-05	0.0125	0.0064645	0.0141176174936213	0	0.00863	0.0165320769230769	0.0106706153846154	0.00462842857142857	0.0015205	0.0863	0.644751	0.138718	0.032399	0.003041
0.035	47	0.065532	4.5e-05	0.0124999625	0.0064885	0.0140659498893503	0	0.0087328	0.0164961538461538	0.010588	0.00480871428571429	0.0015795	0.087328	0.64335	0.137644	0.033661	0.003159
0.04	47	0.064977	4.6e-05	0.012499975	0.0065495	0.0140261585337738	0	0.0088136	0.0164678974358974	0.0105233076923077	0.00495014285714286	0.001626	0.088136	0.642248	0.136803	0.034651	0.003252
0.045	47	0.064534	4.6e-05	0.01249995	0.006644	0.0139950628110801	0	0.008878	0.016445358974359	0.0104715384615385	0.00506314285714286	0.001663	0.08878	0.641369	0.13613	0.035442	0.003326
0.05	47	0.064176	4.6e-05	0.012499975	0.00672	0.0139702638105397	0	0.0089299	0.0164272307692308	0.0104297692307692	0.00515414285714286	0.001693	0.089299	0.640662	0.135587	0.036079	0.003386
0.055	47	0.063884	4.6e-05	0.012500025	0.006782	0.0139502343585187	0	0.0089723	0.0164125128205128	0.0103956923076923	0.00522842857142857	0.0017175	0.089723	0.640088	0.135144	0.036599	0.003435
0.06	47	0.063645	4.7e-05	0.0125000375	0.006833	0.0139339152652379	0	0.0090072	0.0164003076923077	0.0103678461538462	0.00528942857142857	0.001738	0.090072	0.639612	0.134782	0.037026	0.003476
0.065	47	0.063447	4.7e-05	0.0125	0.0068755	0.013920592306073	0	0.0090359	0.0163902051282051	0.0103448461538462	0.00533985714285714	0.001754	0.090359	0.639218	0.134483	0.037379	0.003508
0.07	47	0.063284	4.7e-05	0.012500075	0.00691	0.0139096959851525	0	0.0090597	0.0163819487179487	0.0103258461538462	0.00538142857142857	0.001768	0.090597	0.638896	0.134236	0.03767	0.003536
0.075	47	0.063148	4.7e-05	0.0125000125	0.006939	0.0139006454348771	0	0.0090794	0.0163750769230769	0.0103096923076923	0.005416	0.0017795	0.090794	0.638628	0.134026	0.037912	0.003559
0.08	47	0.063036	4.7e-05	0.01250005	0.006963	0.013893253886033	0	0.0090956	0.0163694358974359	0.0102967692307692	0.00544442857142857	0.0017885	0.090956	0.638408	0.133858	0.038111	0.003577
0.085	47	0.062944	4.7e-05	0.0124999625	0.0069825	0.0138870939569154	0	0.009109	0.0163645641025641	0.0102860769230769	0.00546785714285714	0.001796	0.09109	0.638218	0.133719	0.038275	0.003592
0.09	47	0.062868	4.7e-05	0.012500025	0.0069985	0.0138821429573382	0	0.00912	0.0163608461538462	0.0102772307692308	0.00548728571428571	0.0018025	0.0912	0.638073	0.133604	0.038411	0.003605
0.095	47	0.062807	4.7e-05	0.0125	0.007011	0.013878112528982	0	0.0091287	0.0163577179487179	0.0102703076923077	0.00550257142857143	0.001808	0.091287	0.637951	0.133514	0.038518	0.003616
0.1	47	0.062758	4.7e-05	0.0124999375	0.007022	0.0138749350171531	0	0.009136	0.0163551794871795	0.0102643076923077	0.00551514285714286	0.0018115	0.09136	0.637852	0.133436	0.038606	0.003623
0.105	47	0.06272	4.7e-05	0.012499975	0.00703	0.0138724492548533	0	0.0091414	0.0163532820512821	0.01026	0.00552485714285714	0.001815	0.091414	0.637778	0.13338	0.038674	0.00363
0.11	47	0.062691	4.7e-05	0.012500025	0.0070365	0.0138705742956269	0	0.0091458	0.0163518461538462	0.0102566153846154	0.00553228571428571	0.001817	0.091458	0.637722	0.133336	0.038726	0.003634
0.115	47	0.062671	4.7e-05	0.0125000125	0.0070405	0.0138692768089174	0	0.0091487	0.0163508205128205	0.0102541538461538	0.00553757142857143	0.001819	0.091487	0.637682	0.133304	0.038763	0.003638
0.12	47	0.062657	4.7e-05	0.0124999375	0.0070435	0.0138683554557373	0	0.0091507	0.0163500256410256	0.0102523846153846	0.00554085714285714	0.00182	0.091507	0.637651	0.133281	0.038786	0.00364
0.125	47	0.06265	4.7e-05	0.0125	0.0070445	0.0138678840491259	0	0.0091517	0.0163497435897436	0.0102517692307692	0.00554271428571429	0.0018205	0.091517	0.63764	0.133273	0.038799	0.003641
0.13	47	0.062648	4.7e-05	0.0125000125	0.007045	0.0138677715170082	0	0.009152	0.0163496666666667	0.0102515384615385	0.00554314285714286	0.001821	0.09152	0.637637	0.13327	0.038802	0.003642
0.135	47	0.062652	4.7e-05	0.012499975	0.0070445	0.0138680086894992	0	0.0091514	0.0163497692307692	0.0102519230769231	0.00554228571428571	0.0018205	0.091514	0.637641	0.133275	0.038796	0.003641
0.14	47	0.06266	4.7e-05	0.0124999875	0.0070425	0.0138685125561045	0	0.0091502	0.0163502051282051	0.010253	0.00554014285714286	0.00182	0.091502	0.637658	0.133289	0.038781	0.00364
0.145	47	0.062672	4.7e-05	0.012499975	0.00704	0.0138693389719321	0	0.0091486	0.0163508461538462	0.0102541538461538	0.00553714285714286	0.001819	0.091486	0.637683	0.133304	0.03876	0.003638
0.15	47	0.062687	4.7e-05	0.0125000375	0.007037	0.0138702599744226	0	0.0091464	0.0163516153846154	0.0102561538461538	0.00553328571428571	0.001818	0.091464	0.637713	0.13333	0.038733	0.003636
0.155	47	0.062706	4.7e-05	0.01250005	0.007033	0.0138714949071646	0	0.0091434	0.0163526923076923	0.0102583846153846	0.00552857142857143	0.0018165	0.091434	0.637755	0.133359	0.0387	0.003633
0.16	47	0.062727	4.7e-05	0.0124999125	0.007028	0.0138729224104886	0	0.0091404	0.0163535641025641	0.0102606923076923	0.00552285714285714	0.0018145	0.091404	0.637789	0.133389	0.03866	0.003629
0.165	47	0.062752	4.7e-05	0.0125000125	0.007023	0.0138744985827918	0	0.0091369	0.0163549230769231	0.0102636153846154	0.005517	0.0018125	0.091369	0.637842	0.133427	0.038619	0.003625
0.17	47	0.062778	4.7e-05	0.012499975	0.0070175	0.013876218382793	0	0.009133	0.0163562307692308	0.0102667692307692	0.00551	0.00181	0.09133	0.637893	0.133468	0.03857	0.00362
0.175	47	0.062807	4.7e-05	0.0125000125	0.0070115	0.0138780975226413	0	0.0091288	0.0163577179487179	0.0102702307692308	0.00550271428571429	0.001808	0.091288	0.637951	0.133513	0.038519	0.003616
0.18	47	0.062838	4.7e-05	0.01250005	0.007005	0.0138801874443805	0	0.0091245	0.0163593076923077	0.0102737692307692	0.005495	0.001805	0.091245	0.638013	0.133559	0.038465	0.00361
0.185	47	0.06287	4.7e-05	0.0124999875	0.006998	0.0138821991303988	0	0.0091197	0.0163608717948718	0.0102774615384615	0.00548685714285714	0.0018025	0.091197	0.638074	0.133607	0.038408	0.003605
0.19	47	0.062904	4.7e-05	0.0124999875	0.006991	0.0138845302628535	0	0.0091148	0.016362641025641	0.0102813846153846	0.00547785714285714	0.0017995	0.091148	0.638143	0.133658	0.038345	0.003599
0.195	47	0.062939	4.7e-05	0.012499975	0.0069835	0.0138868334945623	0	0.0091097	0.0163643846153846	0.0102855384615385	0.00546914285714286	0.001797	0.091097	0.638211	0.133712	0.038284	0.003594
0.2	47	0.062976	4.7e-05	0.0124999875	0.0069755	0.0138892570629006	0	0.0091043	0.016366358974359	0.0102896923076923	0.00545957142857143	0.0017935	0.091043	0.638288	0.133766	0.038217	0.003587
0.205	47	0.063014	4.7e-05	0.0124999875	0.006967	0.0138917621217736	0	0.0090987	0.0163682564102564	0.0102942307692308	0.00545	0.0017905	0.090987	0.638362	0.133825	0.03815	0.003581
0.21	47	0.063053	4.7e-05	0.0124999875	0.006959	0.0138943493245182	0	0.0090931	0.0163701794871795	0.0102988461538462	0.00544	0.001787	0.090931	0.638437	0.133885	0.03808	0.003574
0.215	47	0.063093	4.7e-05	0.012500025	0.0069505	0.0138970334617623	0	0.0090875	0.0163723076923077	0.0103033846153846	0.00542971428571429	0.0017835	0.090875	0.63852	0.133944	0.038008	0.003567
0.22	47	0.063134	4.7e-05	0.0125000125	0.006942	0.0138997676999929	0	0.0090814	0.0163743076923077	0.0103082307692308	0.00541957142857143	0.0017805	0.090814	0.638598	0.134007	0.037937	0.003561
0.225	47	0.063176	4.7e-05	0.012499975	0.0069325	0.0139024831467237	0	0.0090753	0.0163763846153846	0.0103130769230769	0.00540857142857143	0.001777	0.090753	0.638679	0.13407	0.03786	0.003554
0.23	47	0.063218	4.7e-05	0.0125	0.006924	0.0139053097526253	0	0.0090692	0.016378641025641	0.0103180769230769	0.00539785714285714	0.001773	0.090692	0.638767	0.134135	0.037785	0.003546
0.235	47	0.063261	4.7e-05	0.0124999875	0.0069145	0.0139082285602224	0	0.0090628	0.0163808205128205	0.0103231538461538	0.00538671428571429	0.0017695	0.090628	0.638852	0.134201	0.037707	0.003539
0.24	47	0.063305	4.7e-05	0.0125000125	0.0069055	0.0139111025502797	0	0.0090567	0.0163830256410256	0.0103282307692308	0.00537585714285714	0.001766	0.090567	0.638938	0.134267	0.037631	0.003532
0.245	47	0.06335	4.7e-05	0.0125000375	0.006896	0.0139141015615238	0	0.00905	0.0163853076923077	0.0103335384615385	0.00536442857142857	0.0017625	0.0905	0.639027	0.134336	0.037551	0.003525
0.25	47	0.063395	4.7e-05	0.01249995	0.006886	0.0139171213876645	0	0.0090435	0.0163875128205128	0.0103385384615385	0.005353	0.0017585	0.090435	0.639113	0.134401	0.037471	0.003517
0.255	47	0.06344	4.7e-05	0.012500025	0.0068765	0.0139201223323002	0	0.0090369	0.0163898974358974	0.010344	0.00534142857142857	0.001755	0.090369	0.639206	0.134472	0.03739	0.00351
0.26	47	0.063486	4.7e-05	0.012500025	0.006867	0.0139231498745703	0	0.0090302	0.0163922051282051	0.0103493076923077	0.00533	0.001751	0.090302	0.639296	0.134541	0.03731	0.003502
