prots_max_gRate	Usages_max_gRate
P00127	0.008706
P00128	0.007348
P00163	0.022024
P00330	0.004761
P00358	0
P00359	0.211088
P00360	0
P00401	0.00941
P00410	0.004572
P00420	0.004859
P00425	0.002752
P00427	0.002775
P00549	0.033411
P00560	0.012108
P00830	0.021997
P00854	0.011682
P00856	0.002337
P00890	0.001455
P00924	0
P00925	0
P00942	0.000225
P00950	0.006962
P04037	0.002743
P04039	0.002851
P04385	0
P04397	0
P04806	0.016297
P04807	0
P05626	0.010809
P06169	0.121124
P07143	0.01718
P07170	0
P07251	0.023528
P07255	0.001114
P07256	0.025339
P07257	0.020421
P08067	0.011787
P08417	0.000177
P08431	0
P08525	0.005536
P09201	0
P09457	0.009159
P09624	0.012014
P0CX10	0
P0CX11	0
P10174	0.001109
P10963	0
P11154	0.012518
P11412	0.000532
P12695	0.005763
P12709	0.006466
P14540	0.088858
P15019	0.002012
P16387	0.010309
P16451	0.005045
P16467	0
P16861	0
P16862	0.02136
P17505	0.000644
P17709	0
P19414	0.002295
P19516	0
P20967	0.014153
P21306	0.002707
P21801	0.000474
P21826	0
P21954	0.006629
P22289	0.003772
P23254	0.003209
P26263	0
P28240	1e-06
P30902	0.007953
P30952	1e-06
P32327	0
P32340	0.00596
P32473	0.00891
P32799	0.002404
P33315	0
P33401	0
P33421	0.000346
P37012	0
P37298	0.000318
P37299	0.004335
P38077	0.01379
P38113	0
P38720	0.008411
P38824	0
P38858	0.01627
P40047	0
P40106	0
P40215	0
P41277	0
P41911	0
P42222	0.02988
P43635	0
P46367	0
P46969	0.000686
P47052	0
P47081	0
P47771	0
P52489	0
P52910	0.001751
P53239	0
P53312	0.000802
P53315	0
P53319	0
P53598	0.000599
P54115	0.014428
P61829	0.003115
P81449	0.004366
P81450	0.002685
P81451	0.003024
Q00055	0
Q00711	0.001101
Q01519	0.001566
Q01574	0
Q04458	0
Q04935	0
Q06204	0
Q06405	0.004541
Q07500	0
Q12055	0.000658
Q12165	0.006833
Q12189	0.007999
Q12233	0.005187
Q12349	0.005672
Q3E731	0
