rxns	rxnNames	netFlux	ratio	futileFlux	netFlux_reg	ratio_reg	futileFlux_reg
ACO	Aconitate hydratase, mitochondrial	0.747106559002713	1.33849715003823e-15	9.99200722162641e-16	0.827773716931232	1.20805961767819e-15	9.99200722162641e-16
ACS	acetyl-CoA synthetase	0.049496	0	0	0.263401996757945	0	0
ADH1	alcohol dehydrogenase, (acetaldehyde to ethanol)	0	1	1e-15	0	1	50
ADK1_1	adenylate kinase	0.0494960000000002	2.02036528204294e-14	9.99200722162641e-16	0.263401996757949	3.79647843337702e-15	9.99200722162641e-16
ALD2	acetaldehyde dehydrogenase	1e-15	0	0	0.263408476046689	0	0
ALD6	aldehyde dehydrogenase (acetaldehyde, NADP)	0.0494999056073948	0	0	1e-15	0	0
ATP1	ATP synthase	4.70652406756613	0	0	5.21839945930523	0	0
ATPTransport	ADP,ATP carrier protein 1	5.42539582656884	1.84318348737409e-16	8.88178419700125e-16	6.01793837623646	1.66169863744166e-16	8.88178419700125e-16
ATPTransportRev	ADP,ATP carrier protein 1	1e-15	0	0	1e-15	0	0
ATPX	ATP hydrolysis	0.7	0	0	0.7	0	0
CAT2	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	0	1	1e-15	0.213905996757944	4.67495075012598e-15	9.99200722162641e-16
CAT2Rev	Acetyl coA transport (Carnitine O-acetyltransferase, mitochondrial)	1e-15	0	0	1e-15	0	0
CDC	Pyruvate kinase	1.34840777021011	0	0	1.54765264570077	0	0
CIT	citrate synthase	0.747106559002714	0	0	0.827773716931233	0	0
CO2TRANS	CO2 transport	2.39814287700814	4.16989333532777e-16	8.88178419700125e-16	2.42623835403575	4.12160659457313e-16	8.88178419700125e-16
COX1	ferrocytochrome-c:oxygen oxidoreductase	10.8797194200474	0	0	11.9302354211298	0	0
DAR	glycerol-3-phosphate dehydrogenase (NAD)	1e-15	0	0	0.00825	0	0
ENO	Enolase	1.45604777021011	6.86790653754237e-16	1.11022302462516e-15	1.53671750182	0.880437328758333	11.3161025787376
FBA	Fructose-bisphosphate aldolase	0.724412087239003	1.38042975485315e-15	9.99200722162641e-16	0.764746960909985	1.3076220647024e-15	9.99200722162641e-16
FBP	fructose-bisphosphatase	1e-15	0	0	0.118575143880798	0	0
FUM1	fumarase	0.732989159002713	1.36427665773471e-15	9.99200722162641e-16	0.813656316931301	0.9822403916471	45.0013358137046
GAL1	Galactokinase	1e-15	0	0	1e-15	0	0
GAL7b	Galactose-1-phosphate uridylyltransferase	0	1	1e-15	0	1	1.96951453365081
GAL10	UDPglucose 4-epimerase	0	1	1e-15	0	1	1.20990542787513
GLD	glyceraldehyde-3-phosphate dehydrogenase	1.47654047021011	6.77258781709994e-16	1.11022302462516e-15	1.55721020181997	0.618122435519727	2.52056326973576
GND	phosphogluconate dehydrogenase	0.270475107196303	0	0	0.29522506	0	0
GPM	Phosphoglycerate mutase	1.45604777021011	6.86790653754237e-16	1.11022302462516e-15	1.53671750181997	6.50737691745996e-16	1.11022302462516e-15
GPP	glycerol-3-phosphatase	1e-15	0	0	0.00825	0	0
GROWTH	Growth	0.1	0	0	0.1	0	0
H2OIN	Uptake of f H2O	0	1	1e-15	0	1	1e-15
H2O_Out	Production of H2O	6.62968563021184	0	0	6.88818963048245	0	0
H2Otransport	Transport of H2O, mitochondrial	8.65217065958437	1.15577932907768e-16	1.77635683940025e-15	9.52796973600764	1.04954153687207e-16	1.77635683940025e-15
HDECOUP	Hdecoupling	1e-15	0	0	1e-15	0	0
HXK	hexokinase (D-glucose:ATP)	1.0983683329711	0	0	1.14695319090999	0	0
ICL1	Isocitrate lyase	0.0141174000000001	0	0	0.0141173999999999	0	0
IDH	Isocitrate dehydrogenase (NAD+)	0.630311563802714	0	0	0.710978721731233	0	0
IDPH	isocitrate dehydrogenase (NADP)	0.1026775952	0	0	0.1026775952	0	0
KGD1	oxoglutarate dehydrogenase	0.718871759002714	0	0	0.799538916931233	0	0
LSC2	succinate-CoA ligase (ADP-forming)	0.718871759002714	0	0	0.799538916931233	0	0
MDH1	Malate dehydrogenase	0.747106559002713	1.33849715003823e-15	9.99200722162641e-16	0.827773716931199	0.93658489201259	12.2254835146979
MLS1	malate synthase	0.0141174000000001	0	0	0.0141173999999999	0	0
NCE	CO2 dissociation	0.183288715199999	5.45587325934838e-15	9.99200722162641e-16	0.301863859080797	3.3127516591257e-15	9.99200722162641e-16
NDE2	NADH dehydrogenase, cytosolic/mitochondrial	1e-15	0	0	0.157760880303344	0	0
NDI1	NADH:ubiquinone oxidoreductase	4.70687055102096	0	0	4.9937005133303	0	0
OAC1	Mitochondrial oxaloacetate transport protein	0	1	1e-15	0	1	1e-15
OAC1Rev	Mitochondrial oxaloacetate transport protein	1e-15	0	0	1e-15	0	0
PCK	Phosphoenolpyruvate carboxykinase	1e-15	0	0	0.118575143880798	0	0
PDC	Pyruvate decarboxylase	0.0494999056073948	0	0	0.263408476046692	0	0
PDH	pyruvate dehydrogenase	0.946281959002714	0	0	0.813043120173288	0	0
PFK	Phosphofructokinase	0.724412087239004	0	0	0.883322104790784	0	0
PGI	Glucose-6-phosphate isomerase	0.652632855774801	1.53225506676768e-15	9.99200722162641e-16	0.676467760909985	1.47826704801837e-15	9.99200722162641e-16
PGK	Phosphoglycerate kinase	1.45604777021011	6.86790653754237e-16	1.11022302462516e-15	1.53671750182	0.947590776510489	27.7847911850534
PGL	6-phosphogluconolactonase	0.275195547196303	0	0	0.2999455	0	0
PGM1_2	phosphoglucomutase	0	1	1e-15	0	1	7.90241017693638
PIIn	Uptake of Phosphate	0.0227013499999997	0	0	0.0227013500000018	0	0
PIOut	Production of Phosphate	0	1	1e-15	0	1	1e-15
PYC	pyruvate carboxylase	0.1832887152	0	0	0.301863859080798	0	0
PyrOut	Pyruvate production	1e-15	0	0	1e-15	0	0
PyrTrans	Transport of pyruvate, mitochondrial	1.11561914940271	8.96363244154951e-16	1.11022302462516e-15	0.982380310573287	1.01793571108569e-15	9.99200722162641e-16
PyrTransRev	Transport of pyruvate, mitochondrial	1e-15	0	0	1e-15	0	0
RIP1	ubiquinol:ferricytochrome c reductase	5.43985971002368	0	0	5.96511771056488	0	0
RPE	ribulose 5-phosphate 3-epimerase	0.152569231464201	6.5544015028655e-15	9.99200722162641e-16	0.169069199999999	5.91473787064705e-15	9.99200722162641e-16
RPI	ribose-5-phosphate isomerase	0.1179058757321	8.48134152594857e-15	9.99200722162641e-16	0.126155859999999	7.92670273105031e-15	9.99200722162641e-16
SDH	Succinate dehydrogenase	0.732989159002714	0	0	0.813656316931233	0	0
ShuttleX	NAD(H) shuttle	1.51691471021011	6.5923284497748e-16	1.11022302462516e-15	1.69498203756332	5.89976753640165e-16	1.11022302462516e-15
ShuttleXRev	NAD(H) shuttle	1e-15	0	0	1e-15	0	0
TAL1	Transaldolase	0.0911265157320998	1.09737543673881e-14	9.99200722162641e-16	0.0993764999999985	1.0062741191328e-14	9.99200722162641e-16
TKLa	transketolase 1	0.0911265157320998	1.09737543673881e-14	9.99200722162641e-16	0.0993765	0.953736778974477	2.04869053461429
TKLb	transketolase 2	0.0614427157320998	1.6275322275144e-14	9.99200722162641e-16	0.0696926999999986	1.43487051011082e-14	9.99200722162641e-16
TPI	triose-phosphate isomerase	0.721942667239003	1.38515154371523e-15	9.99200722162641e-16	0.754027540909985	1.32621150520996e-15	9.99200722162641e-16
VGro_DNA	DNA synthesis for growth	0.0012	0	0	0.0012	0	0
VGro_GLUCAN	Glucan synthesis for growth	0.11348	0	0	0.11348	0	0
VGro_GLYCOGEN	Glycogen synthesis for growth	0.05185	0	0	0.05185	0	0
VGro_LIPID	Lipid synthesis for growth	0.00269	0	0	0.00269	0	0
VGro_MAINTAIN	GAM	2.22105263157895	0	0	2.22105263157895	0	0
VGro_MANNAN	Mannan synthesis for growth	0.08079	0	0	0.08079	0	0
VGro_PROT	Protein synthesis for growth	0.414	0	0	0.414	0	0
VGro_RNA	RNA synthesis for growth	0.01966	0	0	0.01966	0	0
VGro_TREHALOSE	Trehalose synthesis for growth	0.00234	0	0	0.00234	0	0
ZWF	glucose 6-phosphate dehydrogenase	0.275195547196303	0	0	0.2999455	0	0
acIN	Uptake of acetate	0	1	1e-15	0	1	1e-15
acOUT	Production of acetate	3.90560739480655e-06	0	0	6.47928874453196e-06	0	0
biomassOUT	Production of biomass	0.099999999999999	1e-14	9.99200722162641e-16	0.099999999999999	1e-14	9.99200722162641e-16
co2OUT	Production of CO2	2.80065717461184	3.57059053519678e-16	8.88178419700125e-16	3.06741117488245	3.26007810165301e-16	8.88178419700125e-16
ethIN	Uptake of ethanol	0	1	1e-15	0	1	1e-15
ethOUT	Production of ethanol	1e-15	0	0	1e-15	0	0
galIN	Uptake of galactose	0	1	1e-15	0	1	1e-15
glcIN	Uptake of glucose	1.09836833297106	9.10441397463658e-16	1.11022302462516e-15	1.14695319090999	8.71875162757603e-16	1.11022302462516e-15
gluActiveIn	Active uptake of glucose	1e-15	0	0	1e-15	0	0
glyOUT	Production of glycerol	0	1	1e-15	0.008249999999999	1.21212121212121e-13	9.99200722162641e-16
o2IN	Uptake of O2	2.73904549501184	3.65090686453048e-16	8.88178419700125e-16	3.00167449528244	3.33147382093442e-16	8.88178419700125e-16
