uniprot	rxnName	Kcat	ECC	rxnID	delta_V	delta_Ea	option
prot_P00549	Pyruvate kinase (No1)	232	0.619099218365719	CDCNo1	6.19098599176157e-07	9.99998999854072e-07	1
prot_P16862	Phosphofructokinase (No1)	356.999547324574	0.48826167446029	PFKNo1	4.88261186080325e-07	9.99998999757731e-07	1
prot_P16862	Phosphofructokinase (No2)	642	0.488261674426416	PFKNo2	4.88261186080325e-07	9.99998999827107e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (No1)	24.7	0.257900748357692	GLDNo1	2.57900490426339e-07	9.9999899988133e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (reversible) (No1)	24.7	0.257900748357692	GLD_REVNo1	2.57900490426339e-07	9.9999899988133e-07	1
prot_P21954	Isocitrate dehydrogenase (NAD+) (No1)	28	0.178217222397603	IDHNo1	1.78217044140845e-07	9.99998999778159e-07	1
prot_P21954	isocitrate dehydrogenase (NADP) (No1)	28	0.178217222397603	IDPHNo1	1.78217044140845e-07	9.99998999778159e-07	1
prot_P00890	citrate synthase (No1)	141.3	0.165287331650613	CITNo1	1.65287166322533e-07	9.99998999753474e-07	1
prot_P20967	oxoglutarate dehydrogenase (No1)	27.8	0.155627626585316	KGD1No1	1.55627470940012e-07	9.99998999886413e-07	1
prot_P53598	succinate-CoA ligase (ADP-forming) (No1)	200.996944846438	0.155627626582508	LSC2No1	1.55627470940012e-07	9.99998999904456e-07	1
prot_Q00711	Succinate dehydrogenase (No2)	219.3	0.143888340320551	SDHNo2	1.43888196436862e-07	9.99999000032324e-07	1
prot_P14540	Fructose-bisphosphate aldolase (No1)	32.5	0.141519339645772	FBANo1	1.41519198107017e-07	9.99998999862807e-07	1
prot_P14540	Fructose-bisphosphate aldolase (reversible) (No1)	32.5	0.141519339645772	FBA_REVNo1	1.41519198107017e-07	9.99998999862807e-07	1
prot_P11154	pyruvate carboxylase (No2)	60	0.119751948624938	PYCNo2	1.19751828859127e-07	9.99998999884244e-07	1
prot_P11412	glucose 6-phosphate dehydrogenase (No1)	632.8	0.0367988686252401	ZWFNo1	3.67988318201296e-08	9.9999899983038e-07	1
prot_P38858	6-phosphogluconolactonase (No2)	10	0.0367988675329779	PGLNo2	3.67988307250885e-08	9.99998999754834e-07	1
prot_P38720	phosphogluconate dehydrogenase (No2)	36.4	0.0334525931316373	GNDNo2	3.34525596705655e-08	9.99998999746547e-07	1
prot_P00560	Phosphoglycerate kinase (No1)	536.7	0.0256923872480821	PGKNo1	2.56923615514453e-08	9.99998999834596e-07	1
prot_P00560	Phosphoglycerate kinase (reversible) (No1)	536.7	0.0256923872480821	PGK_REVNo1	2.56923615514453e-08	9.99998999834596e-07	1
prot_P52910	acetyl-CoA synthetase (No2)	62.4	0.0241757722540477	ACSNo2	2.41757480719081e-08	9.99998999736623e-07	1
prot_Q12189	ribose-5-phosphate isomerase (No1)	9.6	0.016005250300761	RPINo1	1.60052342940514e-08	9.99998999908825e-07	1
prot_Q12189	ribose-5-phosphate isomerase (reversible) (No1)	9.6	0.016005250300761	RPI_REVNo1	1.60052342940514e-08	9.99998999908825e-07	1
prot_P00950	Phosphoglycerate mutase (No1)	576	0.0130360419496636	GPMNo1	1.30360289135345e-08	9.99998999993312e-07	1
prot_P00950	Phosphoglycerate mutase (reversible) (No1)	576	0.0130360419496636	GPM_REVNo1	1.30360289135345e-08	9.99998999993312e-07	1
prot_P12709	Glucose-6-phosphate isomerase (No1)	685	0.0120652973615948	PGINo1	1.20652852932637e-08	9.99998999748554e-07	1
prot_P12709	Glucose-6-phosphate isomerase (reversible) (No1)	685	0.0120652973615948	PGI_REVNo1	1.20652852932637e-08	9.99998999748554e-07	1
prot_P00330	alcohol dehydrogenase, (acetaldehyde to ethanol) (No2)	900	0.00887744975548398	ADH1No2	8.87744087582595e-09	9.99998999751249e-07	1
prot_P00330	alcohol dehydrogenase, (acetaldehyde to ethanol) (reversible) (No2)	900	0.00887744975548398	ADH1_REVNo2	8.87744087582595e-09	9.99998999751249e-07	1
prot_P09201	fructose-bisphosphatase (No1)	69.7	0.00616501566133808	FBPNo1	6.16500949535644e-09	9.99998999843314e-07	1
prot_P10963	Phosphoenolpyruvate carboxykinase (No1)	62	0.00558030739446185	PCKNo1	5.58030181300452e-09	9.9999899979393e-07	1
prot_P17505	Malate dehydrogenase (No1)	190.4	0.00485555558761492	MDH1No1	4.85555073087066e-09	9.99998999755194e-07	1
prot_P17505	Malate dehydrogenase (reversible) (No1)	190.4	0.00485555558761492	MDH1_REVNo1	4.85555073087066e-09	9.99998999755194e-07	1
prot_P08417	fumarase (No1)	1035	0.00418505248386349	FUM1No1	4.18504829824701e-09	9.99998999865236e-07	1
prot_P08417	fumarase (reversible) (No1)	1035	0.00418505248386349	FUM1_REVNo1	4.18504829824701e-09	9.99998999865236e-07	1
prot_P15019	Transaldolase (No1)	35.6	0.00410446441745178	TAL1No1	4.10446031202387e-09	9.99998999765257e-07	1
prot_P15019	Transaldolase (reversible) (No1)	35.6	0.00410446441745178	TAL1_REVNo1	4.10446031202387e-09	9.99998999765257e-07	1
prot_P38824	ferrocytochrome-c:oxygen oxidoreductase (No5)	12.0000768004915	0.00393164923669084	COX1No5	3.9316453040427e-09	9.99998999745933e-07	1
prot_P08431	Galactose-1-phosphate uridylyltransferase (No1)	36	0.00393164767167771	GAL7bNo1	3.93164373969826e-09	9.99998999915614e-07	1
prot_P08431	Galactose-1-phosphate uridylyltransferase (reversible) (No1)	36	0.00393164767167771	GAL7b_REVNo1	3.93164373969826e-09	9.99998999915614e-07	1
prot_P37012	phosphoglucomutase (No1)	215	0.00393164751578173	PGM1_2No1	3.93164358326381e-09	9.99998999778618e-07	1
prot_P37012	phosphoglucomutase (reversible) (No1)	215	0.00393164751578173	PGM1_2_REVNo1	3.93164358326381e-09	9.99998999778618e-07	1
prot_P04397	UDPglucose 4-epimerase (No1)	40.8	0.00393164751500719	GAL10No1	3.93164358326381e-09	9.99998999975618e-07	1
prot_P04397	UDPglucose 4-epimerase (reversible) (No1)	40.8	0.00393164751500719	GAL10_REVNo1	3.93164358326381e-09	9.99998999975618e-07	1
prot_P00924	Enolase (No2)	71	0.00393164751479405	ENONo2	3.93164358326381e-09	9.9999900002983e-07	1
prot_P00924	Enolase (reversible) (No2)	71	0.00393164751479405	ENO_REVNo2	3.93164358326381e-09	9.9999900002983e-07	1
prot_P00925	Enolase (No3)	71	0.00393164720245134	ENONo3	3.93164327039493e-09	9.99998999895918e-07	1
prot_P00925	Enolase (reversible) (No3)	71	0.00393164720245134	ENO_REVNo3	3.93164327039493e-09	9.99998999895918e-07	1
prot_Q04458	acetaldehyde dehydrogenase (No1)	19.7005516154452	0.00193902846627927	ALD2No1	1.93902652673067e-09	9.99998999731756e-07	1
prot_Q00055	glycerol-3-phosphate dehydrogenase (NAD) (No1)	113	0.00170582014346702	DARNo1	1.70581843713075e-09	9.99998999697432e-07	1
prot_P40106	glycerol-3-phosphatase (No1)	11.16	0.00170581795340255	GPPNo1	1.70581624704853e-09	9.99998999685744e-07	1
prot_P46969	ribulose 5-phosphate 3-epimerase (No1)	113.5	0.00142685516887348	RPENo1	1.4268537418368e-09	9.9999899987279e-07	1
prot_P46969	ribulose 5-phosphate 3-epimerase (reversible) (No1)	113.5	0.00142685516887348	RPE_REVNo1	1.4268537418368e-09	9.9999899987279e-07	1
prot_P47771	acetaldehyde dehydrogenase (No2)	31.7	0.00138252629581603	ALD2No2	1.38252491331713e-09	9.99999000019817e-07	1
prot_Q12055	adenylate kinase (reversible) (No1)	391.50098345047	0.00125334072532974	ADK1_1_REVNo1	1.25333947188901e-09	9.99998999920209e-07	1
prot_Q12055	adenylate kinase (No1)	49.9996000032	0.00125334072532617	ADK1_1No1	1.25333947188901e-09	9.99998999923056e-07	1
prot_P46367	acetaldehyde dehydrogenase (No4)	45.2997028339494	0.00111386300968084	ALD2No4	1.11386189549259e-09	9.99998999708001e-07	1
prot_P40047	acetaldehyde dehydrogenase (No3)	45.2997028339494	0.00111346644770908	ALD2No3	1.11346533417594e-09	9.99998999940109e-07	1
prot_P00942	triose-phosphate isomerase (No1)	8662.5	0.000427331773550797	TPINo1	4.27331346126527e-10	9.99998999783548e-07	1
prot_P00942	triose-phosphate isomerase (reversible) (No1)	8662.5	0.000427331773550797	TPI_REVNo1	4.27331346126527e-10	9.99998999783548e-07	1
