uniprot	rxnName	Kcat	ECC	rxnID	delta_V	delta_Ea	option
prot_P00549	Pyruvate kinase (No1)	232	0.652042095119588	CDCNo1	6.52041442981744e-07	9.99998999853157e-07	1
prot_P16862	Phosphofructokinase (No1)	356.999547324574	0.481672478939363	PFKNo1	4.81671997182009e-07	9.9999899982379e-07	1
prot_P16862	Phosphofructokinase (No2)	642	0.481672478872564	PFKNo2	4.81671997182009e-07	9.99998999962472e-07	1
prot_P06169	Pyruvate decarboxylase (No2)	62	0.246257195306292	PDCNo2	2.46256948961359e-07	9.99998999643718e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (No1)	24.7	0.238344147236782	GLDNo1	2.38343908877708e-07	9.99998999937371e-07	1
prot_P00359	glyceraldehyde-3-phosphate dehydrogenase (reversible) (No1)	24.7	0.238344147236782	GLD_REVNo1	2.38343908877708e-07	9.99998999937371e-07	1
prot_P00890	citrate synthase (No1)	141.3	0.151548776743489	CITNo1	1.51548625182974e-07	9.99998999922541e-07	1
prot_P21954	Isocitrate dehydrogenase (NAD+) (No1)	28	0.151548776119237	IDHNo1	1.51548624551925e-07	9.99998999877688e-07	1
prot_P21954	isocitrate dehydrogenase (NADP) (No1)	28	0.151548776119237	IDPHNo1	1.51548624551925e-07	9.99998999877688e-07	1
prot_P14540	Fructose-bisphosphate aldolase (No1)	32.5	0.140228627755673	FBANo1	1.40228487497687e-07	9.99998999790635e-07	1
prot_P14540	Fructose-bisphosphate aldolase (reversible) (No1)	32.5	0.140228627755673	FBA_REVNo1	1.40228487497687e-07	9.99998999790635e-07	1
prot_P53312	succinate-CoA ligase (ADP-forming) (No1)	200.996944846438	0.133597817473556	LSC2No1	1.33597683844661e-07	9.99998999767379e-07	1
prot_P20967	oxoglutarate dehydrogenase (No1)	27.8	0.133597817463619	KGD1No1	1.33597683844661e-07	9.99998999841762e-07	1
prot_Q00711	Succinate dehydrogenase (No2)	219.3	0.133597816043912	SDHNo2	1.335976824248e-07	9.99998999840602e-07	1
prot_P11154	pyruvate carboxylase (No2)	60	0.113599691141509	PYCNo2	1.1359957752245e-07	9.99998999829508e-07	1
prot_P42222	Enolase (No4)	230.005612136936	0.0429197789697873	ENONo4	4.29197360458132e-08	9.99998999902257e-07	1
prot_P42222	Enolase (reversible) (No4)	34.0702036989339	0.04291977896847	ENO_REVNo4	4.29197360458132e-08	9.99998999932947e-07	1
prot_P11412	glucose 6-phosphate dehydrogenase (No1)	632.8	0.0328496601606907	ZWFNo1	3.28496273063323e-08	9.9999899985698e-07	1
prot_P52910	acetyl-CoA synthetase (No2)	62.4	0.0325155453501776	ACSNo2	3.25155128298024e-08	9.9999899985146e-07	1
prot_P38858	6-phosphogluconolactonase (No2)	10	0.0304065199853303	PGLNo2	3.04064895717616e-08	9.99998999768186e-07	1
prot_P38720	phosphogluconate dehydrogenase (No2)	36.4	0.0296759819286389	GNDNo2	2.96759522487768e-08	9.9999899986925e-07	1
prot_P00560	Phosphoglycerate kinase (No1)	536.7	0.0256139763876808	PGKNo1	2.56139507694677e-08	9.99998999834596e-07	1
prot_P00560	Phosphoglycerate kinase (reversible) (No1)	536.7	0.0256139763876808	PGK_REVNo1	2.56139507694677e-08	9.99998999834596e-07	1
prot_P00950	Phosphoglycerate mutase (No1)	576	0.0163940402957105	GPMNo1	1.63940238990686e-08	9.99998999841308e-07	1
prot_P00950	Phosphoglycerate mutase (reversible) (No1)	576	0.0163940402957105	GPM_REVNo1	1.63940238990686e-08	9.99998999841308e-07	1
prot_Q12189	ribose-5-phosphate isomerase (No1)	9.6	0.0152701531570248	RPINo1	1.5270137885401e-08	9.99998999903696e-07	1
prot_Q12189	ribose-5-phosphate isomerase (reversible) (No1)	9.6	0.0152701531570248	RPI_REVNo1	1.5270137885401e-08	9.99998999903696e-07	1
prot_P12709	Glucose-6-phosphate isomerase (No1)	685	0.0152592833250215	PGINo1	1.52592680643655e-08	9.99998999910041e-07	1
prot_P12709	Glucose-6-phosphate isomerase (reversible) (No1)	685	0.0152592833250215	PGI_REVNo1	1.52592680643655e-08	9.99998999910041e-07	1
prot_P00330	alcohol dehydrogenase, (acetaldehyde to ethanol) (No2)	900	0.00873825787148068	ADH1No2	8.73824913051238e-09	9.9999899968982e-07	1
prot_P00330	alcohol dehydrogenase, (acetaldehyde to ethanol) (reversible) (No2)	900	0.00873825787148068	ADH1_REVNo2	8.73824913051238e-09	9.9999899968982e-07	1
prot_P19414	Aconitate hydratase, mitochondrial (No1)	143.3	0.0073174406863037	ACONo1	7.31743336728019e-09	9.99998999783691e-07	1
prot_P19414	Aconitate hydratase, mitochondrial (reversible) (No1)	143.3	0.0073174406863037	ACO_REVNo1	7.31743336728019e-09	9.99998999783691e-07	1
prot_P23254	transketolase 1 (No2)	69	0.0061519127846491	TKLaNo2	6.15190663107183e-09	9.99998999729436e-07	1
prot_P23254	transketolase 2 (No2)	69	0.0061519127846491	TKLbNo2	6.15190663107183e-09	9.99998999729436e-07	1
prot_P23254	transketolase 1 (reversible) (No2)	69	0.0061519127846491	TKLa_REVNo2	6.15190663107183e-09	9.99998999729436e-07	1
prot_P23254	transketolase 2 (reversible) (No2)	69	0.0061519127846491	TKLb_REVNo2	6.15190663107183e-09	9.99998999729436e-07	1
