prots_	simulated	simulatedR	indexResp	proteomics	enzNames
P00128	1.3737019e-05	1.5063429e-05	668	4.2258760263003e-06	QCR7
P00358	0	0	2	1.43871834124968e-06	TDH2
P00359	1.6605268e-05	3.7104371e-05	1	2.85569916023004e-05	TDH3
P00360	0	3.7100946e-05	3	1.06130705919007e-05	TDH1
P00427	4.357814e-06	4.612489e-06	728	2.3519885287853e-06	COX6
P00549	1.614473e-06	1.61061e-06	27	2.94878150223295e-05	CDC19
P00560	7.53601e-07	2.955629e-05	10	6.71891090172681e-05	PGK1
P00830	1.0894732e-05	1.2079628e-05	24	2.74956829856958e-05	ATP2
P00890	1.468716e-06	1.512611e-06	127	1.05951291056788e-05	CIT1
P00924	0	2.7631569e-05	36	4.74510206102473e-05	ENO1
P00942	2.315e-08	2.4179e-08	77	3.56853887515023e-05	TPI1
P00950	7.02184e-07	7.41087e-07	279	6.1000314414773e-06	GPM1
P04037	4.357814e-06	4.612489e-06	632	2.70854575153452e-06	COX4
P04039	8.715629e-06	9.224979e-06	1493	7.02132483920972e-06	COX8
P04806	1.113512e-06	1.09874e-06	13	1.40683103914224e-05	HXK1
P04807	0	0	14	3.59547385615156e-06	HXK2
P05626	1.0894662e-05	1.2079551e-05	677	4.41608187010756e-06	ATP4
P06169	2.21774e-07	5.45983e-07	19	3.18240196076861e-05	PDC1
P07143	1.3737019e-05	1.5063429e-05	478	5.2800535123042e-06	CYT1
P07170	0	0	481	8.3488959610201e-06	ADK1
P07251	1.0894732e-05	1.2079628e-05	51	3.09031872668033e-05	ATP1
P07255	4.357814e-06	4.778593e-06	1069	5.80611825087334e-06	COX9
P07256	1.3737019e-05	1.5063429e-05	130	1.14666713333236e-05	COR1
P07257	1.3737019e-05	1.5063429e-05	138	7.60176640450208e-06	QCR2
P08067	1.3737019e-05	1.5063429e-05	620	3.32108059200201e-06	RIP1
P08417	1.96723e-07	2.4373679e-05	202	6.96787710625176e-06	FUM1
P09201	0	4.72562e-07	1111	6.02429707095687e-07	FBP1
P09457	1.0894662e-05	1.2079551e-05	565	5.48949505055397e-06	ATP5
P09624	6.311071e-06	5.422456e-06	107	9.98680159634012e-06	LPD1
P10963	0	5.31251e-07	558	8.14431675352438e-07	PCK1
P11154	8.48559e-07	1.397518e-06	57	6.21872602930806e-06	PYC1
P11412	1.20802e-07	1.31666e-07	250	4.18254676235825e-06	ZWF1
P12695	4.57934e-07	3.93456e-07	390	3.71373757393124e-06	LAT1
P12709	2.64652e-07	2.74318e-07	122	1.09631220325729e-05	PGI1
P14540	6.191556e-06	6.536299e-06	38	4.62811807807131e-05	FBA1
P15019	7.11037e-07	7.7541e-07	85	1.28066917756917e-05	TAL1
P16387	6.311071e-06	5.422456e-06	320	5.13597747479068e-06	PDA1
P16861	0	0	25	4.14086883858679e-06	PFK1
P16862	5.63658e-07	6.87304e-07	26	4.34087106905179e-06	PFK2
P17505	1.089966e-06	3.6879582e-05	146	8.69268965000197e-06	MDH1
P17709	0	6.4027e-08	59	7.04640526360725e-06	GLK1
P19414	1.448218e-06	1.604586e-06	32	9.92109704954587e-06	ACO1
P20967	7.182971e-06	7.988998e-06	70	5.29840541009024e-06	KGD1
P21801	9.28446e-07	1.030623e-06	303	4.88562350368594e-06	SDH2
P21954	7.271718e-06	8.071987e-06	88	3.45129990087792e-06	IDP1
P23254	6.14208e-07	0	66	8.00852579507632e-06	TKL1
P26263	0	3.17081e-07	20	9.37094841386836e-07	PDC6
P28240	2.97083e-07	2.97083e-07	319	3.85433979557773e-06	ICL1
P30952	2.04245e-07	2.04245e-07	458	3.78996438214399e-06	MLS1
P32340	2.614928e-06	2.774278e-06	191	3.71261320715537e-06	NDI1
P32473	6.311071e-06	5.422456e-06	324	1.32133760999819e-05	PDB1
P32799	4.357814e-06	4.612489e-06	1305	2.47369629897408e-07	COX13
P33315	0	1.7175726e-05	67	3.97223071465206e-06	TKL2
P33401	0	0	197	2.89470300177885e-07	PGM1
P33421	9.28446e-07	1.030623e-06	934	2.06720275809147e-06	SDH3
P37012	0	2.0419665e-05	196	3.32599225164377e-06	PGM2
P37298	9.28446e-07	1.030623e-06	979	1.2472e-06	SDH4
P37299	1.3737019e-05	1.5063429e-05	1225	1.51336271740973e-06	QCR10
P38077	1.0894662e-05	1.2079551e-05	346	3.48547385615156e-06	ATP3
P38113	0	0	323	2.96437318107665e-05	ADH5
P38720	2.064065e-06	2.140292e-06	55	1.47922214559385e-05	GND1
P38858	7.644321e-06	8.331819e-06	820	2.64299762711183e-06	SOL3
P40047	0	4.03805e-07	5	3.09915294863039e-06	ALD5
P40106	0	2.05346e-07	490	5.43985876090513e-06	GPP2
P40215	0	0	405	2.35981929383166e-06	NDE1
P41277	0	0	489	1.06797188428245e-06	GPP1
P41911	0	0	84	9.72315003787323e-07	GPD2
P43635	0	1.14687e-07	129	1.09991365971392e-06	CIT3
P46367	0	4.03805e-07	4	9.62310274303012e-05	ALD4
P46969	3.73395e-07	4.13777e-07	888	4.43762209248311e-06	RPE1
P47052	0	9.5861e-08	133	2.37801512595838e-07	YJL045W
P52910	2.20335e-07	8.57503e-07	23	4.1130376129152e-06	ACS2
P53312	9.93481e-07	1.104963e-06	223	4.44820709597183e-06	LSC2
P53315	0	0	946	3.15140011082378e-06	SOL4
P53319	0	1.12647e-07	56	5.06200641499728e-06	GND2
P53598	9.93481e-07	1.104963e-06	243	1.10575057843465e-05	LSC1
P54115	6.24999e-07	0	34	2.48254579026615e-05	ALD6
P81449	1.0894662e-05	1.2079551e-05	909	1.91305658183934e-06	TIM11
Q00055	0	2.028e-08	83	6.2887106905179e-06	GPD1
Q00711	9.28446e-07	9.57622e-07	132	5.67136802827074e-06	SDH1
Q01574	0	3.15049e-07	22	1.8488e-05	ACS1
Q04458	0	9.28515e-07	476	4.43655874124154e-06	HFD1
Q04935	0	9.59935e-06	875	2.16976648888082e-06	COX20
Q06405	1.0894662e-05	1.2079551e-05	940	3.88827297363848e-06	ATP17
Q12165	1.0894662e-05	1.2079551e-05	821	2.56629644403855e-06	ATP16
Q12189	3.411628e-06	3.650343e-06	597	3.64944138156437e-06	RKI1
Q12233	1.0894662e-05	1.2079551e-05	922	5.76177512064256e-06	ATP20
