uniprot	rxnName	Kcat	ECC	rxnID	delta_V	delta_Ea	option
prot_Q06204	hexokinase (D-glucose:ATP) (No1)	62.300172197676	1.00000000010002	HXKNo1	9.9999899982383e-07	9.99998999723807e-07	1
prot_P09624	pyruvate dehydrogenase (No1)	41.65	0.430768047112895	PDHNo1	4.30767616290542e-07	9.99998999873934e-07	1
prot_P00401	ferrocytochrome-c:oxygen oxidoreductase (No1)	693.5	0.412723387977952	COX1No1	4.12722975145601e-07	9.9999899973599e-07	1
prot_P00401	ferrocytochrome-c:oxygen oxidoreductase (No5)	693.5	0.412723387977952	COX1No5	4.12722975145601e-07	9.9999899973599e-07	1
prot_P00127	ubiquinol:ferricytochrome c reductase (No1)	110	0.412723387658515	RIP1No1	4.12722974943442e-07	9.99999000020145e-07	1
prot_P00830	ATP synthase (No1)	120	0.282057679314331	ATP1No1	2.82057397187865e-07	9.99998999756126e-07	1
prot_P32340	NADH:ubiquinone oxidoreductase (No1)	500	0.218684188184383	NDI1No1	2.18683969430399e-07	9.99998999680836e-07	1
prot_P00890	citrate synthase (No1)	141.3	0.188978991723722	CITNo1	1.88978802690856e-07	9.99998999714918e-07	1
prot_P21801	Succinate dehydrogenase (No1)	219.3	0.185408030779748	SDHNo1	1.85407845343277e-07	9.99998999846605e-07	1
prot_P21801	Succinate dehydrogenase (No2)	219.3	0.185408030779748	SDHNo2	1.85407845343277e-07	9.99998999846605e-07	1
prot_P00549	Pyruvate kinase (No1)	232	0.0748837927310336	CDCNo1	7.48837178249876e-08	9.9999899970283e-07	1
prot_P16862	Phosphofructokinase (No1)	356.999547324574	0.0428435639490065	PFKNo1	4.28435210925369e-08	9.99998999698773e-07	1
prot_P16862	Phosphofructokinase (No2)	642	0.0428435639407606	PFKNo2	4.28435210925369e-08	9.99998999891237e-07	1
prot_P21954	Isocitrate dehydrogenase (NAD+) (No1)	28	0.0112015795091921	IDHNo1	1.12015683061535e-08	9.99998999869742e-07	1
prot_P21954	isocitrate dehydrogenase (NADP) (No1)	28	0.0112015795091921	IDPHNo1	1.12015683061535e-08	9.99998999869742e-07	1
prot_P20967	oxoglutarate dehydrogenase (No1)	27.8	0.0109858370379454	KGD1No1	1.09858260493256e-08	9.99998999746697e-07	1
prot_P53312	succinate-CoA ligase (ADP-forming) (No1)	200.996944846438	0.0109858370376584	LSC2No1	1.09858260493256e-08	9.99998999772828e-07	1
prot_P11412	glucose 6-phosphate dehydrogenase (No1)	632.8	0.00870332966198417	ZWFNo1	8.70332095650074e-09	9.99998999752535e-07	1
prot_P53315	6-phosphogluconolactonase (No1)	10	0.00870332945939885	PGLNo1	8.70332075434193e-09	9.99998999801518e-07	1
prot_P53319	phosphogluconate dehydrogenase (No1)	36.4	0.00855404170495217	GNDNo1	8.55403314988757e-09	9.99998999880419e-07	1
prot_P52910	acetyl-CoA synthetase (No2)	62.4	0.00469604592970555	ACSNo2	4.69604123296207e-09	9.9999899985146e-07	1
prot_P54115	aldehyde dehydrogenase (acetaldehyde, NADP) (No1)	22	0.0046960457277665	ALD6No1	4.69604103080327e-09	9.99998999804622e-07	1
prot_P06169	Pyruvate decarboxylase (No2)	62	0.0046960457275887	PDCNo2	4.69604103080327e-09	9.99998999842483e-07	1
prot_P32327	pyruvate carboxylase (No1)	60	0.00289832251915878	PYCNo1	2.89831961993047e-09	9.99998999687477e-07	1
