enzyme	enzNames	genes	subSystems	usage	usage_regulated	usage_ratio
P00127	QCR6	YFR033C	Oxidative Phosphorylation	0.000237	0.000247	1.04219409282683
P00128	QCR7	YDR529C	Oxidative Phosphorylation	0.0002	0.000209	1.04499999999977
P00163	COB	Q0105	Oxidative Phosphorylation	0.0006	0.000626	1.04333333333326
P00330	ADH1	YOL086C	Anaerobic excretion // Anaerobic excretion	0	0.001137	1137000000001
P00358	TDH2	YJR009C	Glycolysis // Glycolysis	0	0.001326	1326000000001
P00359	TDH3	YGR192C	Glycolysis // Glycolysis	0.000594	0.001326	2.23232323232116
P00360	TDH1	YJL052W	Glycolysis // Glycolysis	0	0.001326	1326000000001
P00401	COX1	Q0045	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000256	0.000267	1.04296874999983
P00410	COX2	Q0250	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000124	0.00013	1.0483870967738
P00420	COX3	Q0275	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000132	0.000138	1.0454545454542
P00425	COX5B	YIL111W	Oxidative Phosphorylation	7.5e-05	7.5e-05	1
P00427	COX6	YHR051W	Oxidative Phosphorylation	7.6e-05	7.6e-05	1
P00549	CDC19	YAL038W	Glycolysis	8.8e-05	9.1e-05	1.03409090909052
P00560	PGK1	YCR012W	Glycolysis // Glycolysis	3.4e-05	0.001322	38.8823529400623
P00830	ATP2	YJR121W	Oxidative Phosphorylation	0.000597	0.000628	1.05192629815737
P00854	ATP6	Q0085	Oxidative Phosphorylation	0.000317	0.000333	1.05047318611971
P00856	ATP8	Q0080	Oxidative Phosphorylation	6.3e-05	6.7e-05	1.06349206349106
P00890	CIT1	YNR001C	TCA	7.8e-05	8.3e-05	1.06410256410174
P00924	ENO1	YGR254W	Glycolysis // Glycolysis	0	0.001294	1294000000001
P00925	ENO2	YHR174W	Glycolysis // Glycolysis	0	0.001294	1294000000001
P00942	TPI1	YDR050C	Glycolysis // Glycolysis	1e-06	8.6e-05	85.999999915
P00950	GPM1	YKL152C	Glycolysis // Glycolysis	1.9e-05	0.001308	68.8421052595873
P04037	COX4	YGL187C	Oxidative Phosphorylation	7.5e-05	7.5e-05	1
P04039	COX8	YLR395C	Oxidative Phosphorylation	7.8e-05	7.8e-05	1
P04385	GAL1	YBR020W	Galactose metabolism	0	0	1
P04397	GAL10	YBR019C	Galactose metabolism // Galactose metabolism	0	0	1
P04806	HXK1	YFR053C	Glycolysis	6e-05	5.1e-05	0.8500000000025
P04807	HXK2	YGL253W	Glycolysis	0	7e-06	7000000001
P05626	ATP4	YPL078C	Oxidative Phosphorylation	0.000293	0.000308	1.05119453924897
P06169	PDC1	YLR044C	Anaerobic excretion	1.4e-05	1.9e-05	1.35714285711735
P07143	CYT1	YOR065W	Oxidative Phosphorylation	0.000468	0.000488	1.04273504273495
P07170	ADK1	YDR226W	Salvage pathways // Salvage pathways	0	0	1
P07251	ATP1	YBL099W	Oxidative Phosphorylation	0.000639	0.000671	1.05007824726127
P07255	COX9	YDL067C	Oxidative Phosphorylation // Oxidative Phosphorylation	3e-05	3.2e-05	1.06666666666444
P07256	COR1	YBL045C	Oxidative Phosphorylation	0.00069	0.00072	1.0434782608695
P07257	QCR2	YPR191W	Oxidative Phosphorylation	0.000556	0.00058	1.04316546762582
P08067	RIP1	YEL024W	Oxidative Phosphorylation	0.000321	0.000335	1.04361370716497
P08417	FUM1	YPL262W	TCA // TCA	1e-05	1.1e-05	1.09999999999
P08431	GAL7	YBR018C	Galactose metabolism // Galactose metabolism	0	0.001288	1288000000001
P08525	QCR8	YJL166W	Oxidative Phosphorylation	0.000151	0.000157	1.03973509933748
P09201	FBP1	YLR377C	Glycolysis	0	0	1
P09457	ATP5	YDR298C	Oxidative Phosphorylation	0.000249	0.000261	1.04819277108414
P09624	LPD1	YFL018C	Other	0.000341	0.000299	0.876832844575141
P0CX10	ERR1	YOR393W	Glycolysis // Glycolysis	0	0.001294	1294000000001
P0CX11	ERR2	YPL281C	Glycolysis // Glycolysis	0	0	1
P10174	COX7	YMR256C	Oxidative Phosphorylation	3e-05	3e-05	1
P10963	PCK1	YKR097W	Other	0	0	1
P11154	PYC1	YGL062W	TCA	0.00011	0.00011	1
P11412	ZWF1	YNL241C	pentose phosphate	7e-06	7e-06	1
P12695	LAT1	YNL071W	Other	2.4e-05	2.1e-05	0.875000000005208
