enzyme	enzNames	genes	subSystems	usage	usage_regulated	usage_ratio
P00127	QCR6	YFR033C	Oxidative Phosphorylation	0.00037	0.000327	0.883783783784098
P00128	QCR7	YDR529C	Oxidative Phosphorylation	0.000312	0.000276	0.884615384615754
P00163	COB	Q0105	Oxidative Phosphorylation	0.000935	0.000828	0.885561497326326
P00330	ADH1	YOL086C	Anaerobic excretion // Anaerobic excretion	0.000164	0.000177	1.07926829268244
P00358	TDH2	YJR009C	Glycolysis // Glycolysis	0	0.000504	504000000001
P00359	TDH3	YGR192C	Glycolysis // Glycolysis	0.007523	0.006925	0.920510434667032
P00360	TDH1	YJL052W	Glycolysis // Glycolysis	0	0.000504	504000000001
P00401	COX1	Q0045	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000399	0.000354	0.887218045113065
P00410	COX2	Q0250	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000194	0.000172	0.886597938144914
P00420	COX3	Q0275	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000206	0.000183	0.888349514563649
P00425	COX5B	YIL111W	Oxidative Phosphorylation	0.000117	0.000103	0.880341880342903
P00427	COX6	YHR051W	Oxidative Phosphorylation	0.000118	0.000104	0.881355932204395
P00549	CDC19	YAL038W	Glycolysis	0.001189	0.001255	1.05550883095033
P00560	PGK1	YCR012W	Glycolysis // Glycolysis	0.000431	0.000512	1.18793503480235
P00830	ATP2	YJR121W	Oxidative Phosphorylation	0.000935	0.000829	0.886631016042902
P00854	ATP6	Q0085	Oxidative Phosphorylation	0.000497	0.00044	0.885311871227595
P00856	ATP8	Q0080	Oxidative Phosphorylation	9.9e-05	8.8e-05	0.888888888890011
P00890	CIT1	YNR001C	TCA	6.8e-05	5e-05	0.735294117650952
P00924	ENO1	YGR254W	Glycolysis // Glycolysis	0	0.000114	114000000001
P00925	ENO2	YHR174W	Glycolysis // Glycolysis	0	0.000114	114000000001
P00942	TPI1	YDR050C	Glycolysis // Glycolysis	8e-06	8.6e-05	10.7499999987813
P00950	GPM1	YKL152C	Glycolysis // Glycolysis	0.000248	0.000328	1.32258064515999
P04037	COX4	YGL187C	Oxidative Phosphorylation	0.000116	0.000103	0.887931034483725
P04039	COX8	YLR395C	Oxidative Phosphorylation	0.000121	0.000107	0.884297520662113
P04385	GAL1	YBR020W	Galactose metabolism	0	0	1
P04397	GAL10	YBR019C	Galactose metabolism // Galactose metabolism	0	0	1
P04806	HXK1	YFR053C	Glycolysis	0.000585	0.00052	0.888888888889079
P04807	HXK2	YGL253W	Glycolysis	0	7.3e-05	73000000001
P05626	ATP4	YPL078C	Oxidative Phosphorylation	0.000459	0.000408	0.888888888889131
P06169	PDC1	YLR044C	Anaerobic excretion	0.004211	0.003997	0.94918071716933
P07143	CYT1	YOR065W	Oxidative Phosphorylation	0.000729	0.000646	0.886145404664079
P07170	ADK1	YDR226W	Salvage pathways // Salvage pathways	0	0	1
P07251	ATP1	YBL099W	Oxidative Phosphorylation	0.001	0.000887	0.887000000000113
P07255	COX9	YDL067C	Oxidative Phosphorylation // Oxidative Phosphorylation	4.7e-05	4.2e-05	0.893617021278859
P07256	COR1	YBL045C	Oxidative Phosphorylation	0.001076	0.000953	0.885687732342114
P07257	QCR2	YPR191W	Oxidative Phosphorylation	0.000867	0.000768	0.885813148789059
P08067	RIP1	YEL024W	Oxidative Phosphorylation	0.0005	0.000443	0.886000000000228
P08417	FUM1	YPL262W	TCA // TCA	9e-06	6e-06	0.666666666703704
P08431	GAL7	YBR018C	Galactose metabolism // Galactose metabolism	0	7.8e-05	78000000001
P08525	QCR8	YJL166W	Oxidative Phosphorylation	0.000235	0.000208	0.885106382979212
P09201	FBP1	YLR377C	Glycolysis	0	0	1
P09457	ATP5	YDR298C	Oxidative Phosphorylation	0.000389	0.000345	0.886889460154532
P09624	LPD1	YFL018C	Other	0.000502	0.000438	0.872509960159617
P0CX10	ERR1	YOR393W	Glycolysis // Glycolysis	0	0.000138	138000000001
P0CX11	ERR2	YPL281C	Glycolysis // Glycolysis	0	0	1
P10174	COX7	YMR256C	Oxidative Phosphorylation	4.7e-05	4.2e-05	0.893617021278859
P10963	PCK1	YKR097W	Other	0	0	1
P11154	PYC1	YGL062W	TCA	0.000476	0.000476	1
P11412	ZWF1	YNL241C	pentose phosphate	1.9e-05	2e-05	1.0526315789446
P12695	LAT1	YNL071W	Other	3.5e-05	3.1e-05	0.885714285717551
P12709	PGI1	YBR196C	Glycolysis // Glycolysis	0.000231	0.000305	1.32034632034493
P14540	FBA1	YKL060C	Glycolysis // Glycolysis	0.003169	0.00334	1.05396023982327
P15019	TAL1	YLR354C	pentose phosphate // pentose phosphate	7.2e-05	0.000114	1.58333333332523
P16387	PDA1	YER178W	Other	0.00043	0.000376	0.874418604651455
P16451	PDX1	YGR193C	Other	3.1e-05	2.7e-05	0.870967741939646
P16467	PDC5	YLR134W	Anaerobic excretion	0	0.000273	273000000001
P16861	PFK1	YGR240C	Glycolysis	0	0	1
P16862	PFK2	YMR205C	Glycolysis // Glycolysis	0.000762	0.000803	1.05380577427814
P17505	MDH1	YKL085W	TCA // TCA	3.1e-05	2.2e-05	0.709677419364204
P17709	GLK1	YCL040W	Glycolysis	0	3.5e-05	35000000001
P19414	ACO1	YLR304C	TCA // TCA	0.000108	0.000146	1.35185185184859
P19516	COX11	YPL132W	Oxidative Phosphorylation	0	2e-05	20000000001
P20967	KGD1	YIL125W	TCA	0.000681	0.00048	0.704845814978407
P21306	ATP15	YPL271W	Oxidative Phosphorylation	0.000115	0.000102	0.886956521740113
P21801	SDH2	YLL041C	TCA // TCA	2.3e-05	1.6e-05	0.695652173926276
P21826	DAL7	YIR031C	Anaplerotic reactions 	0	0	1
