enzyme	enzNames	genes	subSystems	usage	usage_regulated	usage_ratio
P00127	QCR6	YFR033C	Oxidative Phosphorylation	0.00037	0.000354	0.956756756756874
P00128	QCR7	YDR529C	Oxidative Phosphorylation	0.000312	0.000299	0.958333333333467
P00163	COB	Q0105	Oxidative Phosphorylation	0.000935	0.000896	0.958288770053521
P00330	ADH1	YOL086C	Anaerobic excretion // Anaerobic excretion	0.000164	0.00017	1.03658536585344
P00358	TDH2	YJR009C	Glycolysis // Glycolysis	0	0	1
P00359	TDH3	YGR192C	Glycolysis // Glycolysis	0.007523	0.007708	1.0245912534893
P00360	TDH1	YJL052W	Glycolysis // Glycolysis	0	0	1
P00401	COX1	Q0045	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000399	0.000383	0.959899749373534
P00410	COX2	Q0250	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000194	0.000186	0.958762886598151
P00420	COX3	Q0275	Oxidative Phosphorylation // Oxidative Phosphorylation	0.000206	0.000198	0.961165048543878
P00425	COX5B	YIL111W	Oxidative Phosphorylation	0.000117	0.000112	0.957264957265323
P00427	COX6	YHR051W	Oxidative Phosphorylation	0.000118	0.000113	0.957627118644427
P00549	CDC19	YAL038W	Glycolysis	0.001189	0.001221	1.02691337258198
P00560	PGK1	YCR012W	Glycolysis // Glycolysis	0.000431	0.000512	1.18793503480235
P00830	ATP2	YJR121W	Oxidative Phosphorylation	0.000935	0.000897	0.959358288770097
P00854	ATP6	Q0085	Oxidative Phosphorylation	0.000497	0.000476	0.957746478873325
P00856	ATP8	Q0080	Oxidative Phosphorylation	9.9e-05	9.5e-05	0.959595959596368
P00890	CIT1	YNR001C	TCA	6.8e-05	6.1e-05	0.897058823530926
P00924	ENO1	YGR254W	Glycolysis // Glycolysis	0	0	1
P00925	ENO2	YHR174W	Glycolysis // Glycolysis	0	0	1
P00942	TPI1	YDR050C	Glycolysis // Glycolysis	8e-06	8e-06	1
P00950	GPM1	YKL152C	Glycolysis // Glycolysis	0.000248	0.000254	1.024193548387
P04037	COX4	YGL187C	Oxidative Phosphorylation	0.000116	0.000112	0.965517241379608
P04039	COX8	YLR395C	Oxidative Phosphorylation	0.000121	0.000116	0.958677685950755
P04385	GAL1	YBR020W	Galactose metabolism	0	0	1
P04397	GAL10	YBR019C	Galactose metabolism // Galactose metabolism	0	0	1
P04806	HXK1	YFR053C	Glycolysis	0.000585	0.000598	1.02222222222218
P04807	HXK2	YGL253W	Glycolysis	0	0	1
P05626	ATP4	YPL078C	Oxidative Phosphorylation	0.000459	0.000441	0.960784313725576
P06169	PDC1	YLR044C	Anaerobic excretion	0.004211	0.004357	1.0346710995013
P07143	CYT1	YOR065W	Oxidative Phosphorylation	0.000729	0.000699	0.958847736625571
P07170	ADK1	YDR226W	Salvage pathways // Salvage pathways	0	0	1
P07251	ATP1	YBL099W	Oxidative Phosphorylation	0.001	0.000959	0.959000000000041
P07255	COX9	YDL067C	Oxidative Phosphorylation // Oxidative Phosphorylation	4.7e-05	4.5e-05	0.957446808511544
P07256	COR1	YBL045C	Oxidative Phosphorylation	0.001076	0.001031	0.958178438661749
P07257	QCR2	YPR191W	Oxidative Phosphorylation	0.000867	0.000831	0.958477508650567
P08067	RIP1	YEL024W	Oxidative Phosphorylation	0.0005	0.00048	0.96000000000008
P08417	FUM1	YPL262W	TCA // TCA	9e-06	8.3e-05	9.22222222130864
P08431	GAL7	YBR018C	Galactose metabolism // Galactose metabolism	0	0	1
P08525	QCR8	YJL166W	Oxidative Phosphorylation	0.000235	0.000225	0.957446808510819
P09201	FBP1	YLR377C	Glycolysis	0	9e-06	9000000001
P09457	ATP5	YDR298C	Oxidative Phosphorylation	0.000389	0.000373	0.958868894601648
P09624	LPD1	YFL018C	Other	0.000502	0.000478	0.952191235059856
P0CX10	ERR1	YOR393W	Glycolysis // Glycolysis	0	0	1
P0CX11	ERR2	YPL281C	Glycolysis // Glycolysis	0	0	1
P10174	COX7	YMR256C	Oxidative Phosphorylation	4.7e-05	4.5e-05	0.957446808511544
P10963	PCK1	YKR097W	Other	0	1.1e-05	11000000001
P11154	PYC1	YGL062W	TCA	0.000476	0.000497	1.04411764705873
P11412	ZWF1	YNL241C	pentose phosphate	1.9e-05	2e-05	1.0526315789446
P12695	LAT1	YNL071W	Other	3.5e-05	3.3e-05	0.942857142858776
P12709	PGI1	YBR196C	Glycolysis // Glycolysis	0.000231	0.000236	1.02164502164493
P14540	FBA1	YKL060C	Glycolysis // Glycolysis	0.003169	0.003245	1.02398232881034
P15019	TAL1	YLR354C	pentose phosphate // pentose phosphate	7.2e-05	7.5e-05	1.04166666666609
